ID,Day,Session,Era,Cell,Fill,Reason,ConfiguredAdmission,Filled,Entry,Stop,Target,RiskUSD,Net,NetUpper,Time,ExitTime,Exit,FillBarAmbiguous
read-000034-zone-0102,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13710.75,13682.25,13718.75,61,6,6,1650634260000,1650634260000,target,False
read-000034-zone-0114,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13718.75,13690.25,13723.25,61,2.5,2.5,1650634560000,1650634620000,target,True
read-000034-zone-0118,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13723.25,13694.75,13728.25,61,3,3,1650634560000,1650634620000,target,True
read-000034-zone-0125,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13728.25,13699.75,13728.5,61,-1.75,-1.75,1650634560000,1650634620000,target,True
read-000034-zone-0132,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13733.75,13705.25,13738,61,-30.5,2.25,1650634560000,1650634560000,stop,True
read-000034-zone-0136,2022-04-21,NY,in_sample,legacy_corrected,A_touch,,,True,13738,13766.5,13738,61,-2,-2,1650634260000,1650634320000,target,True
read-000041-zone-0031,2022-04-23,ASIA,in_sample,legacy_corrected,A_touch,,,True,13275,13241.5,13300,71,23,23,1650845340000,1650845880000,target,False
read-000041-zone-0037,2022-04-23,ASIA,in_sample,legacy_corrected,A_touch,,,True,13320,13353.5,13320,71,-35.5,-35.5,1650837660000,1650837660000,stop,False
read-000041-zone-0039,2022-04-23,ASIA,in_sample,legacy_corrected,A_touch,,,True,13349,13382.5,13336.75,71,10.25,10.25,1650837660000,1650837660000,target,False
read-000042-zone-0025,2022-04-24,LONDON,in_sample,legacy_corrected,A_touch,,,True,13248.5,13275.5,13235.75,58,-29,10.75,1650870480000,1650870840000,stop,True
read-000042-zone-0032,2022-04-24,LONDON,in_sample,legacy_corrected,A_touch,,,True,13259.75,13286.75,13248.5,58,9.25,9.25,1650870480000,1650870600000,target,True
read-000042-zone-0044,2022-04-24,LONDON,in_sample,legacy_corrected,A_touch,,,True,13277.5,13304.5,13270,58,5.5,5.5,1650870840000,1650870900000,target,True
read-000043-zone-0120,2022-04-24,NY,in_sample,legacy_corrected,A_touch,,,True,13329,13366,13329,78,-2,-2,1650893760000,1650893760000,target,False
read-000045-zone-0502,2022-04-25,LONDON,in_sample,legacy_corrected,A_touch,,,True,13521.25,13538.25,13516,38,3.25,3.25,1650963600000,1650963780000,target,True
read-000047-zone-0027,2022-04-25,ASIA,in_sample,legacy_corrected,A_touch,,,True,12846.75,12905.5,12846.75,121.5,-60.75,-60.75,1651010460000,1651010460000,stop,False
read-000047-zone-0028,2022-04-25,ASIA,in_sample,legacy_corrected,A_touch,,,True,12867,12925.75,12846.75,121.5,-60.75,-60.75,1651010460000,1651010760000,stop,False
read-000048-zone-0163,2022-04-26,LONDON,in_sample,legacy_corrected,A_touch,,,True,13101.75,13124.75,13101.75,50,-2,-2,1651042920000,1651042980000,target,True
read-000048-zone-0172,2022-04-26,LONDON,in_sample,legacy_corrected,A_touch,,,True,13121,13144,13121,50,-25,-2,1651046220000,1651046460000,stop,True
read-000049-zone-0117,2022-04-26,NY,in_sample,legacy_corrected,A_touch,,,True,13049,13087,13047.75,80,-0.75,-0.75,1651066260000,1651066320000,target,True
read-000050-zone-0246,2022-04-26,ASIA,in_sample,legacy_corrected,A_touch,,,True,13192.25,13246.25,13192.25,112,-2,-2,1651096860000,1651096860000,target,False
read-000051-zone-0571,2022-04-27,LONDON,in_sample,legacy_corrected,A_touch,,,True,13198.75,13178.75,13200.25,44,-0.5,-0.5,1651150260000,1651150320000,target,True
read-000051-zone-0593,2022-04-27,LONDON,in_sample,legacy_corrected,A_touch,,,True,13225,13205,13228.75,44,1.75,1.75,1651129320000,1651129380000,target,True
read-000052-zone-0192,2022-04-27,NY,in_sample,legacy_corrected,A_touch,,,True,13147.25,13113.75,13155.5,71,6.25,6.25,1651153440000,1651153560000,target,True
read-000052-zone-0271,2022-04-27,NY,in_sample,legacy_corrected,A_touch,,,True,13200.25,13166.75,13202,71,-0.25,-0.25,1651152780000,1651152840000,target,True
read-000053-zone-0176,2022-04-27,ASIA,in_sample,legacy_corrected,A_touch,,,True,13255.75,13324.75,13255.75,142,-2,-2,1651184160000,1651184340000,target,True
read-000053-zone-0195,2022-04-27,ASIA,in_sample,legacy_corrected,A_touch,,,True,13303.75,13372.75,13303.75,142,-2,-2,1651195200000,1651195200000,target,False
read-000054-zone-0362,2022-04-28,LONDON,in_sample,legacy_corrected,A_touch,,,True,13378.75,13404.5,13378.75,55.5,-2,-2,1651217880000,1651217880000,target,False
read-000055-zone-0214,2022-04-28,NY,in_sample,legacy_corrected,A_touch,,,True,13293.75,13329.5,13286.75,75.5,-37.75,5,1651239180000,1651239240000,stop,True
read-000055-zone-0232,2022-04-28,NY,in_sample,legacy_corrected,A_touch,,,True,13305.75,13341.5,13296.5,75.5,-37.75,7.25,1651239180000,1651239300000,stop,True
read-000055-zone-0264,2022-04-28,NY,in_sample,legacy_corrected,A_touch,,,True,13329.5,13365.25,13321.75,75.5,-37.75,5.75,1651239240000,1651239360000,stop,True
read-000062-zone-0037,2022-04-30,ASIA,in_sample,legacy_corrected,A_touch,,,True,12868.25,12835.5,12872.25,69.5,2,2,1651442460000,1651442520000,target,True
read-000062-zone-0047,2022-04-30,ASIA,in_sample,legacy_corrected,A_touch,,,True,12908.5,12941.25,12908.5,69.5,-2,-2,1651442460000,1651442460000,target,False
read-000064-zone-0039,2022-05-01,NY,in_sample,legacy_corrected,A_touch,,,True,12782,12748,12794.75,72,-36,10.75,1651498620000,1651498740000,stop,True
read-000066-zone-0498,2022-05-02,LONDON,in_sample,legacy_corrected,A_touch,,,True,13072,13051.5,13072.5,45,-1.5,-1.5,1651561260000,1651561320000,target,True
read-000066-zone-0504,2022-05-02,LONDON,in_sample,legacy_corrected,A_touch,,,True,13077.25,13097.75,13077.25,45,-2,-2,1651561680000,1651561740000,target,True
read-000066-zone-0526,2022-05-02,LONDON,in_sample,legacy_corrected,A_touch,,,True,13107.75,13128.25,13107.75,45,-2,-2,1651564980000,1651564980000,target,False
read-000067-zone-0388,2022-05-02,NY,in_sample,legacy_corrected,A_touch,,,True,13074.75,13099.75,13074.75,54,-2,-2,1651584900000,1651584900000,target,False
read-000067-zone-0420,2022-05-02,NY,in_sample,legacy_corrected,A_touch,,,True,13097.5,13122.5,13097.5,54,-27,-2,1651586400000,1651586460000,stop,True
read-000067-zone-0447,2022-05-02,NY,in_sample,legacy_corrected,A_touch,,,True,13125,13150,13125,54,-2,-2,1651586460000,1651586520000,target,True
read-000070-zone-0414,2022-05-03,NY,in_sample,legacy_corrected,A_touch,,,True,13108.75,13125,13108.75,36.5,-2,-2,1651671660000,1651671660000,target,False
read-000071-zone-0397,2022-05-03,ASIA,in_sample,legacy_corrected,A_touch,,,True,13508.5,13552.25,13500.25,91.5,6.25,6.25,1651701660000,1651732140000,target,True
read-000076-zone-0067,2022-05-05,NY,in_sample,legacy_corrected,A_touch,,,True,12748,12795.5,12747,99,-49.5,-1,1651846680000,1651846740000,stop,True
read-000076-zone-0069,2022-05-05,NY,in_sample,legacy_corrected,A_touch,,,True,12763.5,12811,12748,99,-49.5,13.5,1651846680000,1651846740000,stop,True
read-000076-zone-0079,2022-05-05,NY,in_sample,legacy_corrected,A_touch,,,True,12779.25,12826.75,12779.25,99,-2,-2,1651843860000,1651843860000,target,False
read-000076-zone-0127,2022-05-05,NY,in_sample,legacy_corrected,A_touch,,,True,12824.5,12872,12808,99,14.5,14.5,1651846800000,1651846800000,target,False
read-000084-zone-0099,2022-05-08,LONDON,in_sample,legacy_corrected,A_touch,,,True,12590.25,12569,12592.25,46.5,0,0,1652079960000,1652080020000,target,True
read-000085-zone-0039,2022-05-08,NY,in_sample,legacy_corrected,A_touch,,,True,12466.75,12508.25,12449.5,87,-43.5,15.25,1652103300000,1652103420000,stop,True
read-000085-zone-0042,2022-05-08,NY,in_sample,legacy_corrected,A_touch,,,True,12492.25,12533.75,12466.75,87,23.5,23.5,1652103120000,1652103180000,target,False
read-000085-zone-0057,2022-05-08,NY,in_sample,legacy_corrected,A_touch,,,True,12548.25,12589.75,12548.25,87,-2,-2,1652103600000,1652103600000,target,False
read-000086-zone-0047,2022-05-08,ASIA,in_sample,legacy_corrected,A_touch,,,True,12240.5,12280.25,12238.25,83.5,0.25,0.25,1652133660000,1652133660000,target,False
read-000087-zone-0255,2022-05-09,LONDON,in_sample,legacy_corrected,A_touch,,,True,12351.75,12328.5,12352.25,50.5,-1.5,-1.5,1652168100000,1652168100000,target,False
read-000088-zone-0251,2022-05-09,NY,in_sample,legacy_corrected,A_touch,,,True,12451.5,12419.25,12453,68.5,-0.5,-0.5,1652189760000,1652189940000,target,True
read-000088-zone-0264,2022-05-09,NY,in_sample,legacy_corrected,A_touch,,,True,12473.5,12441.25,12476.25,68.5,0.75,0.75,1652189700000,1652189700000,target,False
read-000088-zone-0275,2022-05-09,NY,in_sample,legacy_corrected,A_touch,,,True,12493.75,12461.5,12496.25,68.5,0.5,0.5,1652189640000,1652189700000,target,True
read-000090-zone-0442,2022-05-10,LONDON,in_sample,legacy_corrected,A_touch,,,True,12424.5,12442.25,12424.25,39.5,-1.75,-1.75,1652253660000,1652253660000,target,False
read-000090-zone-0502,2022-05-10,LONDON,in_sample,legacy_corrected,A_touch,,,True,12453.75,12471.5,12453.5,39.5,-1.75,-1.75,1652257440000,1652257500000,target,True
read-000090-zone-0538,2022-05-10,LONDON,in_sample,legacy_corrected,A_touch,,,True,12469.75,12487.5,12469,39.5,-1.25,-1.25,1652257800000,1652257800000,target,False
read-000091-zone-0034,2022-05-10,NY,in_sample,legacy_corrected,A_touch,,,True,12224,12154.25,12247.75,143.5,-71.75,21.75,1652276040000,1652276280000,stop,True
read-000091-zone-0035,2022-05-10,NY,in_sample,legacy_corrected,A_touch,,,True,12247.75,12178,12254.75,143.5,-71.75,5,1652276040000,1652276220000,stop,True
read-000091-zone-0041,2022-05-10,NY,in_sample,legacy_corrected,A_touch,,,True,12271.5,12341.25,12271.5,143.5,-2,-2,1652275920000,1652276040000,target,True
read-000091-zone-0049,2022-05-10,NY,in_sample,legacy_corrected,A_touch,,,True,12295,12364.75,12271.5,143.5,21.5,21.5,1652275920000,1652276040000,target,True
read-000093-zone-0035,2022-05-11,LONDON,in_sample,legacy_corrected,A_touch,,,True,11958.75,11991.5,11954.25,69.5,2.5,2.5,1652341800000,1652341860000,target,True
read-000094-zone-0039,2022-05-11,NY,in_sample,legacy_corrected,A_touch,,,True,11775,11725.5,11791.75,103,14.75,14.75,1652362380000,1652362440000,target,True
read-000094-zone-0043,2022-05-11,NY,in_sample,legacy_corrected,A_touch,,,True,11791.75,11742.25,11817.5,103,-51.5,23.75,1652362380000,1652362500000,stop,True
read-000094-zone-0046,2022-05-11,NY,in_sample,legacy_corrected,A_touch,,,True,11817.5,11867,11791.75,103,-51.5,23.75,1652362260000,1652362320000,stop,True
read-000094-zone-0053,2022-05-11,NY,in_sample,legacy_corrected,A_touch,,,True,11839.25,11888.75,11839.25,103,-2,-2,1652362260000,1652362380000,target,True
read-000094-zone-0062,2022-05-11,NY,in_sample,legacy_corrected,A_touch,,,True,11874.25,11923.75,11856,103,16.25,16.25,1652362320000,1652362320000,target,False
read-000095-zone-0144,2022-05-11,ASIA,in_sample,legacy_corrected,A_touch,,,True,11894,11945.5,11894,107,-53.5,-2,1652392860000,1652394600000,stop,True
read-000096-zone-0501,2022-05-12,LONDON,in_sample,legacy_corrected,A_touch,,,True,12095.5,12073,12102.25,49,-24.5,4.75,1652425260000,1652425560000,stop,True
read-000096-zone-0510,2022-05-12,LONDON,in_sample,legacy_corrected,A_touch,,,True,12106,12128.5,12105.25,49,-1.25,-1.25,1652425980000,1652426040000,target,True
read-000097-zone-0541,2022-05-12,NY,in_sample,legacy_corrected,A_touch,,,True,12147.75,12171.5,12147.75,51.5,-2,-2,1652448720000,1652448780000,target,True
read-000097-zone-0552,2022-05-12,NY,in_sample,legacy_corrected,A_touch,,,True,12162.5,12186.25,12159.75,51.5,0.75,0.75,1652448720000,1652448720000,target,False
read-000097-zone-0567,2022-05-12,NY,in_sample,legacy_corrected,A_touch,,,True,12179,12202.75,12170.5,51.5,-25.75,6.5,1652449380000,1652449620000,stop,True
read-000097-zone-0569,2022-05-12,NY,in_sample,legacy_corrected,A_touch,,,True,12180.75,12204.5,12180,51.5,-1.25,-1.25,1652449380000,1652449380000,target,False
read-000104-zone-0508,2022-05-14,ASIA,in_sample,legacy_corrected,A_touch,,,True,12364.25,12331,12365,70.5,-1.25,-1.25,1652666460000,1652666460000,target,False
read-000104-zone-0524,2022-05-14,ASIA,in_sample,legacy_corrected,A_touch,,,True,12398.5,12431.75,12398.5,70.5,-2,-2,1652652060000,1652652120000,target,True
read-000105-zone-0254,2022-05-15,LONDON,in_sample,legacy_corrected,A_touch,,,True,12265.5,12241.25,12266.75,52.5,-0.75,-0.75,1652685060000,1652685120000,target,True
read-000105-zone-0260,2022-05-15,LONDON,in_sample,legacy_corrected,A_touch,,,True,12276.5,12252.25,12278.5,52.5,0,0,1652684880000,1652684880000,target,False
read-000105-zone-0309,2022-05-15,LONDON,in_sample,legacy_corrected,A_touch,,,True,12319.75,12344,12316.5,52.5,1.25,1.25,1652687340000,1652687340000,target,False
read-000106-zone-0251,2022-05-15,NY,in_sample,legacy_corrected,A_touch,,,True,12318.25,12347.5,12316.5,62.5,-31.25,-0.25,1652708400000,1652708460000,stop,True
read-000106-zone-0262,2022-05-15,NY,in_sample,legacy_corrected,A_touch,,,True,12325,12354.25,12321,62.5,2,2,1652708400000,1652708460000,target,True
read-000106-zone-0293,2022-05-15,NY,in_sample,legacy_corrected,A_touch,,,True,12344,12373.25,12343.5,62.5,-1.5,-1.5,1652708460000,1652708460000,target,False
read-000106-zone-0298,2022-05-15,NY,in_sample,legacy_corrected,A_touch,,,True,12350.25,12379.5,12350.25,62.5,-2,-2,1652708460000,1652708460000,target,False
read-000107-zone-0187,2022-05-15,ASIA,in_sample,legacy_corrected,A_touch,,,True,12246,12272,12246,56,-2,-2,1652738460000,1652738460000,target,False
read-000107-zone-0198,2022-05-15,ASIA,in_sample,legacy_corrected,A_touch,,,True,12251,12277,12251,56,-2,-2,1652738460000,1652738460000,target,False
read-000109-zone-0357,2022-05-16,NY,in_sample,legacy_corrected,A_touch,,,True,12445.25,12413.75,12449.25,67,2,2,1652795700000,1652795760000,target,True
read-000109-zone-0388,2022-05-16,NY,in_sample,legacy_corrected,A_touch,,,True,12494.5,12526,12492,67,0.5,0.5,1652794440000,1652794560000,target,True
read-000112-zone-0175,2022-05-17,NY,in_sample,legacy_corrected,A_touch,,,True,12379.5,12402.75,12379.5,50.5,-2,-2,1652880780000,1652880780000,target,False
read-000114-zone-0090,2022-05-18,LONDON,in_sample,legacy_corrected,A_touch,,,True,11895.25,11920,11895.25,53.5,-2,-2,1652943960000,1652943960000,target,False
read-000118-zone-0358,2022-05-19,NY,in_sample,legacy_corrected,A_touch,,,True,12023.75,12047.75,12023.5,52,-1.75,-1.75,1653054180000,1653054240000,target,True
read-000118-zone-0362,2022-05-19,NY,in_sample,legacy_corrected,A_touch,,,True,12028,12052,12028,52,-2,-2,1653054180000,1653054240000,target,True
read-000118-zone-0376,2022-05-19,NY,in_sample,legacy_corrected,A_touch,,,True,12046.75,12070.75,12039.5,52,5.25,5.25,1653053460000,1653053460000,target,False
read-000125-zone-0110,2022-05-21,ASIA,in_sample,legacy_corrected,A_touch,,,True,11850,11893,11850,90,-45,-45,1653256860000,1653256860000,stop,False
read-000125-zone-0115,2022-05-21,ASIA,in_sample,legacy_corrected,A_touch,,,True,11865.75,11908.75,11858.75,90,-45,5,1653256860000,1653257100000,stop,True
read-000127-zone-0170,2022-05-22,NY,in_sample,legacy_corrected,A_touch,,,True,11918,11950.25,11915.25,68.5,0.75,0.75,1653313320000,1653313320000,target,False
read-000129-zone-0101,2022-05-23,LONDON,in_sample,legacy_corrected,A_touch,,,True,11814.75,11833,11811.25,40.5,1.5,1.5,1653377460000,1653377520000,target,True
read-000129-zone-0110,2022-05-23,LONDON,in_sample,legacy_corrected,A_touch,,,True,11821.75,11840,11821.75,40.5,-2,-2,1653377520000,1653377520000,target,False
read-000129-zone-0123,2022-05-23,LONDON,in_sample,legacy_corrected,A_touch,,,True,11834.75,11853,11834.75,40.5,-2,-2,1653386220000,1653386220000,target,False
read-000130-zone-0101,2022-05-23,NY,in_sample,legacy_corrected,A_touch,,,True,11835.25,11860.25,11834,54,-0.75,-0.75,1653399180000,1653399240000,target,True
read-000130-zone-0114,2022-05-23,NY,in_sample,legacy_corrected,A_touch,,,True,11843.75,11868.75,11843.75,54,-2,-2,1653399180000,1653399180000,target,False
read-000130-zone-0118,2022-05-23,NY,in_sample,legacy_corrected,A_touch,,,True,11847.5,11872.5,11843.75,54,1.75,1.75,1653399180000,1653399180000,target,False
read-000132-zone-0346,2022-05-24,LONDON,in_sample,legacy_corrected,A_touch,,,True,11826.75,11809.5,11830.25,38.5,1.5,1.5,1653463860000,1653463860000,target,False
read-000133-zone-0088,2022-05-24,NY,in_sample,legacy_corrected,A_touch,,,True,11727.5,11759.75,11723,68.5,-34.25,2.5,1653485460000,1653485520000,stop,True
read-000133-zone-0099,2022-05-24,NY,in_sample,legacy_corrected,A_touch,,,True,11737.5,11769.75,11737,68.5,-1.5,-1.5,1653485460000,1653485520000,target,True
read-000133-zone-0103,2022-05-24,NY,in_sample,legacy_corrected,A_touch,,,True,11745.5,11777.75,11743.25,68.5,0.25,0.25,1653485460000,1653485520000,target,True
read-000135-zone-0310,2022-05-25,LONDON,in_sample,legacy_corrected,A_touch,,,True,11873.25,11852.75,11873.75,45,-1.5,-1.5,1653554880000,1653554880000,target,False
read-000136-zone-0322,2022-05-25,NY,in_sample,legacy_corrected,A_touch,,,True,11965.5,11995,11965.5,63,-31.5,-2,1653572100000,1653572160000,stop,True
read-000136-zone-0333,2022-05-25,NY,in_sample,legacy_corrected,A_touch,,,True,11975.25,12004.75,11973,63,-31.5,0.25,1653572100000,1653572160000,stop,True
read-000137-zone-0565,2022-05-25,ASIA,in_sample,legacy_corrected,A_touch,,,True,12249.75,12227.25,12251,49,-0.75,-0.75,1653612120000,1653612120000,target,False
read-000138-zone-0502,2022-05-26,LONDON,in_sample,legacy_corrected,A_touch,,,True,12249,12233.75,12249.75,34.5,-1.25,-1.25,1653635700000,1653635700000,target,False
read-000139-zone-0348,2022-05-26,NY,in_sample,legacy_corrected,A_touch,,,True,12413.75,12448,12413.75,72.5,-36.25,-2,1653658260000,1653658320000,stop,True
read-000146-zone-0486,2022-05-28,ASIA,in_sample,legacy_corrected,A_touch,,,True,12700,12679,12705.25,46,3.25,3.25,1653861780000,1653861840000,target,True
read-000146-zone-0494,2022-05-28,ASIA,in_sample,legacy_corrected,A_touch,,,True,12725,12750.5,12715.75,55,7.25,7.25,1653861660000,1653861660000,target,False
read-000147-zone-0543,2022-05-29,LONDON,in_sample,legacy_corrected,A_touch,,,True,12849.25,12867.5,12844.25,40.5,3,3,1653894540000,1653894660000,target,False
read-000147-zone-0545,2022-05-29,LONDON,in_sample,legacy_corrected,A_touch,,,True,12856.25,12874.5,12849.25,40.5,5,5,1653894240000,1653894360000,target,False
read-000148-zone-0552,2022-05-29,NY,in_sample,legacy_corrected,A_touch,,,True,12808.25,12824.75,12808.25,37,-2,-2,1653924600000,1653924600000,target,False
read-000148-zone-0559,2022-05-29,NY,in_sample,legacy_corrected,A_touch,,,True,12814.25,12830.75,12814.25,37,-2,-2,1653924660000,1653924660000,target,False
read-000149-zone-0444,2022-05-29,ASIA,in_sample,legacy_corrected,A_touch,,,True,12791,12770.75,12793,44.5,0,0,1653948360000,1653948360000,target,False
read-000149-zone-0473,2022-05-29,ASIA,in_sample,legacy_corrected,A_touch,,,True,12822.25,12842.5,12817.25,44.5,3,3,1653948060000,1653948120000,target,True
read-000150-zone-0289,2022-05-30,LONDON,in_sample,legacy_corrected,A_touch,,,True,12746.25,12767.5,12740,46.5,4.25,4.25,1653986520000,1653986520000,target,False
read-000151-zone-0149,2022-05-30,NY,in_sample,legacy_corrected,A_touch,,,True,12600,12572,12616,60,-30,14,1654004040000,1654004280000,stop,True
read-000151-zone-0157,2022-05-30,NY,in_sample,legacy_corrected,A_touch,,,True,12631.75,12603.75,12638.5,60,-30,4.75,1654003980000,1654004040000,stop,True
read-000151-zone-0159,2022-05-30,NY,in_sample,legacy_corrected,A_touch,,,True,12638.5,12610.5,12649.25,60,-30,8.75,1654003980000,1654004040000,stop,True
read-000152-zone-0214,2022-05-30,ASIA,in_sample,legacy_corrected,A_touch,,,True,12672.75,12704.5,12672.75,67.5,-2,-2,1654034460000,1654034460000,target,False
read-000153-zone-0313,2022-05-31,LONDON,in_sample,legacy_corrected,A_touch,,,True,12670.25,12692.5,12667.5,48.5,0.75,0.75,1654066860000,1654066920000,target,True
read-000154-zone-0346,2022-05-31,NY,in_sample,legacy_corrected,A_touch,,,True,12672.75,12650,12673,49.5,-24.75,-1.75,1654092960000,1654093020000,stop,True
read-000154-zone-0399,2022-05-31,NY,in_sample,legacy_corrected,A_touch,,,True,12700.75,12678,12703,49.5,0.25,0.25,1654092540000,1654092540000,target,False
read-000154-zone-0428,2022-05-31,NY,in_sample,legacy_corrected,A_touch,,,True,12714.25,12691.5,12716.75,49.5,0.5,0.5,1654092540000,1654092660000,target,True
read-000155-zone-0125,2022-05-31,ASIA,in_sample,legacy_corrected,A_touch,,,True,12521.25,12491,12522.25,64.5,-1,-1,1654120860000,1654120860000,target,False
read-000155-zone-0131,2022-05-31,ASIA,in_sample,legacy_corrected,A_touch,,,True,12528,12497.75,12532.25,64.5,2.25,2.25,1654120860000,1654120860000,target,False
read-000155-zone-0134,2022-05-31,ASIA,in_sample,legacy_corrected,A_touch,,,True,12532.25,12502,12536.75,64.5,2.5,2.5,1654120860000,1654120860000,target,False
