ID,Era,Session,Day,Cell,Reason,ConfiguredAdmission,Entry,Stop,Target,RiskUSD
read-000001-zone-0027,in_sample,NY,2022-04-10,p90,rr,rr,14185,14195,14176,24
read-000001-zone-0027,in_sample,NY,2022-04-10,p95,rr,rr,14185,14198.25,14176,30.5
read-000002-zone-0023,in_sample,ASIA,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13991,13987.25,14002,11.5
read-000002-zone-0023,in_sample,ASIA,2022-04-10,p90,geometry_pass,risk_cap_missing,13991,13986.25,14002,13.5
read-000002-zone-0023,in_sample,ASIA,2022-04-10,p95,rr,rr,13991,13983,14002,20
read-000002-zone-0026,in_sample,ASIA,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13998,13996,14009.5,8
read-000002-zone-0026,in_sample,ASIA,2022-04-10,p90,geometry_pass,risk_cap_missing,13998,13995,14009.5,10
read-000002-zone-0026,in_sample,ASIA,2022-04-10,p95,rr,rr,13998,13991.75,14009.5,16.5
read-000002-zone-0029,in_sample,ASIA,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14006.75,14003,14019,11.5
read-000002-zone-0029,in_sample,ASIA,2022-04-10,p90,geometry_pass,risk_cap_missing,14006.75,14002,14019,13.5
read-000002-zone-0029,in_sample,ASIA,2022-04-10,p95,rr,rr,14006.75,13998.75,14019,20
read-000002-zone-0034,in_sample,ASIA,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14019.5,14023.25,14008,11.5
read-000002-zone-0034,in_sample,ASIA,2022-04-10,p90,geometry_pass,risk_cap_missing,14019.5,14024.25,14008,13.5
read-000002-zone-0034,in_sample,ASIA,2022-04-10,p95,rr,rr,14019.5,14027.5,14008,20
read-000003-zone-0048,in_sample,LONDON,2022-04-11,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13942.75,13939.25,13950.25,11
read-000003-zone-0048,in_sample,LONDON,2022-04-11,p90,rr,rr,13942.75,13938.25,13950.25,13
read-000003-zone-0048,in_sample,LONDON,2022-04-11,p95,rr,rr,13942.75,13935,13950.25,19.5
read-000003-zone-0050,in_sample,LONDON,2022-04-11,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13947.25,13943.5,13959.25,11.5
read-000003-zone-0050,in_sample,LONDON,2022-04-11,p90,geometry_pass,risk_cap_missing,13947.25,13942.5,13959.25,13.5
read-000003-zone-0050,in_sample,LONDON,2022-04-11,p95,rr,rr,13947.25,13939.25,13959.25,20
read-000003-zone-0060,in_sample,LONDON,2022-04-11,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13962,13959,13974,10
read-000003-zone-0060,in_sample,LONDON,2022-04-11,p90,geometry_pass,risk_cap_missing,13962,13958,13974,12
read-000003-zone-0060,in_sample,LONDON,2022-04-11,p95,rr,rr,13962,13954.75,13974,18.5
read-000003-zone-0063,in_sample,LONDON,2022-04-11,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13974.25,13979.5,13963.75,14.5
read-000003-zone-0063,in_sample,LONDON,2022-04-11,p90,rr,rr,13974.25,13980.5,13963.75,16.5
read-000003-zone-0063,in_sample,LONDON,2022-04-11,p95,rr,rr,13974.25,13983.75,13963.75,23
read-000004-zone-0177,in_sample,NY,2022-04-11,p50_p75_tick_floor,rr,rr,14219.25,14240.25,14210,46
read-000004-zone-0177,in_sample,NY,2022-04-11,p90,rr,rr,14219.25,14241.25,14210,48
read-000004-zone-0177,in_sample,NY,2022-04-11,p95,rr,rr,14219.25,14244.5,14210,54.5
read-000004-zone-0189,in_sample,NY,2022-04-11,p50_p75_tick_floor,rr,rr,14251.75,14265,14244.5,30.5
read-000004-zone-0189,in_sample,NY,2022-04-11,p90,rr,rr,14251.75,14266,14244.5,32.5
read-000004-zone-0189,in_sample,NY,2022-04-11,p95,rr,rr,14251.75,14269.25,14244.5,39
read-000005-zone-0061,in_sample,ASIA,2022-04-11,p50_p75_tick_floor,rr,rr,13941.25,13933.25,13952.5,20
read-000005-zone-0061,in_sample,ASIA,2022-04-11,p90,rr,rr,13941.25,13932.25,13952.5,22
read-000005-zone-0061,in_sample,ASIA,2022-04-11,p95,rr,rr,13941.25,13929,13952.5,28.5
read-000005-zone-0067,in_sample,ASIA,2022-04-11,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13946.5,13938.5,13964.75,20
read-000005-zone-0067,in_sample,ASIA,2022-04-11,p90,geometry_pass,risk_cap_missing,13946.5,13937.5,13964.75,22
read-000005-zone-0067,in_sample,ASIA,2022-04-11,p95,rr,rr,13946.5,13934.25,13964.75,28.5
read-000005-zone-0098,in_sample,ASIA,2022-04-11,p50_p75_tick_floor,rr,rr,13969.5,13982.5,13964.25,30
read-000005-zone-0098,in_sample,ASIA,2022-04-11,p90,rr,rr,13969.5,13983.5,13964.25,32
read-000005-zone-0098,in_sample,ASIA,2022-04-11,p95,rr,rr,13969.5,13986.75,13964.25,38.5
read-000006-zone-0225,in_sample,LONDON,2022-04-12,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14049,14044.25,14059.25,13.5
read-000006-zone-0225,in_sample,LONDON,2022-04-12,p90,rr,rr,14049,14043.25,14059.25,15.5
read-000006-zone-0225,in_sample,LONDON,2022-04-12,p95,rr,rr,14049,14040,14059.25,22
read-000006-zone-0235,in_sample,LONDON,2022-04-12,p50_p75_tick_floor,rr,rr,14066,14071,14056.25,14
read-000006-zone-0235,in_sample,LONDON,2022-04-12,p90,rr,rr,14066,14072,14056.25,16
read-000006-zone-0235,in_sample,LONDON,2022-04-12,p95,rr,rr,14066,14075.25,14056.25,22.5
read-000006-zone-0245,in_sample,LONDON,2022-04-12,p50_p75_tick_floor,rr,rr,14075,14083,14070.75,20
read-000006-zone-0245,in_sample,LONDON,2022-04-12,p90,rr,rr,14075,14084,14070.75,22
read-000006-zone-0245,in_sample,LONDON,2022-04-12,p95,rr,rr,14075,14087.25,14070.75,28.5
read-000008-zone-0620,in_sample,ASIA,2022-04-12,p50_p75_tick_floor,rr,rr,14209.75,14206.5,14216,10.5
read-000008-zone-0620,in_sample,ASIA,2022-04-12,p90,rr,rr,14209.75,14205.5,14216,12.5
read-000008-zone-0620,in_sample,ASIA,2022-04-12,p95,rr,rr,14209.75,14202.25,14216,19
read-000008-zone-0625,in_sample,ASIA,2022-04-12,p50_p75_tick_floor,rr,rr,14213.5,14207.75,14219,15.5
read-000008-zone-0625,in_sample,ASIA,2022-04-12,p90,rr,rr,14213.5,14206.75,14219,17.5
read-000008-zone-0625,in_sample,ASIA,2022-04-12,p95,rr,rr,14213.5,14203.5,14219,24
read-000008-zone-0629,in_sample,ASIA,2022-04-12,p50_p75_tick_floor,rr,rr,14214.75,14209.75,14221,14
read-000008-zone-0629,in_sample,ASIA,2022-04-12,p90,rr,rr,14214.75,14208.75,14221,16
read-000008-zone-0629,in_sample,ASIA,2022-04-12,p95,rr,rr,14214.75,14205.5,14221,22.5
read-000008-zone-0636,in_sample,ASIA,2022-04-12,p50_p75_tick_floor,rr,rr,14219.75,14226.25,14215.75,17
read-000008-zone-0636,in_sample,ASIA,2022-04-12,p90,rr,rr,14219.75,14227.25,14215.75,19
read-000008-zone-0636,in_sample,ASIA,2022-04-12,p95,rr,rr,14219.75,14230.5,14215.75,25.5
read-000008-zone-0641,in_sample,ASIA,2022-04-12,p50_p75_tick_floor,rr,rr,14223.5,14229,14215.75,15
read-000008-zone-0641,in_sample,ASIA,2022-04-12,p90,rr,rr,14223.5,14230,14215.75,17
read-000008-zone-0641,in_sample,ASIA,2022-04-12,p95,rr,rr,14223.5,14233.25,14215.75,23.5
read-000010-zone-0166,in_sample,NY,2022-04-13,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14186.75,14182,14202.25,13.5
read-000010-zone-0166,in_sample,NY,2022-04-13,p90,geometry_pass,risk_cap_missing,14186.75,14181,14202.25,15.5
read-000010-zone-0166,in_sample,NY,2022-04-13,p95,rr,rr,14186.75,14177.75,14202.25,22
read-000010-zone-0171,in_sample,NY,2022-04-13,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14197,14191.5,14212.75,15
read-000010-zone-0171,in_sample,NY,2022-04-13,p90,geometry_pass,risk_cap_missing,14197,14190.5,14212.75,17
read-000010-zone-0171,in_sample,NY,2022-04-13,p95,rr,rr,14197,14187.25,14212.75,23.5
read-000010-zone-0175,in_sample,NY,2022-04-13,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14205.5,14204,14219.75,7
read-000010-zone-0175,in_sample,NY,2022-04-13,p90,geometry_pass,risk_cap_missing,14205.5,14203,14219.75,9
read-000010-zone-0175,in_sample,NY,2022-04-13,p95,geometry_pass,risk_cap_missing,14205.5,14199.75,14219.75,15.5
read-000010-zone-0191,in_sample,NY,2022-04-13,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14214.25,14212.5,14230.5,7.5
read-000010-zone-0191,in_sample,NY,2022-04-13,p90,geometry_pass,risk_cap_missing,14214.25,14211.5,14230.5,9.5
read-000010-zone-0191,in_sample,NY,2022-04-13,p95,geometry_pass,risk_cap_missing,14214.25,14208.25,14230.5,16
read-000020-zone-0026,in_sample,ASIA,2022-04-16,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13884,13880.75,13891,10.5
read-000020-zone-0026,in_sample,ASIA,2022-04-16,p90,rr,rr,13884,13879.75,13891,12.5
read-000020-zone-0026,in_sample,ASIA,2022-04-16,p95,rr,rr,13884,13876.5,13891,19
read-000021-zone-0053,in_sample,LONDON,2022-04-17,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13768.75,13765.75,13775.75,10
read-000021-zone-0053,in_sample,LONDON,2022-04-17,p90,rr,rr,13768.75,13764.75,13775.75,12
read-000021-zone-0053,in_sample,LONDON,2022-04-17,p95,rr,rr,13768.75,13761.5,13775.75,18.5
read-000021-zone-0059,in_sample,LONDON,2022-04-17,p50_p75_tick_floor,rr,rr,13773.25,13768.75,13782,13
read-000021-zone-0059,in_sample,LONDON,2022-04-17,p90,rr,rr,13773.25,13767.75,13782,15
read-000021-zone-0059,in_sample,LONDON,2022-04-17,p95,rr,rr,13773.25,13764.5,13782,21.5
read-000021-zone-0066,in_sample,LONDON,2022-04-17,p50_p75_tick_floor,rr,rr,13786,13790.5,13779.5,13
read-000021-zone-0066,in_sample,LONDON,2022-04-17,p90,rr,rr,13786,13791.5,13779.5,15
read-000021-zone-0066,in_sample,LONDON,2022-04-17,p95,rr,rr,13786,13794.75,13779.5,21.5
read-000021-zone-0072,in_sample,LONDON,2022-04-17,p50_p75_tick_floor,rr,rr,13798,13803.75,13790.25,15.5
read-000021-zone-0072,in_sample,LONDON,2022-04-17,p90,rr,rr,13798,13804.75,13790.25,17.5
read-000021-zone-0072,in_sample,LONDON,2022-04-17,p95,rr,rr,13798,13808,13790.25,24
read-000022-zone-0102,in_sample,NY,2022-04-17,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13823,13820,13832.5,10
read-000022-zone-0102,in_sample,NY,2022-04-17,p90,geometry_pass,risk_cap_missing,13823,13819,13832.5,12
read-000022-zone-0102,in_sample,NY,2022-04-17,p95,rr,rr,13823,13815.75,13832.5,18.5
read-000022-zone-0114,in_sample,NY,2022-04-17,p50_p75_tick_floor,rr,rr,13838,13832.25,13847,15.5
read-000022-zone-0114,in_sample,NY,2022-04-17,p90,rr,rr,13838,13831.25,13847,17.5
read-000022-zone-0114,in_sample,NY,2022-04-17,p95,rr,rr,13838,13828,13847,24
read-000022-zone-0117,in_sample,NY,2022-04-17,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13842.5,13836.5,13856.5,16
read-000022-zone-0117,in_sample,NY,2022-04-17,p90,geometry_pass,risk_cap_missing,13842.5,13835.5,13856.5,18
read-000022-zone-0117,in_sample,NY,2022-04-17,p95,rr,rr,13842.5,13832.25,13856.5,24.5
read-000022-zone-0119,in_sample,NY,2022-04-17,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13848.5,13846.75,13863.5,7.5
read-000022-zone-0119,in_sample,NY,2022-04-17,p90,geometry_pass,risk_cap_missing,13848.5,13845.75,13863.5,9.5
read-000022-zone-0119,in_sample,NY,2022-04-17,p95,geometry_pass,risk_cap_missing,13848.5,13842.5,13863.5,16
read-000022-zone-0121,in_sample,NY,2022-04-17,p50_p75_tick_floor,rr,rr,13858.5,13863.25,13852,13.5
read-000022-zone-0121,in_sample,NY,2022-04-17,p90,rr,rr,13858.5,13864.25,13852,15.5
read-000022-zone-0121,in_sample,NY,2022-04-17,p95,rr,rr,13858.5,13867.5,13852,22
read-000023-zone-0230,in_sample,ASIA,2022-04-17,p50_p75_tick_floor,rr,rr,13969.75,13960.5,13978.75,22.5
read-000023-zone-0230,in_sample,ASIA,2022-04-17,p90,rr,rr,13969.75,13959.5,13978.75,24.5
read-000023-zone-0230,in_sample,ASIA,2022-04-17,p95,rr,rr,13969.75,13956.25,13978.75,31
read-000023-zone-0237,in_sample,ASIA,2022-04-17,p50_p75_tick_floor,rr,rr,13973.25,13985,13963.5,27.5
read-000023-zone-0237,in_sample,ASIA,2022-04-17,p90,rr,rr,13973.25,13986,13963.5,29.5
read-000023-zone-0237,in_sample,ASIA,2022-04-17,p95,rr,rr,13973.25,13989.25,13963.5,36
read-000023-zone-0249,in_sample,ASIA,2022-04-17,p50_p75_tick_floor,rr,rr,13984.25,13995.25,13978.5,26
read-000023-zone-0249,in_sample,ASIA,2022-04-17,p90,rr,rr,13984.25,13996.25,13978.5,28
read-000023-zone-0249,in_sample,ASIA,2022-04-17,p95,rr,rr,13984.25,13999.5,13978.5,34.5
read-000023-zone-0259,in_sample,ASIA,2022-04-17,p50_p75_tick_floor,rr,rr,13993.75,14004.25,13989,25
read-000023-zone-0259,in_sample,ASIA,2022-04-17,p90,rr,rr,13993.75,14005.25,13989,27
read-000023-zone-0259,in_sample,ASIA,2022-04-17,p95,rr,rr,13993.75,14008.5,13989,33.5
read-000024-zone-0288,in_sample,LONDON,2022-04-18,p50_p75_tick_floor,rr,rr,13974,13968.5,13983.75,15
read-000024-zone-0288,in_sample,LONDON,2022-04-18,p90,rr,rr,13974,13967.5,13983.75,17
read-000024-zone-0288,in_sample,LONDON,2022-04-18,p95,rr,rr,13974,13964.25,13983.75,23.5
read-000024-zone-0302,in_sample,LONDON,2022-04-18,p50_p75_tick_floor,rr,rr,13979,13973.5,13986.5,15
read-000024-zone-0302,in_sample,LONDON,2022-04-18,p90,rr,rr,13979,13972.5,13986.5,17
read-000024-zone-0302,in_sample,LONDON,2022-04-18,p95,rr,rr,13979,13969.25,13986.5,23.5
read-000025-zone-0115,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13866.25,13860.5,13876,15.5
read-000025-zone-0115,in_sample,NY,2022-04-18,p90,rr,rr,13866.25,13859.5,13876,17.5
read-000025-zone-0115,in_sample,NY,2022-04-18,p95,rr,rr,13866.25,13856.25,13876,24
read-000025-zone-0130,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13880,13888.25,13869.75,20.5
read-000025-zone-0130,in_sample,NY,2022-04-18,p90,rr,rr,13880,13889.25,13869.75,22.5
read-000025-zone-0130,in_sample,NY,2022-04-18,p95,rr,rr,13880,13892.5,13869.75,29
read-000025-zone-0134,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13888,13899.75,13881.75,27.5
read-000025-zone-0134,in_sample,NY,2022-04-18,p90,rr,rr,13888,13900.75,13881.75,29.5
read-000025-zone-0134,in_sample,NY,2022-04-18,p95,rr,rr,13888,13904,13881.75,36
read-000025-zone-0141,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13897.5,13906.5,13892,22
read-000025-zone-0141,in_sample,NY,2022-04-18,p90,rr,rr,13897.5,13907.5,13892,24
read-000025-zone-0141,in_sample,NY,2022-04-18,p95,rr,rr,13897.5,13910.75,13892,30.5
read-000025-zone-0155,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13905,13914.25,13895.75,22.5
read-000025-zone-0155,in_sample,NY,2022-04-18,p90,rr,rr,13905,13915.25,13895.75,24.5
read-000025-zone-0155,in_sample,NY,2022-04-18,p95,rr,rr,13905,13918.5,13895.75,31
read-000025-zone-0158,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13911.25,13918.75,13903.5,19
read-000025-zone-0158,in_sample,NY,2022-04-18,p90,rr,rr,13911.25,13919.75,13903.5,21
read-000025-zone-0158,in_sample,NY,2022-04-18,p95,rr,rr,13911.25,13923,13903.5,27.5
read-000025-zone-0161,in_sample,NY,2022-04-18,p50_p75_tick_floor,rr,rr,13917,13927.25,13907,24.5
read-000025-zone-0161,in_sample,NY,2022-04-18,p90,rr,rr,13917,13928.25,13907,26.5
read-000025-zone-0161,in_sample,NY,2022-04-18,p95,rr,rr,13917,13931.5,13907,33
read-000026-zone-0261,in_sample,ASIA,2022-04-18,p50_p75_tick_floor,rr,rr,14092.75,14082.25,14103,25
read-000026-zone-0261,in_sample,ASIA,2022-04-18,p90,rr,rr,14092.75,14081.25,14103,27
read-000026-zone-0261,in_sample,ASIA,2022-04-18,p95,rr,rr,14092.75,14078,14103,33.5
read-000026-zone-0266,in_sample,ASIA,2022-04-18,p50_p75_tick_floor,rr,rr,14099.25,14109.25,14085.25,24
read-000026-zone-0266,in_sample,ASIA,2022-04-18,p90,rr,rr,14099.25,14110.25,14085.25,26
read-000026-zone-0266,in_sample,ASIA,2022-04-18,p95,rr,rr,14099.25,14113.5,14085.25,32.5
read-000026-zone-0272,in_sample,ASIA,2022-04-18,p50_p75_tick_floor,rr,rr,14102,14112.75,14085.25,25.5
read-000026-zone-0272,in_sample,ASIA,2022-04-18,p90,rr,rr,14102,14113.75,14085.25,27.5
read-000026-zone-0272,in_sample,ASIA,2022-04-18,p95,rr,rr,14102,14117,14085.25,34
read-000026-zone-0279,in_sample,ASIA,2022-04-18,p50_p75_tick_floor,rr,rr,14118.75,14133.25,14109,33
read-000026-zone-0279,in_sample,ASIA,2022-04-18,p90,rr,rr,14118.75,14134.25,14109,35
read-000026-zone-0279,in_sample,ASIA,2022-04-18,p95,rr,rr,14118.75,14137.5,14109,41.5
read-000026-zone-0283,in_sample,ASIA,2022-04-18,p50_p75_tick_floor,rr,rr,14133.25,14144,14119.75,25.5
read-000026-zone-0283,in_sample,ASIA,2022-04-18,p90,rr,rr,14133.25,14145,14119.75,27.5
read-000026-zone-0283,in_sample,ASIA,2022-04-18,p95,rr,rr,14133.25,14148.25,14119.75,34
read-000027-zone-0251,in_sample,LONDON,2022-04-19,p50_p75_tick_floor,rr,rr,14064.25,14059.5,14072,13.5
read-000027-zone-0251,in_sample,LONDON,2022-04-19,p90,rr,rr,14064.25,14058.5,14072,15.5
read-000027-zone-0251,in_sample,LONDON,2022-04-19,p95,rr,rr,14064.25,14055.25,14072,22
read-000027-zone-0261,in_sample,LONDON,2022-04-19,p50_p75_tick_floor,rr,rr,14070.5,14064.75,14079.75,15.5
read-000027-zone-0261,in_sample,LONDON,2022-04-19,p90,rr,rr,14070.5,14063.75,14079.75,17.5
read-000027-zone-0261,in_sample,LONDON,2022-04-19,p95,rr,rr,14070.5,14060.5,14079.75,24
read-000027-zone-0270,in_sample,LONDON,2022-04-19,p50_p75_tick_floor,rr,rr,14075.5,14069.5,14082.25,16
read-000027-zone-0270,in_sample,LONDON,2022-04-19,p90,rr,rr,14075.5,14068.5,14082.25,18
read-000027-zone-0270,in_sample,LONDON,2022-04-19,p95,rr,rr,14075.5,14065.25,14082.25,24.5
read-000027-zone-0276,in_sample,LONDON,2022-04-19,p50_p75_tick_floor,rr,rr,14080.25,14074.75,14086.25,15
read-000027-zone-0276,in_sample,LONDON,2022-04-19,p90,rr,rr,14080.25,14073.75,14086.25,17
read-000027-zone-0276,in_sample,LONDON,2022-04-19,p95,rr,rr,14080.25,14070.5,14086.25,23.5
read-000028-zone-0348,in_sample,NY,2022-04-19,p50_p75_tick_floor,rr,rr,14270.5,14280.75,14263.25,24.5
read-000028-zone-0348,in_sample,NY,2022-04-19,p90,rr,rr,14270.5,14281.75,14263.25,26.5
read-000028-zone-0348,in_sample,NY,2022-04-19,p95,rr,rr,14270.5,14285,14263.25,33
read-000029-zone-0122,in_sample,ASIA,2022-04-19,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14046.5,14040.75,14064.5,15.5
read-000029-zone-0122,in_sample,ASIA,2022-04-19,p90,geometry_pass,risk_cap_missing,14046.5,14039.75,14064.5,17.5
read-000029-zone-0122,in_sample,ASIA,2022-04-19,p95,rr,rr,14046.5,14036.5,14064.5,24
read-000029-zone-0161,in_sample,ASIA,2022-04-19,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14072.5,14065.75,14088.25,17.5
read-000029-zone-0161,in_sample,ASIA,2022-04-19,p90,geometry_pass,risk_cap_missing,14072.5,14064.75,14088.25,19.5
read-000029-zone-0161,in_sample,ASIA,2022-04-19,p95,rr,rr,14072.5,14061.5,14088.25,26
read-000030-zone-0204,in_sample,LONDON,2022-04-20,p50_p75_tick_floor,rr,rr,14070.75,14064.75,14079,16
read-000030-zone-0204,in_sample,LONDON,2022-04-20,p90,rr,rr,14070.75,14063.75,14079,18
read-000030-zone-0204,in_sample,LONDON,2022-04-20,p95,rr,rr,14070.75,14060.5,14079,24.5
read-000030-zone-0223,in_sample,LONDON,2022-04-20,p50_p75_tick_floor,rr,rr,14076.75,14071.25,14084.5,15
read-000030-zone-0223,in_sample,LONDON,2022-04-20,p90,rr,rr,14076.75,14070.25,14084.5,17
read-000030-zone-0223,in_sample,LONDON,2022-04-20,p95,rr,rr,14076.75,14067,14084.5,23.5
read-000030-zone-0249,in_sample,LONDON,2022-04-20,p50_p75_tick_floor,rr,rr,14085,14078.75,14091.75,16.5
read-000030-zone-0249,in_sample,LONDON,2022-04-20,p90,rr,rr,14085,14077.75,14091.75,18.5
read-000030-zone-0249,in_sample,LONDON,2022-04-20,p95,rr,rr,14085,14074.5,14091.75,25
read-000030-zone-0269,in_sample,LONDON,2022-04-20,p50_p75_tick_floor,rr,rr,14091.5,14097.5,14084.75,16
read-000030-zone-0269,in_sample,LONDON,2022-04-20,p90,rr,rr,14091.5,14098.5,14084.75,18
read-000030-zone-0269,in_sample,LONDON,2022-04-20,p95,rr,rr,14091.5,14101.75,14084.75,24.5
read-000030-zone-0295,in_sample,LONDON,2022-04-20,p50_p75_tick_floor,rr,rr,14098,14104.25,14091,16.5
read-000030-zone-0295,in_sample,LONDON,2022-04-20,p90,rr,rr,14098,14105.25,14091,18.5
read-000030-zone-0295,in_sample,LONDON,2022-04-20,p95,rr,rr,14098,14108.5,14091,25
read-000031-zone-0391,in_sample,NY,2022-04-20,p50_p75_tick_floor,rr,rr,14160,14154.75,14169.5,14.5
read-000031-zone-0391,in_sample,NY,2022-04-20,p90,rr,rr,14160,14153.75,14169.5,16.5
read-000031-zone-0391,in_sample,NY,2022-04-20,p95,rr,rr,14160,14150.5,14169.5,23
read-000031-zone-0404,in_sample,NY,2022-04-20,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14171.75,14169.25,14179.25,9
read-000031-zone-0404,in_sample,NY,2022-04-20,p90,geometry_pass,risk_cap_missing,14171.75,14168.25,14179.25,11
read-000031-zone-0404,in_sample,NY,2022-04-20,p95,rr,rr,14171.75,14165,14179.25,17.5
read-000031-zone-0409,in_sample,NY,2022-04-20,p50_p75_tick_floor,rr,rr,14178.5,14172.5,14187.25,16
read-000031-zone-0409,in_sample,NY,2022-04-20,p90,rr,rr,14178.5,14171.5,14187.25,18
read-000031-zone-0409,in_sample,NY,2022-04-20,p95,rr,rr,14178.5,14168.25,14187.25,24.5
read-000031-zone-0433,in_sample,NY,2022-04-20,p50_p75_tick_floor,rr,rr,14197,14204.75,14191.25,19.5
read-000031-zone-0433,in_sample,NY,2022-04-20,p90,rr,rr,14197,14205.75,14191.25,21.5
read-000031-zone-0433,in_sample,NY,2022-04-20,p95,rr,rr,14197,14209,14191.25,28
read-000032-zone-0024,in_sample,ASIA,2022-04-20,p50_p75_tick_floor,geometry_pass,risk_cap_missing,13696.75,13692.25,13719.5,13
read-000032-zone-0024,in_sample,ASIA,2022-04-20,p90,geometry_pass,risk_cap_missing,13696.75,13691.25,13719.5,15
read-000032-zone-0024,in_sample,ASIA,2022-04-20,p95,geometry_pass,risk_cap_missing,13696.75,13688,13719.5,21.5
read-000032-zone-0026,in_sample,ASIA,2022-04-20,p50_p75_tick_floor,rr,rr,13706.75,13695.75,13719.5,26
read-000032-zone-0026,in_sample,ASIA,2022-04-20,p90,rr,rr,13706.75,13694.75,13719.5,28
read-000032-zone-0026,in_sample,ASIA,2022-04-20,p95,rr,rr,13706.75,13691.5,13719.5,34.5
read-000032-zone-0029,in_sample,ASIA,2022-04-20,p50_p75_tick_floor,rr,rr,13717.5,13730.5,13694,30
read-000032-zone-0029,in_sample,ASIA,2022-04-20,p90,rr,rr,13717.5,13731.5,13694,32
read-000032-zone-0029,in_sample,ASIA,2022-04-20,p95,rr,rr,13717.5,13734.75,13694,38.5
read-000032-zone-0034,in_sample,ASIA,2022-04-20,p50_p75_tick_floor,rr,rr,13728.25,13741.5,13718.25,30.5
read-000032-zone-0034,in_sample,ASIA,2022-04-20,p90,rr,rr,13728.25,13742.5,13718.25,32.5
read-000032-zone-0034,in_sample,ASIA,2022-04-20,p95,rr,rr,13728.25,13745.75,13718.25,39
