plan_id,version,trade_date,session,created_at,lifecycle,trigger_reason,start,end,scenarios
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-03,NY,2026-09-03 14:15:31.491335556+00:00,active,level_event,1788444931491,1788446673127,4
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-03,NY,2026-09-03 14:44:33.127680844+00:00,active,level_event,1788446673127,1788448485993,3
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-03,NY,2026-09-03 15:14:45.993329351+00:00,active,level_event,1788448485993,1788450597593,2
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-03,NY,2026-09-03 15:49:57.59345407+00:00,active,level_event,1788450597593,1788452873707,3
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-03,NY,2026-09-03 16:27:53.707887732+00:00,dormant,"dormant:death:death-condition: 2x5m close below 29502.25 (buffer 0.5×ATR14, 2× 5m closes)",1788452873707,1788464700000,3
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,ASIA,2026-09-03 21:37:36.171279346+00:00,active,ASIA_scheduled_read,1788472800000,1788479273178,4
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,ASIA,2026-09-03 23:47:53.178711606+00:00,dormant,level_event,1788479273178,1788481716380,3
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-03,ASIA,2026-09-04 00:28:36.380700112+00:00,active,level_event,1788481716380,1788483215711,3
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-03,ASIA,2026-09-04 00:53:35.711550511+00:00,active,level_event,1788483215711,1788485552918,2
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-03,ASIA,2026-09-04 01:32:32.918462967+00:00,dormant,level_event,1788485552918,1788500413822,3
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-03,ASIA,2026-09-04 05:40:13.82205399+00:00,active,level_event,1788500413822,1788502835660,4
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-03,ASIA,2026-09-04 06:20:35.660474748+00:00,dormant,level_event,1788502835660,1788505200000,3
2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-04,LONDON,2026-09-04 06:41:15.950737367+00:00,active,LONDON_scheduled_read,1788505200000,1788505454613,4
2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-04,LONDON,2026-09-04 07:04:14.613481809+00:00,active,level_event,1788505454613,1788526577729,2
2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-04,LONDON,2026-09-04 12:56:17.729046739+00:00,active,level_event,1788526577729,1788528600000,3
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-04,NY,2026-09-04 13:11:45.620506374+00:00,no_trade,planner_fail_closed,1788528600000,1788529486688,1
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-04,NY,2026-09-04 13:44:46.688576529+00:00,active,owner_reset,1788529486688,1788530111782,2
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-04,NY,2026-09-04 13:55:11.782677983+00:00,active,level_event,1788530111782,1788537810521,2
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-04,NY,2026-09-04 16:03:30.521703109+00:00,active,level_event,1788537810521,1788539330086,3
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-04,NY,2026-09-04 16:28:50.086957702+00:00,active,level_event,1788539330086,1788541835724,2
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-04,NY,2026-09-04 17:10:35.724026458+00:00,active,level_event,1788541835724,1788551100000,3
