opportunity,plan_id,version,date,session,born,start,end,scenario,direction,condition,quality,arm_enabled,bias,doc
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,1788351326915,1788351326915,1788351719485,S1,long,sweep_reclaim,A,False,long,"{""id"": ""S1"", ""trigger"": ""Price trades below 29001.75 PDL (sweep) and then prints a 5m close back above 29001.75 (reclaim)."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29113.23, 29171.25], ""invalid"": ""A 5m close below 28970.38 or failure to print a 5m close above 29001.75 after the sweep voids it."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29001.75, ""side"": ""below""}, ""quality"": ""A"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 29001.75, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S2,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,1788351326915,1788351326915,1788351719485,S2,long,breakout_retest,B,False,long,"{""id"": ""S2"", ""trigger"": ""Price breaks above 29171.25 ONH on the 5m, then pulls back to touch 29171.25 as support."", ""condition"": ""breakout_retest"", ""direction"": ""long"", ""target_chain"": [29209.25, 29246.25, 29317.25], ""invalid"": ""A 5m close below 29171.25 after the retest voids the breakout."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29171.25, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S3,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,1788351326915,1788351326915,1788351719485,S3,short,reject,B,True,long,"{""id"": ""S3"", ""trigger"": ""Price rallies into 29317.25 RTH-H, wicks above it, and rejects without a 5m close above."", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29246.25, 29209.25, 29171.25], ""invalid"": ""A 5m close above 29317.25 voids the reject; a close above 29324.50 cancels it."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""above""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29317.25, ""stop"": 29345.25, ""target"": 29246.25, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,1788351719485,1788351719485,1788353043782,S1,long,hold,B,False,long,"{""id"": ""S1"", ""trigger"": ""Dips to 29117.48 VWAP+1\u03c3 and holds above it; entry on the hold with a 1x5m close above 29117.48 as fallback."", ""condition"": ""hold"", ""direction"": ""long"", ""target_chain"": [29171.25, 29209.25, 29246.25], ""invalid"": ""A 5m close below 29117.48 fails the hold and shelves the buy."", ""confirm"": {""rule"": ""time_hold"", ""ref_price"": 29117.48, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,1788351719485,1788351719485,1788353043782,S2,long,reclaim,B,False,long,"{""id"": ""S2"", ""trigger"": ""Undercut of 29058.75 PDC followed by a 1x5m close back above 29058.75."", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29117.48, 29171.25, 29209.25], ""invalid"": ""A 5m close below 29001.75 instead of reclaiming cancels this dip-buy and opens the path toward ONL."", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29058.75, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S3,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,1788351719485,1788351719485,1788353043782,S3,long,breakout_retest,B,False,long,"{""id"": ""S3"", ""trigger"": ""Thrust through 29171.25 ONH then pullback to 29171.25; a 1x5m close above 29171.25 validates the break-retest."", ""condition"": ""breakout_retest"", ""direction"": ""long"", ""target_chain"": [29209.25, 29246.25, 29317.25], ""invalid"": ""A 5m close back below 29117.48 after the retest negates the breakout."", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29171.25, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S4,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,1788351719485,1788351719485,1788353043782,S4,short,reject,B,True,long,"{""id"": ""S4"", ""trigger"": ""First touch of 29317.25 RTH-H from below; short on the touch, structure stop beyond 29324.50."", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29246.25, 29171.25], ""invalid"": ""A 5m close above 29324.50 negates the rejection."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""below""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29317.25, ""stop"": 29350, ""target"": 29246.25, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S5,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,1788351719485,1788351719485,1788353043782,S5,long,sweep_reclaim,A,False,long,"{""id"": ""S5"", ""trigger"": ""Re-test of 28927.25 ONL: a sweep below 28927.25 (touch) then a 5m close back above 28927.25; leg-2 is a 1m_mss above 28927.25."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29117.48, 29171.25], ""invalid"": ""A 5m close below 28921.50 fails the reclaim and opens continuation toward 28711.25."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 28927.25, ""side"": ""below""}, ""quality"": ""A"", ""confirm2"": {""rule"": ""1m_mss"", ""ref_price"": 28927.25, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,1788353043782,1788353043782,1788354110097,S1,long,reclaim,B,False,long,"{""id"": ""S1"", ""trigger"": ""Pullback to VWAP 29066.56 holds; wick below 29066.56, then 5m close back above 29066.56"", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29171.25, 29246.25], ""invalid"": ""5m close below 29001.75"", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29066.56, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S2,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,1788353043782,1788353043782,1788354110097,S2,long,sweep_reclaim,B,False,long,"{""id"": ""S2"", ""trigger"": ""Sweep below ONL 28927.25, then 5m close back above 28927.25"", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29066.56, 29171.25], ""invalid"": ""5m close below 28921.50"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 28927.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 28927.25, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S3,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,1788353043782,1788353043782,1788354110097,S3,long,reject,B,True,long,"{""id"": ""S3"", ""trigger"": ""First touch of RTH-L 29001.75 rejects back up; no 5m close below 29001.75"", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29066.56, 29171.25], ""invalid"": ""5m close below 28927.25"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29001.75, ""side"": ""above""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29001.75, ""stop"": 28927.25, ""target"": 29171.25, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S4,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,1788353043782,1788353043782,1788354110097,S4,long,breakout_retest,B,False,long,"{""id"": ""S4"", ""trigger"": ""5m closes above ONH 29171.25; pullback retests 29171.25"", ""condition"": ""breakout_retest"", ""direction"": ""long"", ""target_chain"": [29209.25, 29246.25, 29317.25], ""invalid"": ""5m close below 29066.56"", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29171.25, ""side"": ""above""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""touch"", ""ref_price"": 29171.25, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S5,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,1788353043782,1788353043782,1788354110097,S5,short,reject,C,False,long,"{""id"": ""S5"", ""trigger"": ""First touch of RTH-H 29317.25 rejects back down; no 5m close above 29317.25"", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29246.25, 29171.25], ""invalid"": ""5m close above 29317.25"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""below""}, ""quality"": ""C""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S1,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,1788354110097,1788354110097,1788355247995,S1,long,reject,A,True,long,"{""id"": ""S1"", ""trigger"": ""Price pulls into VWAP\u22121\u03c3 29014.19 and leaves a rejection with price holding above it."", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29058.75, 29171.25], ""invalid"": ""A 5m close below 29001.75 invalidates this reversion long."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29014.19, ""side"": ""above""}, ""quality"": ""A"", ""arm"": {""enabled"": true, ""entry"": 29014.19, ""stop"": 28985.5, ""target"": 29171.25, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S2,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,1788354110097,1788354110097,1788355247995,S2,long,sweep_reclaim,B,False,long,"{""id"": ""S2"", ""trigger"": ""Price sweeps ONL 28927.25 and prints a 1m MSS back above it."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29001.75, 29058.75, 29171.25], ""invalid"": ""A 5m close below 28917.25 voids the sweep-reclaim."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 28927.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1m_mss"", ""ref_price"": 28927.25, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S3,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,1788354110097,1788354110097,1788355247995,S3,short,reject,B,False,long,"{""id"": ""S3"", ""trigger"": ""Price rallies into RTH-H 29317.25 and rejects, leaving price below it."", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29171.25, 29058.75, 29014.19], ""invalid"": ""A 5m close above 29324.50 invalidates the rejection short."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""below""}, ""quality"": ""B""}"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S1,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,1788354584227,1788355800000,1788356728139,S1,long,sweep_reclaim,B,False,neutral,"{""id"": ""S1"", ""trigger"": ""price returns to ONL 28927.25, sweeps below it, then prints a 1x5m close back above 28927.25"", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29171.25, 29209.25], ""invalid"": ""5m close below 28917.25 after entry"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 28927.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 28927.25, ""side"": ""above""}}"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S2,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,1788354584227,1788355800000,1788356728139,S2,long,reclaim,B,False,neutral,"{""id"": ""S2"", ""trigger"": ""1x5m close back above PDC 29058.75 after holding above 29014.14"", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29171.25, 29209.25], ""invalid"": ""5m close back below 29014.14"", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29058.75, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S3,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,1788354584227,1788355800000,1788356728139,S3,long,reject,C,False,neutral,"{""id"": ""S3"", ""trigger"": ""price trades down into VWAP\u22121\u03c3 29014.14 and stalls/rejects before reaching 29001.75"", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29058.75, 29171.25], ""invalid"": ""5m close below 29001.75"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29014.14, ""side"": ""above""}, ""quality"": ""C""}"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S4,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,1788354584227,1788355800000,1788356728139,S4,short,reject,B,True,neutral,"{""id"": ""S4"", ""trigger"": ""first touch of 29317.25 RTH-H after an up move fails to hold above it"", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29246.25, 29209.25, 29171.25], ""invalid"": ""5m close above 29324.50"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""below""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29317.25, ""stop"": 29343, ""target"": 29246.25, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S1,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,1788355247995,1788355247995,1788355800000,S1,long,reject,B,False,long,"{""id"": ""S1"", ""trigger"": ""Touch of 29014.42 VWAP\u22121\u03c3 with a 5m bullish reject closing back above 29014.42."", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29058.75, 29171.25], ""invalid"": ""5m close below 29001.75 RTH-L invalidates the fade."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29014.42, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,1788355247995,1788355247995,1788355800000,S2,long,reject,B,True,long,"{""id"": ""S2"", ""trigger"": ""Touch of 29001.75 RTH-L with a 5m bullish reject closing back above 29001.75."", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29058.75, 29171.25], ""invalid"": ""5m close below 29001.75 RTH-L invalidates the long."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29001.75, ""side"": ""above""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29001.75, ""stop"": 28975.75, ""target"": 29058.75, ""wait_confirm"": true}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,1788355247995,1788355247995,1788355800000,S3,long,sweep_reclaim,B,False,long,"{""id"": ""S3"", ""trigger"": ""Sweep below 28927.25 ONL, then a 5m close back above 28927.25."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29001.75, 29058.75], ""invalid"": ""No 5m close back above 28927.25 after the sweep invalidates the setup."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 28927.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 28927.25, ""side"": ""above""}}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S4,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,1788355247995,1788355247995,1788355800000,S4,long,breakout_retest,B,False,long,"{""id"": ""S4"", ""trigger"": ""Break above 29171.25 ONH, then pullback retest holds above 29171.25."", ""condition"": ""breakout_retest"", ""direction"": ""long"", ""target_chain"": [29209.25, 29246.25], ""invalid"": ""5m close back below 29171.25 ONH invalidates the breakout."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29171.25, ""side"": ""above""}, ""quality"": ""B""}"
