id,ct,session,attempt,reject_reason
103,"2026-09-02 18:38:26",ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
104,"2026-09-02 18:39:44",ASIA,2,"scenario[2].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)"
105,"2026-09-02 19:35:00",ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
106,"2026-09-02 19:35:38",ASIA,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)"
107,"2026-09-02 19:38:17",ASIA,3,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
108,"2026-09-02 20:03:55",ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
109,"2026-09-02 20:36:47",ASIA,1,"S2 breakdown_continue: a close came back across 29176.29 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
110,"2026-09-02 20:58:23",ASIA,2,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
111,"2026-09-02 21:29:06",ASIA,1,"S4 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
112,"2026-09-02 21:44:50",ASIA,1,"scenario[1].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here"
113,"2026-09-02 21:46:34",ASIA,2,"S2 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
114,"2026-09-03 00:07:05",ASIA,1,"S3 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (15.2 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
115,"2026-09-03 00:33:15",ASIA,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (21.5 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
116,"2026-09-04 00:37:17",ASIA,1,"gap-up at 29622.25 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
117,"2026-09-04 07:52:37",LONDON,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (34.7 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
118,"2026-09-04 08:07:20",NY,1,"scenario[0].confirm2.rule ""touch"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here"
119,"2026-09-04 08:09:03",NY,2,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)"
120,"2026-09-04 08:11:45",NY,3,"S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)"
121,"2026-09-04 08:25:34",LONDON,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)"
122,"2026-09-04 08:28:32",LONDON,2,"S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)"
123,"2026-09-04 08:41:25",NY,1,"gap-up at 29607.75 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
