id,trade_date,session,attempt,reject_reason,created_at
81,2026-09-01,ASIA,1,"scenario[3].confirm2.rule ""touch"" not allowed for breakup_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x","2026-09-02 01:59:42.273354695+00:00"
82,2026-09-01,ASIA,2,"scenario[3].confirm2.rule ""displacement"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)","2026-09-02 02:05:17.059721908+00:00"
83,2026-09-01,ASIA,3,"S4 breakdown_continue: a close came back across 29047.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 02:14:51.999313692+00:00"
84,2026-09-01,ASIA,1,"arm on S1 needs EXACTLY 2 legs (split contract), got 1","2026-09-02 02:44:29.846250866+00:00"
85,2026-09-01,ASIA,2,"arm on S1 top-level entry/stop/target must equal leg 1's (legacy readers read the top-level)","2026-09-02 02:47:23.166586498+00:00"
86,2026-09-01,ASIA,3,"arm on S1 leg 2 must chain (wait_confirm true) on its confirm rule","2026-09-02 02:53:46.214997939+00:00"
87,2026-09-01,ASIA,1,"still failed after 2 retries: stream interrupted: unexpected EOF","2026-09-02 04:47:33.214108988+00:00"
88,2026-09-01,ASIA,2,"S3 breakup_continue: a close came back across 29068.05 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` ","2026-09-02 04:55:06.862471759+00:00"
89,2026-09-01,ASIA,1,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_un","2026-09-02 06:15:50.866011681+00:00"
90,2026-09-01,ASIA,2,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_un","2026-09-02 06:15:53.856486795+00:00"
91,2026-09-01,ASIA,3,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_un","2026-09-02 06:15:57.061892751+00:00"
92,2026-09-02,LONDON,1,"S1 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 06:32:54.270889137+00:00"
93,2026-09-02,LONDON,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level ","2026-09-02 06:35:04.64773277+00:00"
94,2026-09-02,LONDON,3,"S2 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 06:37:44.932552231+00:00"
95,2026-09-02,NY,1,"S4 broken level 29001.75 is 168.0 pts from price 29169.75 (> 5.0×ATR5m=119.4 — the retest is unreachable; author a nearer broken level)","2026-09-02 17:57:32.340532114+00:00"
96,2026-09-02,NY,2,"S4 breakdown_continue: a close came back across 29058.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 18:00:14.040648259+00:00"
97,2026-09-02,NY,1,"too many levels: 13 (max 12)","2026-09-02 18:56:32.05844239+00:00"
98,2026-09-02,NY,1,"S2 breakdown_continue: a close came back across 29167.66 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 19:22:33.240975743+00:00"
99,2026-09-02,NY,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level ","2026-09-02 19:23:37.849978459+00:00"
100,2026-09-02,NY,3,"S3 breakdown_continue: a close came back across 29109.65 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 19:25:17.058558805+00:00"
101,2026-09-02,ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 23:00:42.373653348+00:00"
102,2026-09-02,ASIA,1,"S4 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 23:13:41.032929248+00:00"
103,2026-09-02,ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-02 23:38:26.345870526+00:00"
104,2026-09-02,ASIA,2,"scenario[2].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level ","2026-09-02 23:39:44.072010617+00:00"
105,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 00:35:00.100535207+00:00"
106,2026-09-02,ASIA,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level ","2026-09-03 00:35:38.308869498+00:00"
107,2026-09-02,ASIA,3,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 00:38:17.296230867+00:00"
108,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 01:03:55.812458031+00:00"
109,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29176.29 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 01:36:47.044612667+00:00"
110,2026-09-02,ASIA,2,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 01:58:23.970399044+00:00"
111,2026-09-02,ASIA,1,"S4 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 02:29:06.627854454+00:00"
112,2026-09-02,ASIA,1,"scenario[1].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7);","2026-09-03 02:44:50.070835612+00:00"
113,2026-09-02,ASIA,2,"S2 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest","2026-09-03 02:46:34.08408331+00:00"
114,2026-09-02,ASIA,1,"S3 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (15.2 pts) — not a displacement move, author a normal `reject` play instead (d","2026-09-03 05:07:05.001164352+00:00"
115,2026-09-02,ASIA,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (21.5 pts) — not a displacement move, author a normal `reject` play instead (d","2026-09-03 05:33:15.599192784+00:00"
116,2026-09-03,ASIA,1,"gap-up at 29622.25 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below","2026-09-04 05:37:17.294777906+00:00"
117,2026-09-04,LONDON,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (34.7 pts) — not a displacement move, author a normal `reject` play instead (d","2026-09-04 12:52:37.160447359+00:00"
118,2026-09-04,NY,1,"scenario[0].confirm2.rule ""touch"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); ","2026-09-04 13:07:20.964657245+00:00"
119,2026-09-04,NY,2,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchan","2026-09-04 13:09:03.858539457+00:00"
120,2026-09-04,NY,3,"S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)","2026-09-04 13:11:45.602575556+00:00"
121,2026-09-04,LONDON,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchan","2026-09-04 13:25:34.473894771+00:00"
122,2026-09-04,LONDON,2,"S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)","2026-09-04 13:28:32.704571189+00:00"
123,2026-09-04,NY,1,"gap-up at 29607.75 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below","2026-09-04 13:41:25.949209682+00:00"
