plan_rowid,plan_id,version,session,scenario,condition,evaluations,met_flips,record_supported_met_flips,arm_confirm_flips,validation_pass_flips,first_changed_decision,coverage
17,2026-08-17:ASIA,3,ASIA,S3,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
18,2026-08-17:ASIA,4,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
19,2026-08-17:ASIA,5,ASIA,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
19,2026-08-17:ASIA,5,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
19,2026-08-17:ASIA,5,ASIA,S3,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
20,2026-08-17:ASIA,6,ASIA,S1,reject,0,0,0,0,0,,NOT_REPLAYED
20,2026-08-17:ASIA,6,ASIA,S2,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
21,2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
21,2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S2,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
21,2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S3,reject,0,0,0,0,0,,NOT_REPLAYED
22,2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
22,2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,reclaim,0,0,0,0,0,,NOT_REPLAYED
22,2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S3,reject,0,0,0,0,0,,NOT_REPLAYED
23,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S1,acceptance,0,0,0,0,0,,NOT_REPLAYED
23,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
23,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S3,reclaim,0,0,0,0,0,,NOT_REPLAYED
24,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S1,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
24,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
24,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S3,reclaim,0,0,0,0,0,,NOT_REPLAYED
25,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
26,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
27,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
28,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
28,2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
29,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S1,reject,0,0,0,0,0,,NOT_REPLAYED
29,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S2,acceptance,0,0,0,0,0,,NOT_REPLAYED
29,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S3,reclaim,0,0,0,0,0,,NOT_REPLAYED
30,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,reject,0,0,0,0,0,,NOT_REPLAYED
30,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S2,acceptance,0,0,0,0,0,,NOT_REPLAYED
30,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S3,reclaim,0,0,0,0,0,,NOT_REPLAYED
31,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S1,reject,0,0,0,0,0,,NOT_REPLAYED
31,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
31,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S3,acceptance,0,0,0,0,0,,NOT_REPLAYED
32,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S1,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
32,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,reclaim,0,0,0,0,0,,NOT_REPLAYED
32,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S3,acceptance,0,0,0,0,0,,NOT_REPLAYED
33,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S1,reject,0,0,0,0,0,,NOT_REPLAYED
33,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S2,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
33,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S3,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
34,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,reject,0,0,0,0,0,,NOT_REPLAYED
34,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,acceptance,0,0,0,0,0,,NOT_REPLAYED
34,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S3,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
35,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S1,reclaim,47,0,0,0,0,,retained_tape_replay
35,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S2,reject,47,0,0,0,0,,retained_tape_replay
35,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S3,acceptance,47,0,0,0,0,,retained_tape_replay
36,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S1,hold,4,0,0,0,0,,retained_tape_replay
36,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S2,breakout_retest,4,0,0,0,0,,retained_tape_replay
36,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S3,reject,4,0,0,0,0,,retained_tape_replay
37,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S1,reject,5,0,0,0,0,,retained_tape_replay
37,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S2,acceptance,5,0,0,0,0,,retained_tape_replay
37,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S3,reclaim,5,0,0,0,0,,retained_tape_replay
38,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S1,reject,134,0,0,0,0,,retained_tape_replay
38,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S2,acceptance,134,0,0,0,0,,retained_tape_replay
38,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S3,reclaim,134,0,0,0,0,,retained_tape_replay
39,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S1,breakout_retest,39,0,0,0,0,,retained_tape_replay
39,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S2,reject,39,2,2,0,0,30516,retained_tape_replay
39,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S3,acceptance,39,1,1,0,0,30529,retained_tape_replay
40,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,breakout_retest,71,0,0,0,0,,retained_tape_replay
40,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S2,reject,71,0,0,0,0,,retained_tape_replay
40,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S3,reject,71,0,0,0,0,,retained_tape_replay
41,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S1,acceptance,6,0,0,0,0,,retained_tape_replay
41,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,reject,6,1,0,0,0,30709,retained_tape_replay
41,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S3,reclaim,6,4,4,0,0,30710,retained_tape_replay
42,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S1,acceptance,77,2,2,0,0,30720,retained_tape_replay
42,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S2,reject,77,0,0,0,0,,retained_tape_replay
42,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S3,acceptance,77,1,1,0,0,30723,retained_tape_replay
43,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S1,acceptance,28,2,2,0,0,30940,retained_tape_replay
43,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S2,reject,28,3,3,0,0,30937,retained_tape_replay
43,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S3,reclaim,28,1,1,0,0,31000,retained_tape_replay
44,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S1,reject,17,0,0,0,0,,retained_tape_replay
44,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S2,breakout_retest,17,0,0,0,0,,retained_tape_replay
44,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S3,reclaim,17,4,4,0,0,31065,retained_tape_replay
45,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S1,reject,36,0,0,0,0,,retained_tape_replay
45,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S2,acceptance,36,0,0,0,0,,retained_tape_replay
45,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S3,reject,36,0,0,0,0,,retained_tape_replay
46,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S1,sweep_reclaim,4,0,0,0,0,,retained_tape_replay
46,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S2,reject,4,0,0,0,0,,retained_tape_replay
46,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S3,acceptance,4,0,0,0,0,,retained_tape_replay
47,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,reject,49,6,4,0,0,31233,retained_tape_replay
47,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S2,breakout_retest,49,0,0,0,0,,retained_tape_replay
47,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S3,reclaim,49,5,5,0,0,31209,retained_tape_replay
48,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S1,reclaim,18,0,0,0,0,,retained_tape_replay
48,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,acceptance,18,2,2,0,0,31319,retained_tape_replay
48,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S3,hold,18,0,0,0,0,,retained_tape_replay
49,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S1,reject,1,1,1,0,0,31390,retained_tape_replay
49,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,breakout_retest,1,0,0,0,0,,retained_tape_replay
49,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S3,reclaim,1,0,0,0,0,,retained_tape_replay
50,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S1,reject,156,3,3,0,0,31392,retained_tape_replay
50,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,acceptance,156,2,2,0,0,31398,retained_tape_replay
50,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S3,breakout_retest,156,0,0,0,0,,retained_tape_replay
51,2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
52,2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
53,2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
54,2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
55,2026-08-24:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,S0,hold,0,0,0,0,0,,NOT_REPLAYED
56,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S1,reject,6,0,0,0,0,,retained_tape_replay
56,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,breakout_retest,6,0,0,0,0,,retained_tape_replay
56,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S3,sweep_reclaim,6,1,0,0,0,32035,retained_tape_replay
57,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S1,acceptance,12,0,0,0,0,,retained_tape_replay
57,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S2,reject,12,1,1,0,0,32041,retained_tape_replay
57,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S3,sweep_reclaim,12,1,1,0,0,32041,retained_tape_replay
58,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,reject,6,0,0,0,0,,retained_tape_replay
58,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,acceptance,6,0,0,0,0,,retained_tape_replay
58,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S3,reject,6,0,0,0,0,,retained_tape_replay
59,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S1,reject,9,0,0,0,0,,retained_tape_replay
59,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S2,breakout_retest,9,0,0,0,0,,retained_tape_replay
59,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S3,reclaim,9,0,0,0,0,,retained_tape_replay
60,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S1,reject,2,0,0,0,0,,retained_tape_replay
60,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S2,acceptance,2,0,0,0,0,,retained_tape_replay
60,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S3,sweep_reclaim,2,1,1,0,0,32098,retained_tape_replay
61,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,S1,acceptance,2,0,0,0,0,,retained_tape_replay
61,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,S2,reject,2,0,0,0,0,,retained_tape_replay
61,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,S3,reject,2,0,0,0,0,,retained_tape_replay
62,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S1,reject,4,1,1,0,0,32105,retained_tape_replay
62,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S2,acceptance,4,0,0,0,0,,retained_tape_replay
62,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S3,sweep_reclaim,4,1,1,0,0,32103,retained_tape_replay
63,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S1,acceptance,53,0,0,0,0,,retained_tape_replay
63,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S2,reject,53,2,2,0,0,32107,retained_tape_replay
63,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S3,sweep_reclaim,53,2,2,0,0,32107,retained_tape_replay
64,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S1,reject,16,2,2,0,0,32244,retained_tape_replay
64,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S2,acceptance,16,0,0,0,0,,retained_tape_replay
64,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,S3,breakout_retest,16,2,2,0,0,32247,retained_tape_replay
65,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
66,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S1,breakout_retest,84,1,1,0,0,32284,retained_tape_replay
66,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S2,reject,84,0,0,0,0,,retained_tape_replay
66,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,S3,sweep_reclaim,84,0,0,0,0,,retained_tape_replay
67,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S1,reject,79,1,1,0,0,32399,retained_tape_replay
67,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S2,reject,79,0,0,0,0,,retained_tape_replay
67,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,S3,breakout_retest,79,0,0,0,0,,retained_tape_replay
