trade_date,session,version,scenario,condition,direction,ref_price,fired,first_touch_ct,window_start_ct,window_end_ct,window_min
2026-08-25,LONDON,1,S3,acceptance,short,29195.0,NOT_FIRED,,08-25 02:04,08-25 08:30,386
2026-08-25,LONDON,1,S4,breakout_retest,long,29297.75,FIRED,08-25 03:23,08-25 02:04,08-25 08:30,386
2026-08-25,LONDON,1,S5,reclaim,long,29199.75,NOT_FIRED,,08-25 02:04,08-25 08:30,386
2026-08-25,NY,1,S1,reclaim,long,29328.75,FIRED,08-25 08:36,08-25 08:35,08-25 15:00,385
2026-08-25,NY,1,S2,hold,long,29297.75,FIRED,08-25 08:57,08-25 08:35,08-25 15:00,385
2026-08-25,NY,1,S3,breakout_retest,long,29363.5,FIRED,08-25 08:35,08-25 08:35,08-25 15:00,385
2026-08-25,NY,1,S4,sweep_reclaim,long,29243.75,FIRED,08-25 09:08,08-25 08:35,08-25 15:00,385
2026-08-26,ASIA,1,S1,breakout_retest,long,29546.75,FIRED,08-26 19:32,08-26 17:06,08-27 01:30,504
2026-08-26,ASIA,1,S2,hold,long,29541.12,FIRED,08-26 19:32,08-26 17:06,08-27 01:30,504
2026-08-26,ASIA,1,S3,breakout_retest,long,29553.12,FIRED,08-26 17:07,08-26 17:06,08-27 01:30,504
2026-08-26,LONDON,1,S1,sweep_reclaim,short,29310.0,NOT_FIRED,,08-26 02:09,08-26 08:30,380
2026-08-26,LONDON,1,S2,breakout_retest,short,29228.5,FIRED,08-26 02:13,08-26 02:09,08-26 08:30,380
2026-08-26,LONDON,1,S3,sweep_reclaim,long,29212.5,FIRED,08-26 02:10,08-26 02:09,08-26 08:30,380
2026-08-26,NY,1,S1,reject,short,29212.5,FIRED,08-26 08:35,08-26 08:32,08-26 15:00,388
2026-08-26,NY,1,S2,breakout_retest,short,29095.5,NOT_FIRED,,08-26 08:32,08-26 15:00,388
2026-08-26,NY,1,S3,reject,long,29095.5,NOT_FIRED,,08-26 08:32,08-26 15:00,388
2026-08-27,LONDON,1,S1,sweep_reclaim,short,29502.88,FIRED,08-27 02:03,08-27 02:01,08-27 08:30,388
2026-08-27,LONDON,1,S2,reject,short,29495.92,FIRED,08-27 02:02,08-27 02:01,08-27 08:30,388
2026-08-27,LONDON,1,S3,breakout_retest,short,29466.65,NOT_FIRED,,08-27 02:01,08-27 08:30,388
2026-08-28,LONDON,1,S1,reject,short,29642.0,FIRED,08-28 07:18,08-28 02:13,08-28 08:30,376
2026-08-28,LONDON,1,S2,sweep_reclaim,short,29678.25,FIRED,08-28 08:01,08-28 02:13,08-28 08:30,376
2026-08-28,LONDON,1,S3,breakout_retest,short,29591.5,FIRED,08-28 03:01,08-28 02:13,08-28 08:30,376
2026-08-28,NY,1,S1,reject,short,29707.5,FIRED,08-28 09:00,08-28 08:33,08-28 15:00,386
2026-08-28,NY,1,S2,breakout_retest,short,29577.75,FIRED,08-28 09:06,08-28 08:33,08-28 15:00,386
2026-08-28,NY,1,S3,breakout_retest,long,29707.5,FIRED,08-28 09:00,08-28 08:33,08-28 15:00,386
2026-08-28,NY,1,S4,sweep_reclaim,long,29402.25,NOT_FIRED,,08-28 08:33,08-28 15:00,386
2026-08-30,ASIA,1,S1,sweep_reclaim,long,29501.0,FIRED,08-31 01:14,08-30 17:08,08-31 01:30,501
2026-08-30,ASIA,1,S2,reject,long,29494.38,FIRED,08-30 17:20,08-30 17:08,08-31 01:30,501
2026-08-30,ASIA,1,S3,breakout_retest,long,29509.5,FIRED,08-31 01:15,08-30 17:08,08-31 01:30,501
2026-08-30,ASIA,1,S4,sweep_reclaim,long,29437.0,FIRED,08-30 17:36,08-30 17:08,08-31 01:30,501
2026-09-01,NY,1,S1,breakdown_continue,short,29122.75,FIRED,09-01 08:29,09-01 08:06,09-01 15:00,413
2026-09-01,NY,1,S2,reject,short,29138.0,FIRED,09-01 08:35,09-01 08:06,09-01 15:00,413
2026-09-01,NY,1,S3,reject,short,29177.5,FIRED,09-01 09:22,09-01 08:06,09-01 15:00,413
2026-09-01,NY,1,S4,sweep_reclaim,long,29122.75,FIRED,09-01 08:29,09-01 08:06,09-01 15:00,413
2026-09-02,ASIA,1,S1,reclaim,long,29113.89,FIRED,09-03 00:19,09-02 16:36,09-03 01:30,534
2026-09-02,ASIA,1,S2,sweep_reclaim,long,29042.75,NOT_FIRED,,09-02 16:36,09-03 01:30,534
2026-09-02,ASIA,1,S3,breakout_retest,long,29171.25,FIRED,09-02 17:00,09-02 16:36,09-03 01:30,534
2026-09-02,ASIA,1,S4,sweep_reclaim,short,29317.25,NOT_FIRED,,09-02 16:36,09-03 01:30,534
2026-09-02,NY,1,S1,sweep_reclaim,long,28927.25,NOT_FIRED,,09-02 08:09,09-02 15:00,410
2026-09-02,NY,1,S2,reclaim,long,29058.75,FIRED,09-02 08:30,09-02 08:09,09-02 15:00,410
2026-09-02,NY,1,S3,reject,long,29014.14,NOT_FIRED,,09-02 08:09,09-02 15:00,410
2026-09-02,NY,1,S4,reject,short,29317.25,NOT_FIRED,,09-02 08:09,09-02 15:00,410
2026-09-03,ASIA,1,S1,breakout_retest,long,29525.75,FIRED,09-03 19:22,09-03 16:37,09-04 01:30,532
2026-09-03,ASIA,1,S2,reclaim,long,29460.16,NOT_FIRED,,09-03 16:37,09-04 01:30,532
2026-09-03,ASIA,1,S3,sweep_reclaim,short,29525.75,FIRED,09-03 19:22,09-03 16:37,09-04 01:30,532
2026-09-03,ASIA,1,S4,reclaim,long,29512.54,FIRED,09-03 17:59,09-03 16:37,09-04 01:30,532
2026-09-03,LONDON,1,S1,reject,short,29204.25,FIRED,09-03 02:04,09-03 01:34,09-03 08:30,415
2026-09-03,LONDON,1,S2,sweep_reclaim,long,29075.0,NOT_FIRED,,09-03 01:34,09-03 08:30,415
2026-09-03,NY,1,S1,reject,short,29259.67,FIRED,09-03 08:30,09-03 08:05,09-03 15:00,415
2026-09-03,NY,1,S2,breakout_retest,long,29259.67,FIRED,09-03 08:30,09-03 08:05,09-03 15:00,415
2026-09-03,NY,1,S3,sweep_reclaim,short,29293.0,FIRED,09-03 08:39,09-03 08:05,09-03 15:00,415
2026-09-04,LONDON,1,S1,reclaim,long,29597.25,FIRED,09-04 01:46,09-04 01:41,09-04 08:30,409
2026-09-04,LONDON,1,S2,reject,long,29579.5,FIRED,09-04 01:53,09-04 01:41,09-04 08:30,409
2026-09-04,LONDON,1,S3,sweep_reclaim,short,29644.25,FIRED,09-04 02:33,09-04 01:41,09-04 08:30,409
2026-09-04,LONDON,1,S4,reclaim,long,29619.5,FIRED,09-04 02:14,09-04 01:41,09-04 08:30,409
