representative_id,kind,price,opened_at_ms,opened_ct,cme_day,outcome,raw_n,raw_ids,stored_ordinals,stored_ordinal,reconstructed_ordinal,ordinal_bucket,first_plan_row,plan_created_ms,plan_asof_ok
34,VWAP,29509.089576892293,1788465300000,2026-09-03T14:55:00-05:00,2026-09-02,hold,1,34,1,1,9,3+,245,1788485552918,False
35,VWAP,29509.089576892293,1788465600000,2026-09-03T15:00:00-05:00,2026-09-02,ambiguous_horizon,1,35,1,1,10,3+,245,1788485552918,False
36,VWAP,29509.089576892293,1788466860000,2026-09-03T15:21:00-05:00,2026-09-02,ambiguous_horizon,1,36,1,1,11,3+,245,1788485552918,False
37,VWAP,29509.089576892293,1788468360000,2026-09-03T15:46:00-05:00,2026-09-02,ambiguous_horizon,1,37,1,1,12,3+,245,1788485552918,False
38,VWAP,29509.089576892293,1788472800000,2026-09-03T17:00:00-05:00,2026-09-03,hold,1,38,1,1,1,1,245,1788485552918,False
39,VWAP,29509.089576892293,1788476340000,2026-09-03T17:59:00-05:00,2026-09-03,ambiguous_horizon,1,39,2,2,2,2,245,1788485552918,False
40,VWAP,29509.089576892293,1788478020000,2026-09-03T18:27:00-05:00,2026-09-03,ambiguous_horizon,1,40,3,3,3,3+,245,1788485552918,False
41,VWAP,29509.089576892293,1788478920000,2026-09-03T18:42:00-05:00,2026-09-03,ambiguous_horizon,1,41,4,4,4,3+,245,1788485552918,False
42,VWAP,29509.089576892293,1788480060000,2026-09-03T19:01:00-05:00,2026-09-03,ambiguous_horizon,1,42,5,5,5,3+,245,1788485552918,False
43,OB,29490.875,1788448980000,2026-09-03T10:23:00-05:00,2026-09-02,break,1,43,1,1,1,1,245,1788485552918,False
44,OB,29490.875,1788452760000,2026-09-03T11:26:00-05:00,2026-09-02,hold,1,44,1,1,2,2,245,1788485552918,False
45,OB,29490.875,1788455400000,2026-09-03T12:10:00-05:00,2026-09-02,ambiguous_horizon,1,45,1,1,3,3+,245,1788485552918,False
46,OB,29490.875,1788456300000,2026-09-03T12:25:00-05:00,2026-09-02,break,1,46,1,1,4,3+,245,1788485552918,False
47,OB,29490.875,1788472860000,2026-09-03T17:01:00-05:00,2026-09-03,ambiguous_horizon,1,47,1,1,1,1,245,1788485552918,False
48,OB,29490.875,1788473700000,2026-09-03T17:15:00-05:00,2026-09-03,ambiguous_horizon,1,48,2,2,2,2,245,1788485552918,False
49,OB,29490.875,1788474540000,2026-09-03T17:29:00-05:00,2026-09-03,ambiguous_horizon,1,49,3,3,3,3+,245,1788485552918,False
50,ONL,29481.5,1788448920000,2026-09-03T10:22:00-05:00,2026-09-02,break,1,50,1,1,1,1,245,1788485552918,False
51,ONL,29481.5,1788456000000,2026-09-03T12:20:00-05:00,2026-09-02,hold,1,51,1,1,2,2,245,1788485552918,False
52,ONL,29481.5,1788473460000,2026-09-03T17:11:00-05:00,2026-09-03,hold,1,52,1,1,1,1,245,1788485552918,False
53,VWAP±2σ,29637.522083992048,1788499080000,2026-09-04T00:18:00-05:00,2026-09-03,hold,1,53,1,1,1,1,246,1788500413822,False
54,PDH,29601.0,1788500940000,2026-09-04T00:49:00-05:00,2026-09-03,hold,1,54,3,3,3,3+,246,1788500413822,True
55,PDC,29597.25,1788501000000,2026-09-04T00:50:00-05:00,2026-09-03,hold,1,55,3,3,3,3+,246,1788500413822,True
56,SWG-L,29591.5,1788496020000,2026-09-03T23:27:00-05:00,2026-09-03,ambiguous_horizon,1,56,1,1,1,1,246,1788500413822,False
57,SWG-L,29591.5,1788497700000,2026-09-03T23:55:00-05:00,2026-09-03,break,1,57,2,2,2,2,246,1788500413822,False
58,SWG-L,29591.5,1788501000000,2026-09-04T00:50:00-05:00,2026-09-03,hold,1,58,3,3,3,3+,246,1788500413822,True
59,VWAP,29554.195227116023,1788458400000,2026-09-03T13:00:00-05:00,2026-09-02,break,1,59,1,1,1,1,246,1788500413822,False
60,VWAP,29554.195227116023,1788462000000,2026-09-03T14:00:00-05:00,2026-09-02,ambiguous_horizon,1,60,1,1,2,2,246,1788500413822,False
61,VWAP,29554.195227116023,1788488580000,2026-09-03T21:23:00-05:00,2026-09-03,ambiguous_horizon,1,61,1,1,1,1,246,1788500413822,False
62,VWAP,29554.195227116023,1788489660000,2026-09-03T21:41:00-05:00,2026-09-03,ambiguous_horizon,1,62,2,2,2,2,246,1788500413822,False
63,eVWAP,29549.24923737589,1788457920000,2026-09-03T12:52:00-05:00,2026-09-02,break,1,63,1,1,1,1,246,1788500413822,False
64,eVWAP,29549.24923737589,1788462480000,2026-09-03T14:08:00-05:00,2026-09-02,break,1,64,1,1,2,2,246,1788500413822,False
65,eVWAP,29549.24923737589,1788485820000,2026-09-03T20:37:00-05:00,2026-09-03,hold,1,65,1,1,1,1,246,1788500413822,False
66,eVWAP,29549.24923737589,1788487860000,2026-09-03T21:11:00-05:00,2026-09-03,ambiguous_horizon,1,66,2,2,2,2,246,1788500413822,False
67,eVWAP,29549.24923737589,1788489240000,2026-09-03T21:34:00-05:00,2026-09-03,ambiguous_horizon,1,67,3,3,3,3+,246,1788500413822,False
68,SWG-H,29513.0,1788449160000,2026-09-03T10:26:00-05:00,2026-09-02,break,1,68,1,1,1,1,246,1788500413822,False
69,SWG-H,29513.0,1788449880000,2026-09-03T10:38:00-05:00,2026-09-02,ambiguous_horizon,1,69,1,1,2,2,246,1788500413822,False
70,SWG-H,29513.0,1788451440000,2026-09-03T11:04:00-05:00,2026-09-02,ambiguous_horizon,1,70,1,1,3,3+,246,1788500413822,False
71,SWG-H,29513.0,1788452520000,2026-09-03T11:22:00-05:00,2026-09-02,break,1,71,1,1,4,3+,246,1788500413822,False
72,SWG-H,29513.0,1788453480000,2026-09-03T11:38:00-05:00,2026-09-02,break,1,72,1,1,5,3+,246,1788500413822,False
73,SWG-H,29513.0,1788454920000,2026-09-03T12:02:00-05:00,2026-09-02,break,1,73,1,1,6,3+,246,1788500413822,False
74,SWG-H,29513.0,1788456660000,2026-09-03T12:31:00-05:00,2026-09-02,break,1,74,1,1,7,3+,246,1788500413822,False
75,SWG-H,29513.0,1788465060000,2026-09-03T14:51:00-05:00,2026-09-02,hold,1,75,1,1,8,3+,246,1788500413822,False
76,SWG-H,29513.0,1788465480000,2026-09-03T14:58:00-05:00,2026-09-02,hold,1,76,1,1,9,3+,246,1788500413822,False
77,SWG-H,29513.0,1788466740000,2026-09-03T15:19:00-05:00,2026-09-02,ambiguous_horizon,1,77,1,1,10,3+,246,1788500413822,False
78,SWG-H,29513.0,1788467700000,2026-09-03T15:35:00-05:00,2026-09-02,ambiguous_horizon,1,78,1,1,11,3+,246,1788500413822,False
79,SWG-H,29513.0,1788476340000,2026-09-03T17:59:00-05:00,2026-09-03,ambiguous_horizon,1,79,1,1,1,1,246,1788500413822,False
80,SWG-H,29513.0,1788479100000,2026-09-03T18:45:00-05:00,2026-09-03,ambiguous_horizon,1,80,2,2,2,2,246,1788500413822,False
81,SWG-H,29513.0,1788480300000,2026-09-03T19:05:00-05:00,2026-09-03,ambiguous_horizon,1,81,3,3,3,3+,246,1788500413822,False
82,EQL,29639.5,1788499140000,2026-09-04T00:19:00-05:00,2026-09-03,hold,1,82,1,1,1,1,,,False
83,EQL,29639.5,1788502260000,2026-09-04T01:11:00-05:00,2026-09-03,hold,1,83,2,2,2,2,,,False
84,ONH,29644.25,1788502320000,2026-09-04T01:12:00-05:00,2026-09-03,hold,1,84,1,1,1,1,,,False
85,VWAP,29558.335161129893,1788458400000,2026-09-03T13:00:00-05:00,2026-09-02,break,1,85,1,1,1,1,,,False
86,VWAP,29558.335161129893,1788462000000,2026-09-03T14:00:00-05:00,2026-09-02,break,1,86,1,1,2,2,,,False
87,VWAP,29558.335161129893,1788489000000,2026-09-03T21:30:00-05:00,2026-09-03,ambiguous_horizon,1,87,1,1,1,1,,,False
88,VWAP,29558.335161129893,1788490080000,2026-09-03T21:48:00-05:00,2026-09-03,ambiguous_horizon,1,88,2,2,2,2,,,False
89,VWAP,29558.335161129893,1788491460000,2026-09-03T22:11:00-05:00,2026-09-03,hold,1,89,3,3,3,3+,,,False
90,VWAP,29558.335161129893,1788494580000,2026-09-03T23:03:00-05:00,2026-09-03,hold,1,90,4,4,4,3+,,,False
91,eVWAP,29553.131223672517,1788458400000,2026-09-03T13:00:00-05:00,2026-09-02,break,1,91,1,1,1,1,,,False
92,eVWAP,29553.131223672517,1788462060000,2026-09-03T14:01:00-05:00,2026-09-02,break,1,92,1,1,2,2,,,False
93,eVWAP,29553.131223672517,1788487920000,2026-09-03T21:12:00-05:00,2026-09-03,ambiguous_horizon,1,93,1,1,1,1,,,False
94,eVWAP,29553.131223672517,1788488880000,2026-09-03T21:28:00-05:00,2026-09-03,ambiguous_horizon,1,94,2,2,2,2,,,False
95,eVWAP,29553.131223672517,1788489960000,2026-09-03T21:46:00-05:00,2026-09-03,ambiguous_horizon,1,95,3,3,3,3+,,,False
96,SWG-L,29491.0,1788448980000,2026-09-03T10:23:00-05:00,2026-09-02,break,1,96,1,1,1,1,,,False
97,SWG-L,29491.0,1788452760000,2026-09-03T11:26:00-05:00,2026-09-02,hold,1,97,1,1,2,2,,,False
98,SWG-L,29491.0,1788455400000,2026-09-03T12:10:00-05:00,2026-09-02,ambiguous_horizon,1,98,1,1,3,3+,,,False
99,SWG-L,29491.0,1788456300000,2026-09-03T12:25:00-05:00,2026-09-02,break,1,99,1,1,4,3+,,,False
100,SWG-L,29491.0,1788472860000,2026-09-03T17:01:00-05:00,2026-09-03,ambiguous_horizon,1,100,1,1,1,1,,,False
101,SWG-L,29491.0,1788473700000,2026-09-03T17:15:00-05:00,2026-09-03,ambiguous_horizon,1,101,2,2,2,2,,,False
102,SWG-L,29491.0,1788474540000,2026-09-03T17:29:00-05:00,2026-09-03,ambiguous_horizon,1,102,3,3,3,3+,,,False
103,SWG-L,29491.0,1788480000000,2026-09-03T19:00:00-05:00,2026-09-03,hold,1,103,4,4,4,3+,,,False
104,VWAP,29561.434206358408,1788458400000,2026-09-03T13:00:00-05:00,2026-09-02,break,1,104,1,1,1,1,248,1788504075950,False
105,VWAP,29561.434206358408,1788460980000,2026-09-03T13:43:00-05:00,2026-09-02,hold,1,105,1,1,2,2,248,1788504075950,False
106,VWAP,29561.434206358408,1788461700000,2026-09-03T13:55:00-05:00,2026-09-02,ambiguous_horizon,1,106,1,1,3,3+,248,1788504075950,False
107,VWAP,29561.434206358408,1788489000000,2026-09-03T21:30:00-05:00,2026-09-03,ambiguous_horizon,1,107,1,1,1,1,248,1788504075950,False
108,VWAP,29561.434206358408,1788490200000,2026-09-03T21:50:00-05:00,2026-09-03,ambiguous_horizon,1,108,2,2,2,2,248,1788504075950,False
109,VWAP,29561.434206358408,1788491220000,2026-09-03T22:07:00-05:00,2026-09-03,hold,1,109,3,3,3,3+,248,1788504075950,False
110,VWAP,29561.434206358408,1788494520000,2026-09-03T23:02:00-05:00,2026-09-03,hold,1,110,4,4,4,3+,248,1788504075950,False
111,SWG-L,29556.25,1788458400000,2026-09-03T13:00:00-05:00,2026-09-02,break,1,111,1,1,1,1,248,1788504075950,False
112,SWG-L,29556.25,1788462000000,2026-09-03T14:00:00-05:00,2026-09-02,ambiguous_horizon,1,112,1,1,2,2,248,1788504075950,False
113,SWG-L,29556.25,1788488640000,2026-09-03T21:24:00-05:00,2026-09-03,ambiguous_horizon,1,113,1,1,1,1,248,1788504075950,False
114,SWG-L,29556.25,1788490080000,2026-09-03T21:48:00-05:00,2026-09-03,ambiguous_horizon,1,114,2,2,2,2,248,1788504075950,False
115,SWG-L,29556.25,1788494580000,2026-09-03T23:03:00-05:00,2026-09-03,hold,1,115,3,3,3,3+,248,1788504075950,False
116,PDC,29597.25,1788504000000,2026-09-04T01:40:00-05:00,2026-09-03,hold,1,116,4,4,4,3+,248,1788504075950,False
117,PDC,29597.25,1788504360000,2026-09-04T01:46:00-05:00,2026-09-03,break,1,117,5,5,5,3+,248,1788504075950,True
118,PDH,29601.0,1788503700000,2026-09-04T01:35:00-05:00,2026-09-03,ambiguous_horizon,1,118,4,4,4,3+,248,1788504075950,False
119,VWAP,29517.354840748478,1788449220000,2026-09-03T10:27:00-05:00,2026-09-02,break,1,119,1,1,1,1,248,1788504075950,False
120,VWAP,29517.354840748478,1788449820000,2026-09-03T10:37:00-05:00,2026-09-02,ambiguous_horizon,1,120,1,1,2,2,248,1788504075950,False
121,VWAP,29517.354840748478,1788450840000,2026-09-03T10:54:00-05:00,2026-09-02,hold,1,121,1,1,3,3+,248,1788504075950,False
122,VWAP,29517.354840748478,1788451440000,2026-09-03T11:04:00-05:00,2026-09-02,ambiguous_horizon,1,122,1,1,4,3+,248,1788504075950,False
123,VWAP,29517.354840748478,1788453540000,2026-09-03T11:39:00-05:00,2026-09-02,break,1,123,1,1,5,3+,248,1788504075950,False
124,VWAP,29517.354840748478,1788454380000,2026-09-03T11:53:00-05:00,2026-09-02,hold,1,124,1,1,6,3+,248,1788504075950,False
125,VWAP,29517.354840748478,1788454920000,2026-09-03T12:02:00-05:00,2026-09-02,break,1,125,1,1,7,3+,248,1788504075950,False
126,VWAP,29517.354840748478,1788456840000,2026-09-03T12:34:00-05:00,2026-09-02,break,1,126,1,1,8,3+,248,1788504075950,False
127,VWAP,29517.354840748478,1788464880000,2026-09-03T14:48:00-05:00,2026-09-02,hold,1,127,1,1,9,3+,248,1788504075950,False
128,VWAP,29517.354840748478,1788465720000,2026-09-03T15:02:00-05:00,2026-09-02,ambiguous_horizon,1,128,1,1,10,3+,248,1788504075950,False
129,VWAP,29517.354840748478,1788466560000,2026-09-03T15:16:00-05:00,2026-09-02,ambiguous_horizon,1,129,1,1,11,3+,248,1788504075950,False
130,VWAP,29517.354840748478,1788467820000,2026-09-03T15:37:00-05:00,2026-09-02,ambiguous_horizon,1,130,1,1,12,3+,248,1788504075950,False
131,VWAP,29517.354840748478,1788480420000,2026-09-03T19:07:00-05:00,2026-09-03,ambiguous_horizon,1,131,1,1,1,1,248,1788504075950,False
132,VWAP,29517.354840748478,1788481560000,2026-09-03T19:26:00-05:00,2026-09-03,ambiguous_horizon,1,132,2,2,2,2,248,1788504075950,False
133,VWAP,29517.354840748478,1788484560000,2026-09-03T20:16:00-05:00,2026-09-03,hold,1,133,3,3,3,3+,248,1788504075950,False
134,VWAP±2σ,29473.27547513855,1788448500000,2026-09-03T10:15:00-05:00,2026-09-02,hold,1,134,1,1,1,1,248,1788504075950,False
135,VWAP±2σ,29473.27547513855,1788448920000,2026-09-03T10:22:00-05:00,2026-09-02,break,1,135,1,1,2,2,248,1788504075950,False
136,VWAP,29538.839091719696,1788449340000,2026-09-03T10:29:00-05:00,2026-09-02,hold,1,136,1,1,1,1,249,1788505454613,False
137,VWAP,29538.839091719696,1788451140000,2026-09-03T10:59:00-05:00,2026-09-02,hold,1,137,1,1,2,2,249,1788505454613,False
138,VWAP,29538.839091719696,1788454620000,2026-09-03T11:57:00-05:00,2026-09-02,hold,1,138,1,1,3,3+,249,1788505454613,False
139,VWAP,29538.839091719696,1788457860000,2026-09-03T12:51:00-05:00,2026-09-02,break,1,139,1,1,4,3+,249,1788505454613,False
140,VWAP,29538.839091719696,1788462780000,2026-09-03T14:13:00-05:00,2026-09-02,ambiguous_horizon,1,140,1,1,5,3+,249,1788505454613,False
141,VWAP,29538.839091719696,1788463800000,2026-09-03T14:30:00-05:00,2026-09-02,ambiguous_horizon,1,141,1,1,6,3+,249,1788505454613,False
142,VWAP,29538.839091719696,1788482940000,2026-09-03T19:49:00-05:00,2026-09-03,ambiguous_horizon,1,142,1,1,1,1,249,1788505454613,False
143,VWAP,29538.839091719696,1788484860000,2026-09-03T20:21:00-05:00,2026-09-03,ambiguous_horizon,1,143,2,2,2,2,249,1788505454613,False
144,VWAP,29538.839091719696,1788485880000,2026-09-03T20:38:00-05:00,2026-09-03,ambiguous_horizon,1,144,3,3,3,3+,249,1788505454613,False
145,VWAP,29538.839091719696,1788486780000,2026-09-03T20:53:00-05:00,2026-09-03,ambiguous_horizon,1,145,4,4,4,3+,249,1788505454613,False
146,VWAP,29538.839091719696,1788525120000,2026-09-04T07:32:00-05:00,2026-09-03,hold,1,146,5,5,5,3+,249,1788505454613,True
147,RTH-H,29585.0,1788504660000,2026-09-04T01:51:00-05:00,2026-09-03,ambiguous_horizon,1,147,3,3,3,3+,249,1788505454613,False
148,RTH-H,29585.0,1788525000000,2026-09-04T07:30:00-05:00,2026-09-03,break,1,148,4,4,4,3+,249,1788505454613,True
149,RTH-H,29585.0,1788525720000,2026-09-04T07:42:00-05:00,2026-09-03,hold,1,149,5,5,5,3+,249,1788505454613,True
150,PDC,29597.25,1788505440000,2026-09-04T02:04:00-05:00,2026-09-03,break,1,150,6,6,6,3+,249,1788505454613,False
151,PDC,29597.25,1788525000000,2026-09-04T07:30:00-05:00,2026-09-03,break,1,151,7,7,7,3+,249,1788505454613,True
152,PDH,29601.0,1788505680000,2026-09-04T02:08:00-05:00,2026-09-03,break,1,152,5,5,5,3+,249,1788505454613,True
153,PDH,29601.0,1788525000000,2026-09-04T07:30:00-05:00,2026-09-03,break,1,153,6,6,6,3+,249,1788505454613,True
154,SUPPLY,29496.25,1788449160000,2026-09-03T10:26:00-05:00,2026-09-02,break,1,154,1,1,1,1,249,1788505454613,False
155,SUPPLY,29496.25,1788452700000,2026-09-03T11:25:00-05:00,2026-09-02,ambiguous_horizon,1,155,1,1,2,2,249,1788505454613,False
156,SUPPLY,29496.25,1788455280000,2026-09-03T12:08:00-05:00,2026-09-02,break,1,156,1,1,3,3+,249,1788505454613,False
157,SUPPLY,29496.25,1788456360000,2026-09-03T12:26:00-05:00,2026-09-02,break,1,157,1,1,4,3+,249,1788505454613,False
158,SUPPLY,29496.25,1788472800000,2026-09-03T17:00:00-05:00,2026-09-03,ambiguous_horizon,1,158,1,1,1,1,249,1788505454613,False
159,SUPPLY,29496.25,1788474840000,2026-09-03T17:34:00-05:00,2026-09-03,ambiguous_horizon,1,159,2,2,2,2,249,1788505454613,False
160,SUPPLY,29496.25,1788476760000,2026-09-03T18:06:00-05:00,2026-09-03,hold,1,160,3,3,3,3+,249,1788505454613,False
161,SUPPLY,29496.25,1788480000000,2026-09-03T19:00:00-05:00,2026-09-03,hold,1,161,4,4,4,3+,249,1788505454613,False
162,ONH,29720.0,1788525000000,2026-09-04T07:30:00-05:00,2026-09-03,hold,1,162,1,1,1,1,249,1788505454613,True
163,DEMAND,29278.0,1788422640000,2026-09-03T03:04:00-05:00,2026-09-02,hold,5,"163,212,261,329,394",1,1,1,1,249,1788505454613,False
164,DEMAND,29278.0,1788442200000,2026-09-03T08:30:00-05:00,2026-09-02,hold,5,"164,213,262,330,395",1,1,2,2,249,1788505454613,False
165,DEMAND,29278.0,1788442440000,2026-09-03T08:34:00-05:00,2026-09-02,hold,5,"165,214,263,331,396",1,1,3,3+,249,1788505454613,False
166,DEMAND,29278.0,1788442680000,2026-09-03T08:38:00-05:00,2026-09-02,break,5,"166,215,264,332,397",1,1,4,3+,249,1788505454613,False
167,DEMAND,29278.0,1788444000000,2026-09-03T09:00:00-05:00,2026-09-02,ambiguous_conflict,5,"167,216,265,333,398",1,1,5,3+,249,1788505454613,False
168,DEMAND,29278.0,1788444660000,2026-09-03T09:11:00-05:00,2026-09-02,break,5,"168,217,266,334,399",1,1,6,3+,249,1788505454613,False
169,DEMAND,29278.0,1788446400000,2026-09-03T09:40:00-05:00,2026-09-02,hold,5,"169,218,267,335,400",1,1,7,3+,249,1788505454613,False
170,DEMAND,29278.0,1788446700000,2026-09-03T09:45:00-05:00,2026-09-02,hold,5,"170,219,268,336,401",1,1,8,3+,249,1788505454613,False
171,DEMAND,29278.0,1788447360000,2026-09-03T09:56:00-05:00,2026-09-02,hold,5,"171,220,269,337,402",1,1,9,3+,249,1788505454613,False
172,RTH-L,29199.25,1788405000000,2026-09-02T22:10:00-05:00,2026-09-02,break,3,"172,221,270",1,1,1,1,249,1788505454613,False
173,RTH-L,29199.25,1788411660000,2026-09-03T00:01:00-05:00,2026-09-02,break,7,"173,222,271,338,403,451,493",1,1,2,2,249,1788505454613,False
174,RTH-L,29199.25,1788415560000,2026-09-03T01:06:00-05:00,2026-09-02,hold,9,"174,223,272,339,404,452,494,535,580",1,1,3,3+,249,1788505454613,False
175,RTH-L,29199.25,1788418980000,2026-09-03T02:03:00-05:00,2026-09-02,break,11,"175,224,273,340,405,453,495,536,581,622,659",1,1,4,3+,249,1788505454613,False
176,RTH-L,29199.25,1788419220000,2026-09-03T02:07:00-05:00,2026-09-02,ambiguous_horizon,11,"176,225,274,341,406,454,496,537,582,623,660",1,1,5,3+,249,1788505454613,False
177,RTH-L,29199.25,1788420300000,2026-09-03T02:25:00-05:00,2026-09-02,break,11,"177,226,275,342,407,455,497,538,583,624,661",1,1,6,3+,249,1788505454613,False
178,RTH-L,29199.25,1788420420000,2026-09-03T02:27:00-05:00,2026-09-02,break,11,"178,227,276,343,408,456,498,539,584,625,662",1,1,7,3+,249,1788505454613,False
179,RTH-L,29199.25,1788421680000,2026-09-03T02:48:00-05:00,2026-09-02,hold,11,"179,228,277,344,409,457,499,540,585,626,663",1,1,8,3+,249,1788505454613,False
180,RTH-L,29199.25,1788427260000,2026-09-03T04:21:00-05:00,2026-09-02,ambiguous_conflict,11,"180,229,278,345,410,458,500,541,586,627,664",1,1,9,3+,249,1788505454613,False
181,RTH-L,29199.25,1788438600000,2026-09-03T07:30:00-05:00,2026-09-02,break,11,"181,230,279,346,411,459,501,542,587,628,665",1,1,10,3+,249,1788505454613,False
182,RTH-L,29199.25,1788438900000,2026-09-03T07:35:00-05:00,2026-09-02,break,11,"182,231,280,347,412,460,502,543,588,629,666",1,1,11,3+,249,1788505454613,False
183,RTH-L,29199.25,1788439680000,2026-09-03T07:48:00-05:00,2026-09-02,break,11,"183,232,281,348,413,461,503,544,589,630,667",1,1,12,3+,249,1788505454613,False
184,RTH-L,29199.25,1788440820000,2026-09-03T08:07:00-05:00,2026-09-02,hold,11,"184,233,282,349,414,462,504,545,590,631,668",1,1,13,3+,249,1788505454613,False
185,RTH-L,29199.25,1788442560000,2026-09-03T08:36:00-05:00,2026-09-02,hold,11,"185,234,283,350,415,463,505,546,591,632,669",1,1,14,3+,249,1788505454613,False
186,DEMAND,29144.5,1788412440000,2026-09-03T00:14:00-05:00,2026-09-02,break,8,"186,235,284,351,416,464,506,547",1,1,1,1,249,1788505454613,False
187,DEMAND,29144.5,1788413940000,2026-09-03T00:39:00-05:00,2026-09-02,break,9,"187,236,285,352,417,465,507,548,592",1,1,2,2,249,1788505454613,False
188,DEMAND,29144.5,1788429300000,2026-09-03T04:55:00-05:00,2026-09-02,ambiguous_horizon,11,"188,237,286,353,418,466,508,549,593,633,670",1,1,3,3+,249,1788505454613,False
