id,plan_id,version,scenario,condition,side,entry_px,stop_px,target_px,state,state_reason,kind,placement_seq,signal_id,created_at,updated_at
12,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,,long,29437.0,29414.75,29509.5,cancelled,gate changed: min_sl,,0,84f15f79-d9e2-4d6e-98a8-04ffe2dbafbb,2026-08-30 17:25:01.029309272-05:00,2026-08-30 22:36:53.215282022+00:00
13,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,,short,29414.21,29440.0,29357.25,cancelled,e7_incident_kill:manual_cancel_respected,limit,0,,2026-08-30 19:50:01.024513137-05:00,2026-08-30 23:10:36.529773375-05:00
14,2026-08-30:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,,long,29371.5,29350.0,29420.0,cancelled,e7_incident_kill:manual_cancel_respected,limit,0,58f77728-4925-45aa-830d-c1c6d003cd58,2026-08-30 23:10:36.529773375-05:00,2026-08-31 04:10:36.531866251+00:00
15,TEST-E7:c15c48a6-a036-4991-b4d0-9c9e0b2295b3,0,TEST-E7,,short,28700.0,28850.0,28500.0,filled,e7_farside_test:,,0,c15c48a6-a036-4991-b4d0-9c9e0b2295b3,2026-08-31 03:32:55.51608237+00:00,2026-09-04 18:25:47.501481828+00:00
16,TEST-E7:1deb5e23-e616-4523-a172-59362c9eb48b,0,TEST-E7,,short,28700.0,28850.0,28500.0,cancelled,test seam cancel,,0,1deb5e23-e616-4523-a172-59362c9eb48b,2026-08-31 05:09:35.265528557+00:00,2026-08-31 05:11:11.995416589+00:00
17,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,,long,29437.0,29416.0,29498.5,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-08-31 08:13:51.64821829-05:00,2026-08-31 13:15:51.502772368+00:00
18,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,,long,29398.52,29378.02,29498.5,cancelled,gate changed: min_sl,limit,0,a541d9e4-4eb2-4ec3-a0d0-32b7281cc2c8,2026-08-31 08:13:51.64821829-05:00,2026-08-31 13:17:51.498408668+00:00
19,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S2,,long,29410.98,29363.72,29517.0,cancelled,session ended (EOD flat),limit,0,,2026-08-31 14:35:28.431238989-05:00,2026-08-31 19:45:28.413575857+00:00
20,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S3,,short,29458.38,29482.5,29394.75,filled,fill@29459.00,limit,0,060192ea-7281-4b55-b7f7-11a9c11adbe7,2026-08-31 12:00:01.042663134-05:00,2026-08-31 13:09:28.810995971-05:00
21,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,,long,29413.0,29363.25,29517.0,filled,fill@29413.00,limit,0,f0bbe9af-c6ce-4444-8243-974c1ce03208,2026-08-31 12:20:01.040757652-05:00,2026-08-31 12:25:29.000125637-05:00
22,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,,long,29417.0,29387.0,29517.0,cancelled,no order_update within stale window (reconnect/reconcile),,0,4b41dd13-defa-4adb-8d5b-7236f0f31a50,2026-08-31 12:41:29.075241176-05:00,2026-08-31 18:09:28.806543563+00:00
23,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,,short,29477.0,29500.21,29418.62,cancelled,gate changed: min_sl,limit,0,ca315135-f697-435d-b00f-70be3fa9d5ba,2026-09-01 02:55:29.627858793-05:00,2026-09-01 07:57:29.631639615+00:00
24,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,,short,29138.0,29162.0,29085.0,filled,,limit,0,6b5b89c6-7abc-4897-93a0-c97c7679acc4,2026-09-01 07:57:28.136851746-05:00,2026-09-01 22:24:00.512527521+00:00
25,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,,long,29161.96,29140.0,29212.5,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-09-01 05:35:28.798515869-05:00,2026-09-01 12:10:01.026168435+00:00
26,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,,short,29162.0,29189.0,29100.5,cancelled,session ended (EOD flat),limit,0,,2026-09-01 13:05:06.967115172-05:00,2026-09-01 19:45:06.561899912+00:00
27,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,,short,29170.0,29210.0,29082.75,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-09-01 11:27:07.473831444-05:00,2026-09-01 16:27:07.475156699+00:00
28,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,,long,29082.75,29055.75,29162.0,filled,,limit,0,d5fed440-0814-4d9b-97f2-ae010ab28c35,2026-09-01 13:31:06.874047889-05:00,2026-09-01 22:24:00.510919805+00:00
29,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S1,,long,29044.0,29025.0,29099.85,cancelled,no order_update within stale window (reconnect/reconcile),limit,0,d00abc07-fe32-4534-9eae-f6fa0e31a070,2026-09-01 23:21:03.013182766-05:00,2026-09-02 05:31:48.052876346+00:00
30,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,,long,29035.25,29018.0,29071.41,cancelled,no order_update within stale window (reconnect/reconcile),,0,c86c5cd0-6649-4615-949d-f15a5fc2f81a,2026-09-01 23:49:02.907625315-05:00,2026-09-02 05:07:07.058645402+00:00
31,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,,long,29068.05,29044.0,29131.66,cancelled,no order_update within stale window (reconnect/reconcile),limit,0,dc8405f1-2c8b-44ab-a376-ca2f4804c9d8,2026-09-02 00:16:32.809202456-05:00,2026-09-02 05:31:48.052988525+00:00
32,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,,long,29070.0,29019.66913116825,29171.25,cancelled,session ended (EOD flat),,0,,2026-09-02 10:30:30.558472118-05:00,2026-09-02 19:45:01.048940843+00:00
33,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S3,,short,29166.8,29199.5,29058.75,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-09-02 14:10:29.738953457-05:00,2026-09-02 19:10:29.739748922+00:00
34,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,S1,,short,29199.5,29226.0,29132.5,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-09-02 22:15:01.042240848-05:00,2026-09-03 03:15:01.045828857+00:00
35,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,,short,29285.0,29351.62847289964,29144.5,filled,,limit,0,f2b1eb20-f89e-4a88-bcff-5ce971d17861,2026-09-03 09:02:54.662235809-05:00,2026-09-03 15:28:29.204123431+00:00
36,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,,short,29351.05,29418.934363141587,29209.25,cancelled,"level accepted through — marketable, never placed",limit,0,,2026-09-03 09:20:47.70823979-05:00,2026-09-03 14:20:47.71075005+00:00
37,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,,short,29543.75,29592.5,29397.11,cancelled,cancelled in NT8,limit,0,43512e1d-123f-4925-b852-a7f953735c6f,2026-09-03 11:58:33.110688496-05:00,2026-09-03 17:15:01.127106542+00:00
38,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,sweep_reclaim,SHORT,29591.02,29645.62037041913,29481.5,cancelled,gate changed: rr,stop_entry,0,e38f1774-9b80-46b2-907a-5fc35485a188,2026-09-04 10:05:00.181030108-05:00,2026-09-04 15:06:05.160526516+00:00
39,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,SHORT,29657.38,29720.5,29503.38,cancelled,no order_update within stale window (reconnect/reconcile),limit,0,89339298-8a82-490f-ad06-91b29c81fa33,2026-09-04 09:10:08.770332577-05:00,2026-09-04 14:26:06.286255893+00:00
62,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,stop_entry,1,f869f788-7715-44b3-8018-da6e8f3c694f,2026-09-04 10:10:04.740887461-05:00,2026-09-04 15:12:04.432623481+00:00
65,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,stop_entry,2,c1d016b2-fd6f-43e1-945c-4475b38973f8,2026-09-04 10:15:01.051822819-05:00,2026-09-04 15:18:03.633384705+00:00
67,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,stop_entry,3,a0054682-f336-49f3-980e-a290f08dfe31,2026-09-04 10:16:03.798180025-05:00,2026-09-04 15:18:03.633665035+00:00
70,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,stop_entry,4,ccaab035-4f94-4a93-aac7-12086c2591e7,2026-09-04 10:20:03.552095773-05:00,2026-09-04 15:22:03.240860509+00:00
73,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,5,719f4bbb-069a-4c81-8df0-f0d1e112335a,2026-09-04 10:25:01.027419193-05:00,2026-09-04 15:40:01.394607446+00:00
75,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,6,c794d0ce-0ca7-4c03-894c-25ddf4468935,2026-09-04 10:26:02.820174595-05:00,2026-09-04 15:42:01.195667232+00:00
77,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,7,4646df81-f408-48bc-9834-477105ed801c,2026-09-04 10:28:02.470581389-05:00,2026-09-04 15:44:01.240221148+00:00
79,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,8,c5d4860a-1d7f-4480-bd27-fc6958221dae,2026-09-04 10:30:02.945955423-05:00,2026-09-04 15:46:01.18619857+00:00
81,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,9,9fcd8c7c-7d13-4e97-871c-21a49f44c643,2026-09-04 10:32:02.154545688-05:00,2026-09-04 15:48:00.742367108+00:00
83,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,10,9b146ffa-d569-44f9-a6b6-0701073418e9,2026-09-04 10:34:01.746929746-05:00,2026-09-04 15:50:00.531285372+00:00
85,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),stop_entry,11,7dd07a19-701e-4afa-9b15-655f65810e9e,2026-09-04 10:36:01.425755244-05:00,2026-09-04 15:52:00.520218777+00:00
87,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,12,6a5da3fa-2992-426f-b56e-9d1eb805c350,2026-09-04 10:38:01.252761259-05:00,2026-09-04 15:53:10.99594531+00:00
89,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,13,183d16ad-75df-4fcf-bd9c-685900a8aa25,2026-09-04 10:40:01.390944696-05:00,2026-09-04 15:53:10.99947125+00:00
91,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,14,993322b9-6c27-42af-8afb-2a3620b797eb,2026-09-04 10:42:01.192503574-05:00,2026-09-04 15:53:11.002503607+00:00
92,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),limit,1,,2026-09-04 10:44:01.237828352-05:00,2026-09-04 16:05:09.27546871+00:00
93,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,15,b42631c8-4737-4e59-aa42-e51b5a7237db,2026-09-04 10:44:01.237828352-05:00,2026-09-04 15:53:11.004634084+00:00
94,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),limit,2,,2026-09-04 10:46:01.184031184-05:00,2026-09-04 16:05:09.275549535+00:00
95,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,16,fa195d44-705e-46c9-be53-5d4a2198e3c8,2026-09-04 10:46:01.184031184-05:00,2026-09-04 15:53:11.006679846+00:00
96,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),limit,3,,2026-09-04 10:48:00.738001273-05:00,2026-09-04 16:05:09.275590153+00:00
97,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,17,60adff7a-afe7-4b11-be91-1c6e8a413c8f,2026-09-04 10:48:00.738001273-05:00,2026-09-04 15:53:11.007601628+00:00
98,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),limit,4,,2026-09-04 10:50:00.527486448-05:00,2026-09-04 16:05:09.275613938+00:00
99,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,18,3bea0045-32b4-469d-ae5c-ca24ba366509,2026-09-04 10:50:00.527486448-05:00,2026-09-04 15:53:11.009244397+00:00
100,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,reject,SHORT,29720.0,29765.0,29553.75,cancelled,no active plan,limit,5,,2026-09-04 11:29:07.177406344-05:00,2026-09-04 16:59:02.293735887+00:00
101,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",stop_entry,19,04b3e307-eb7f-4bc8-88fe-7088dff9f6a5,2026-09-04 10:52:00.5176577-05:00,2026-09-04 15:53:11.010776643+00:00
102,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reclaim,SHORT,29591.02,29645.25,29481.5,cancelled,cancelled in NT8,stop_entry,20,931a761a-d0c8-492b-a815-a5f41cc9d9ae,2026-09-04 10:53:11.012117278-05:00,2026-09-04 16:59:02.41888851+00:00
103,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,sweep_reclaim,SHORT,29720.0,29765.0,29553.75,cancelled,no active plan,limit,0,,2026-09-04 11:29:07.177406344-05:00,2026-09-04 16:59:02.419232251+00:00
104,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,sweep_reclaim,SHORT,29720.0,29755.06314687017,29635.0,armed,,limit,21,,2026-09-04 12:11:02.176920212-05:00,2026-09-04 13:27:48.059551269-05:00
105,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,sweep_reclaim,SHORT,29720.0,29755.06314687017,29635.0,armed,,limit,0,,2026-09-04 12:11:02.176920212-05:00,2026-09-04 13:27:48.059551269-05:00
