opportunity_version_key,geometry_hash,plan_rowid,plan_id,version,scenario,condition,direction,lifecycle,rule,confirm2_rule,ref_price,arm_enabled,start_ct,end_ct,expected_bars,stored_bars,complete_grid,first_touch_bar_ms,touch_proxy,full_confirm_supported,full_live_fire
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S2|idx1,aa9b781c18f752a3,166,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,reject,long,active,touch,,29398.52,True,2026-08-31T07:40:35.635911-05:00,2026-08-31T08:30:00-05:00,49,49,True,1788180060000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S3|idx2,f1142c3d9f80240d,166,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,breakout_retest,long,active,1x5m_close,touch,29509.5,False,2026-08-31T07:40:35.635911-05:00,2026-08-31T08:30:00-05:00,49,49,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S4|idx3,28ec7db6ab430216,166,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S4,reject,short,active,touch,,29811.75,False,2026-08-31T07:40:35.635911-05:00,2026-08-31T08:30:00-05:00,49,49,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S0|idx0,7bd4db634c80bf5d,167,2026-08-31:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S0,hold,long,no_trade,,,,False,2026-08-31T08:33:54.052197-05:00,2026-08-31T08:30:00-05:00,0,0,False,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S0|idx0,7bd4db634c80bf5d,168,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S0,hold,long,no_trade,,,,False,2026-08-31T08:47:19.159722-05:00,2026-08-31T09:33:18.205052-05:00,45,45,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S0|idx0,7bd4db634c80bf5d,169,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S0,hold,long,no_trade,,,,False,2026-08-31T09:33:18.205052-05:00,2026-08-31T09:52:26.136763-05:00,18,18,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S1|idx0,e407fb100d658a12,170,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,reject,short,active,touch,,29351.47,True,2026-08-31T09:52:26.136763-05:00,2026-08-31T11:58:55.105300-05:00,125,125,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S2|idx1,ac83086bb93c5a19,170,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reject,short,active,touch,,29437,True,2026-08-31T09:52:26.136763-05:00,2026-08-31T11:58:55.105300-05:00,125,125,True,1788188220000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S3|idx2,413304b6521ce51c,170,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,sweep_reclaim,long,active,touch,1m_mss,29351.47,False,2026-08-31T09:52:26.136763-05:00,2026-08-31T11:58:55.105300-05:00,125,125,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S1|idx0,962f5e51f439a195,171,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,sweep_reclaim,long,active,touch,1m_mss,29413,True,2026-08-31T11:58:55.105300-05:00,2026-08-31T12:30:09.506461-05:00,31,31,True,1788196740000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S2|idx1,9eae3098300cf7cc,171,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,reclaim,long,active,1x5m_close,,29432.25,False,2026-08-31T11:58:55.105300-05:00,2026-08-31T12:30:09.506461-05:00,31,31,True,1788195540000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S3|idx2,aad3dda09867eef0,171,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S3,reject,short,active,touch,,29459.08,True,2026-08-31T11:58:55.105300-05:00,2026-08-31T12:30:09.506461-05:00,31,31,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S1|idx0,73517720457a57aa,172,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,reject,long,active,touch,,29413,False,2026-08-31T12:30:09.506461-05:00,2026-08-31T12:53:49.126973-05:00,22,22,True,1788197940000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S2|idx1,3f57a6bc51671bff,172,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,breakout_retest,long,active,touch,,29432.75,False,2026-08-31T12:30:09.506461-05:00,2026-08-31T12:53:49.126973-05:00,22,22,True,1788198060000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S3|idx2,2b5e6596fac8fc00,172,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,sweep_reclaim,long,active,touch,1x5m_close,29417,True,2026-08-31T12:30:09.506461-05:00,2026-08-31T12:53:49.126973-05:00,22,22,True,1788197940000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S4|idx3,fa7a2473e74f8879,172,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S4,sweep_reclaim,short,active,touch,1x5m_close,29543.5,False,2026-08-31T12:30:09.506461-05:00,2026-08-31T12:53:49.126973-05:00,22,22,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S1|idx0,c3e4c8cf095d54b7,173,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,breakout_retest,long,active,1x5m_close,,29443.25,False,2026-08-31T12:53:49.126973-05:00,2026-08-31T14:34:06.907129-05:00,100,100,True,1788199020000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S2|idx1,123ca060a39d4974,173,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,sweep_reclaim,long,active,touch,1x5m_close,29417,False,2026-08-31T12:53:49.126973-05:00,2026-08-31T14:34:06.907129-05:00,100,100,True,1788201300000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S3|idx2,4c38530125f778bb,173,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S3,reject,short,active,touch,,29458.38,True,2026-08-31T12:53:49.126973-05:00,2026-08-31T14:34:06.907129-05:00,100,100,True,1788199740000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S4|idx3,5b50834f45b23bff,173,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S4,sweep_reclaim,short,active,touch,1x5m_close,29517,False,2026-08-31T12:53:49.126973-05:00,2026-08-31T14:34:06.907129-05:00,100,100,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v7|S1|idx0,6ea280e67ffb37f9,174,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S1,hold,long,active,time_hold,,29422.25,False,2026-08-31T14:34:06.907129-05:00,2026-08-31T14:45:00-05:00,10,10,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v7|S2|idx1,a9a08cfc626be673,174,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S2,reject,long,active,touch,,29410.98,True,2026-08-31T14:34:06.907129-05:00,2026-08-31T14:45:00-05:00,10,10,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v7|S3|idx2,2d6858f2728ee82d,174,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,reject,short,active,touch,,29445.5,False,2026-08-31T14:34:06.907129-05:00,2026-08-31T14:45:00-05:00,10,10,True,1788204900000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S0|idx0,7bd4db634c80bf5d,175,2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S0,hold,long,no_trade,,,,False,2026-08-31T17:18:32.424311-05:00,2026-09-01T01:01:09.185985-05:00,462,462,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S0|idx0,7bd4db634c80bf5d,176,2026-08-31:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S0,hold,long,no_trade,,,,False,2026-09-01T01:01:09.185985-05:00,2026-09-01T02:00:00-05:00,58,58,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S0|idx0,7bd4db634c80bf5d,177,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S0,hold,long,no_trade,,,,False,2026-09-01T02:00:00-05:00,2026-09-01T02:48:27.147608-05:00,48,48,True,,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S1|idx0,6d65362a7797036b,178,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,reject,short,active,touch,,29477,True,2026-09-01T02:48:27.147608-05:00,2026-09-01T04:52:43.589274-05:00,123,123,True,1788248940000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S2|idx1,124f62ccd576722b,178,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,reject,short,active,touch,,29447.5,False,2026-09-01T02:48:27.147608-05:00,2026-09-01T04:52:43.589274-05:00,123,123,True,1788249360000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v2|S3|idx2,d04aeab7ae613b87,178,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,sweep_reclaim,long,active,1m_mss,,29435.75,False,2026-09-01T02:48:27.147608-05:00,2026-09-01T04:52:43.589274-05:00,123,123,True,1788249540000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S1|idx0,3cb653ccf8fe5d4f,179,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,acceptance,short,dormant,time_hold,,29231.63,False,2026-09-01T04:52:43.589274-05:00,2026-09-01T05:34:30.471875-05:00,41,41,True,1788258060000,EXCLUDED_INACTIVE,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v3|S2|idx1,92f5e960406cbeb8,179,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,reject,short,dormant,touch,,29246.75,True,2026-09-01T04:52:43.589274-05:00,2026-09-01T05:34:30.471875-05:00,41,41,True,1788258180000,EXCLUDED_INACTIVE,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S1|idx0,73e04d0a6fb0df35,180,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,reject,short,active,touch,,29182,True,2026-09-01T05:34:30.471875-05:00,2026-09-01T07:07:32.457995-05:00,92,92,True,1788260700000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S2|idx1,30f2849a72273a00,180,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,sweep_reclaim,long,active,1x5m_close,,29212.5,True,2026-09-01T05:34:30.471875-05:00,2026-09-01T07:07:32.457995-05:00,92,92,True,1788259860000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v4|S3|idx2,1aa7b12d75138b5c,180,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S3,reject,short,active,touch,,29354,True,2026-09-01T05:34:30.471875-05:00,2026-09-01T07:07:32.457995-05:00,92,92,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S1|idx0,8248fa2259f5f3e8,181,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S1,breakdown_continue,short,active,1x5m_close,,29177.5,False,2026-09-01T07:07:32.457995-05:00,2026-09-01T07:56:33.428824-05:00,48,48,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S2|idx1,5b9a35d2c7b85923,181,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,sweep_reclaim,long,active,touch,1m_mss,29177.5,False,2026-09-01T07:07:32.457995-05:00,2026-09-01T07:56:33.428824-05:00,48,48,True,,NOT_TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v5|S3|idx2,bd9c17eff8ada268,181,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,reject,long,active,touch,,29161.96,True,2026-09-01T07:07:32.457995-05:00,2026-09-01T07:56:33.428824-05:00,48,48,True,1788264480000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S1|idx0,80da22d880deb635,182,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,reject,short,active,touch,,29123.25,True,2026-09-01T07:56:33.428824-05:00,2026-09-01T08:30:00-05:00,33,33,True,1788267540000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v6|S2|idx1,7004f630ebb61653,182,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,reject,short,active,touch,,29138,True,2026-09-01T07:56:33.428824-05:00,2026-09-01T08:30:00-05:00,33,33,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S1|idx0,419d51dc4b1d1b21,183,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,breakdown_continue,short,active,1x5m_close,,29122.75,False,2026-09-01T08:30:00-05:00,2026-09-01T08:53:16.675232-05:00,23,23,True,1788269400000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S2|idx1,6e48364316e18830,183,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,reject,short,active,touch,,29138,True,2026-09-01T08:30:00-05:00,2026-09-01T08:53:16.675232-05:00,23,23,True,1788269700000,TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S3|idx2,4cf79d8e7039d07a,183,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,reject,short,active,touch,,29177.5,True,2026-09-01T08:30:00-05:00,2026-09-01T08:53:16.675232-05:00,23,23,True,,NOT_TOUCHED,True,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265|v1|S4|idx3,b30eadec0d83af19,183,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,sweep_reclaim,long,active,touch,1m_mss,29122.75,False,2026-09-01T08:30:00-05:00,2026-09-01T08:53:16.675232-05:00,23,23,True,1788269400000,TOUCHED,False,"UNMEASURABLE: arrival-time feed, formation, alive/void and parameter history not complete"
