plan_rowid,plan_id,version,trade_date,session,trigger_reason,lifecycle,created_at,prompt_hash
205,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,NY,level_event,active,2026-09-02 13:45:28.139602858+00:00,f15cef74958d
206,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,NY,level_event,active,2026-09-02 14:21:18.759691004+00:00,24f80688555d
207,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,NY,level_event,active,2026-09-02 14:45:52.139962106+00:00,fa94845949f4
208,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,NY,level_event,active,2026-09-02 15:22:33.001174371+00:00,f8e462e87956
209,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,NY,level_event,active,2026-09-02 15:50:53.844862786+00:00,8970f408a8d8
210,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-02,NY,level_event,active,2026-09-02 16:20:19.936863683+00:00,f3cfaab1d2f5
211,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-02,NY,level_event,active,2026-09-02 16:47:10.850446345+00:00,bf74c7fe1b39
212,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-02,NY,level_event,active,2026-09-02 17:25:10.337787249+00:00,691355d339fd
213,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-02,NY,level_event,active,2026-09-02 18:02:15.540077361+00:00,d92be16cc6c9
214,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,2026-09-02,NY,level_event,active,2026-09-02 18:28:36.708566299+00:00,a588c351df07
215,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,2026-09-02,NY,level_event,active,2026-09-02 18:56:59.111797481+00:00,6e556957b04c
216,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,ASIA,ASIA_scheduled_read,active,2026-09-02 21:36:02.903601661+00:00,6cb5e303f753
217,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,ASIA,level_event,active,2026-09-02 22:18:29.638859317+00:00,37333d34fcf6
218,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,ASIA,level_event,active,2026-09-02 22:50:56.64361078+00:00,7c1290bccc05
219,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,ASIA,level_event,active,2026-09-02 23:04:42.447685949+00:00,1ed2e2e2016c
220,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,ASIA,level_event,active,2026-09-02 23:21:05.610804944+00:00,9dfa5cd10cf8
221,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,ASIA,level_event,active,2026-09-02 23:43:33.086273923+00:00,604cdbe95579
222,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-02,ASIA,level_event,active,2026-09-03 00:02:39.227442626+00:00,f58751343114
224,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-02,ASIA,"dormant:flip:flip-condition: 2x5m close above 29175.66 (buffer 0.5×ATR14, 2× 5m closes) → bias long",dormant,2026-09-03 01:05:55.400310302+00:00,4b89dcd03e78
225,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-02,ASIA,level_event,active,2026-09-03 01:38:20.096131858+00:00,60f666c27c9f
226,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-02,ASIA,level_event,active,2026-09-03 02:03:03.446167573+00:00,9907d1d42841
227,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,2026-09-02,ASIA,level_event,active,2026-09-03 02:31:58.603310651+00:00,1c0f83f55dee
228,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,2026-09-02,ASIA,level_event,active,2026-09-03 02:49:57.931222128+00:00,5f8346adbf18
229,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,2026-09-02,ASIA,"rearmed:5m_close close back below 29211.00 (buffer 0.5×ATR14, 2× 5m closes)",active,2026-09-03 03:12:42.599271575+00:00,8e3de04321ee
230,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,14,2026-09-02,ASIA,level_event,active,2026-09-03 05:08:45.841316629+00:00,71c5cb5aa4be
231,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,15,2026-09-02,ASIA,"dormant:death:death-condition: 5m_close close above 29132.50 (buffer 0.5×ATR14, 2× 5m closes)",dormant,2026-09-03 05:34:14.308317854+00:00,9322ee32c106
232,2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,LONDON,"dormant:flip:flip-condition: 2x5m close above 29221.98 (buffer 0.5×ATR14, 2× 5m closes) → bias long",dormant,2026-09-03 06:34:53.723760378+00:00,d8e4de46f325
233,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,NY,"dormant:death:death-condition: 2x5m close above 29293.00 (buffer 0.5×ATR14, 2× 5m closes)",dormant,2026-09-03 13:05:19.635757107+00:00,7a86922cea6d
234,2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,LONDON,level_event,active,2026-09-03 13:15:44.050765563+00:00,667d42cc1e24
235,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,NY,level_event,active,2026-09-03 13:45:05.993352176+00:00,aec661b09a72
236,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-03,NY,level_event,active,2026-09-03 14:15:31.491335556+00:00,f3da13fc7740
237,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-03,NY,level_event,active,2026-09-03 14:44:33.127680844+00:00,713ef97b52b5
238,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-03,NY,level_event,active,2026-09-03 15:14:45.993329351+00:00,390e9642fb9f
239,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-03,NY,level_event,active,2026-09-03 15:49:57.59345407+00:00,8bea35215862
240,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-03,NY,"dormant:death:death-condition: 2x5m close below 29502.25 (buffer 0.5×ATR14, 2× 5m closes)",dormant,2026-09-03 16:27:53.707887732+00:00,c1cc7e92c96b
241,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,ASIA,ASIA_scheduled_read,active,2026-09-03 21:37:36.171279346+00:00,f24c4fd18af0
242,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,ASIA,level_event,dormant,2026-09-03 23:47:53.178711606+00:00,dd976da28a0f
243,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-03,ASIA,level_event,active,2026-09-04 00:28:36.380700112+00:00,61a41b1722a2
244,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-03,ASIA,level_event,active,2026-09-04 00:53:35.711550511+00:00,218340baaa4e
245,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-03,ASIA,level_event,dormant,2026-09-04 01:32:32.918462967+00:00,82eade5904ce
246,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-03,ASIA,level_event,active,2026-09-04 05:40:13.82205399+00:00,2e0efe55ea15
247,2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-03,ASIA,level_event,dormant,2026-09-04 06:20:35.660474748+00:00,4403739b3fca
248,2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-04,LONDON,LONDON_scheduled_read,active,2026-09-04 06:41:15.950737367+00:00,a88ed3c59dfb
249,2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-04,LONDON,level_event,active,2026-09-04 07:04:14.613481809+00:00,83d2f0b35751
250,2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-04,LONDON,level_event,active,2026-09-04 12:56:17.729046739+00:00,a1f0074479ec
251,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-04,NY,planner_fail_closed,no_trade,2026-09-04 13:11:45.620506374+00:00,f4c76d6a280d
252,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-04,NY,owner_reset,active,2026-09-04 13:44:46.688576529+00:00,abd391d524ba
253,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-04,NY,level_event,active,2026-09-04 13:55:11.782677983+00:00,d6af9f4707ad
254,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-04,NY,level_event,active,2026-09-04 16:03:30.521703109+00:00,1d3cf9c60d37
255,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-04,NY,level_event,active,2026-09-04 16:28:50.086957702+00:00,e01a49ef3621
256,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-04,NY,level_event,active,2026-09-04 17:10:35.724026458+00:00,b3753f7ee440
