position_id,pnl_corrected,plan_id,plan_version,plan_rowid,plan_precedes_entry,scenario,condition,same_trader_side_abs180s_candidates,exact_executed_candidates,ticket_id,decision_record_minus_fill_seconds,ticket_stop,ticket_target,initial_broker_risk_verified,mae_mfe_kind
540,-98.0,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,48,True,S1,reclaim,31289,31289,31289,1.004818,29460,29638.5,False,position-field proxy; censored; not trade_excursions
541,-83.0,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,48,True,S1,reclaim,31331,31331,31331,1.005756,29470.25,29686.75,False,position-field proxy; censored; not trade_excursions
542,0.0,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,50,True,S2,acceptance,31401,31401,31401,1.009801,29402.75,29202.75,False,position-field proxy; censored; not trade_excursions
543,-88.5,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,50,True,S2,acceptance,31443,31443,31443,1.005457,29400,29202.5,False,position-field proxy; censored; not trade_excursions
544,-61.5,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,50,True,S1,reject,31462,31462,31462,1.007232,29475.75,29358.25,False,position-field proxy; censored; not trade_excursions
547,-139.5,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,57,True,S2,reject,32044,32044,32044,1.006117,29038.5,28789.5,False,position-field proxy; censored; not trade_excursions
548,-54.5,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,58,True,S1,reject,32065,32065,32065,1.007804,29120,28990,False,position-field proxy; censored; not trade_excursions
549,169.5,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,63,True,S2,reject,32108,32108,32108,1.006581,29240.25,29116.75,False,position-field proxy; censored; not trade_excursions
550,-84.5,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,66,True,S2,reject,32344,32344,32344,1.007298,29166,29082.5,False,position-field proxy; censored; not trade_excursions
551,0.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,66,True,S2,reject,32374,32374,32374,1.007826,29169.5,29080.5,False,position-field proxy; censored; not trade_excursions
552,-7.5,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,66,True,S2,reject,32390,32390,32390,1.021723,29170,29096,False,position-field proxy; censored; not trade_excursions
553,-27.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,67,True,S2,reject,32402,32402,32402,1.009738,29192,29082.5,False,position-field proxy; censored; not trade_excursions
554,-62.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,69,True,S2,reject,32486,32486,32486,1.010541,29300,29200,False,position-field proxy; censored; not trade_excursions
555,168.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,70,True,S2,hold,32546,32546,32546,1.012959,29296.75,29412,False,position-field proxy; censored; not trade_excursions
556,-40.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,70,True,S1,breakout_retest,32599,32599,32599,1.010986,29316.25,29416.25,False,position-field proxy; censored; not trade_excursions
557,46.5,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,70,True,S1,breakout_retest,32605,32605,32605,1.007451,29297.5,29441.5,False,position-field proxy; censored; not trade_excursions
558,-22.5,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,70,True,S1,breakout_retest,32656,32656,32656,1.012672,29310,29424,False,position-field proxy; censored; not trade_excursions
559,-78.5,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,71,True,S4,sweep_reclaim,32687,32687,32687,1.011693,29207,29420,False,position-field proxy; censored; not trade_excursions
560,81.0,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,72,True,S3,reject,32807,32807,32807,1.00809,29284,29206,False,position-field proxy; censored; not trade_excursions
561,-52.0,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,79,True,S1,sweep_reclaim,"32922,32923",32923,32923,1.009928,29195.25,29310,False,position-field proxy; censored; not trade_excursions
562,-98.5,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,89,True,S2,breakout_retest,33115,33115,33115,1.008919,29261.25,29129,False,position-field proxy; censored; not trade_excursions
563,-49.5,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,97,True,S1,breakout_retest,33229,33229,33229,1.00887,29219.25,29310,False,position-field proxy; censored; not trade_excursions
564,-69.0,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,126,True,S3,reject,33793,33793,33793,1.006942,29619.75,29429.75,False,position-field proxy; censored; not trade_excursions
565,-62.5,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,127,True,S1,reject,33841,33841,33841,1.009477,29611.25,29475.25,False,position-field proxy; censored; not trade_excursions
581,190.5,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,178,True,S1,reject,35508,35508,35508,1.004796,29500.25,29380.25,False,position-field proxy; censored; not trade_excursions
583,-82.5,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,180,True,S2,sweep_reclaim,35621,35621,35621,1.002927,29172,29354,False,position-field proxy; censored; not trade_excursions
587,-62.5,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,194,True,S3,reject,36122,36122,36122,1.002277,29048,29113.25,False,position-field proxy; censored; not trade_excursions
588,-65.0,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,200,True,S2,reclaim,36336,36336,36336,1.010264,29050,29165,False,position-field proxy; censored; not trade_excursions
589,-155.0,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,206,True,S3,breakout_retest,36394,36394,36394,1.001076,29115,29317.25,False,position-field proxy; censored; not trade_excursions
590,-99.0,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,208,True,S4,breakout_retest,36422,36422,36422,1.001303,29143.75,29317.25,False,position-field proxy; censored; not trade_excursions
