plan_row,plan_key,session,date,created_ct,day_type,day_type_group,bias,regime,scenario_n,atr5m_saved,narrative_price,price_quote,publication_price_proxy,publication_bar_ms
28,2026-08-18:ASIA:v6,ASIA,2026-08-18,2026-08-19T01:34:55.506000-05:00,balance,balance,neutral,not-recorded,2,21.9243,,,,
29,2026-08-19:LONDON:v1,LONDON,2026-08-19,2026-08-19T01:58:20.565000-05:00,balance,balance,short,not-recorded,3,24.7903,29542.0,Price is 29542,,
30,2026-08-19:LONDON:v2,LONDON,2026-08-19,2026-08-19T02:32:34.885000-05:00,balance,balance,short,not-recorded,3,24.8788,29578.5,Price is 29578.50,,
31,2026-08-19:LONDON:v3,LONDON,2026-08-19,2026-08-19T03:20:20.739000-05:00,balance,balance,neutral,not-recorded,3,24.4215,,,,
32,2026-08-19:NY:v1,NY,2026-08-19,2026-08-19T08:29:41.885000-05:00,balance,balance,neutral,not-recorded,3,32.4661,29741.5,Price is 29741.50,,
33,2026-08-19:NY:v2,NY,2026-08-19,2026-08-19T09:04:08.963000-05:00,balance,balance,short,not-recorded,3,55.4609,,,,
34,2026-08-19:NY:v3,NY,2026-08-19,2026-08-19T09:51:07.657000-05:00,balance (short-lean pullback),balance,short,not-recorded,3,60.6115,,,,
35,2026-08-19:ASIA:v1,ASIA,2026-08-19,2026-08-19T17:02:41.871000-05:00,balance,balance,neutral,not-recorded,3,19.891,,,29565.0,1787176860000
36,2026-08-19:ASIA:v2,ASIA,2026-08-19,2026-08-19T19:21:12.332000-05:00,balance,balance,neutral,not-recorded,3,23.9774,,,29657.75,1787185200000
37,2026-08-19:ASIA:v3,ASIA,2026-08-19,2026-08-19T19:32:51.515000-05:00,balance,balance,short,not-recorded,3,23.2396,,,29621.25,1787185860000
38,2026-08-19:ASIA:v4,ASIA,2026-08-19,2026-08-19T19:47:30.128000-05:00,balance,balance,short,not-recorded,3,23.2285,,,29662.25,1787186760000
39,2026-08-20:LONDON:v1,LONDON,2026-08-20,2026-08-20T01:59:34.192000-05:00,balance,balance,neutral,not-recorded,3,18.5365,,,29671.0,1787209080000
40,2026-08-20:LONDON:v2,LONDON,2026-08-20,2026-08-20T03:22:22.600000-05:00,trend_down,trend,short,not-recorded,3,25.5574,,,29538.25,1787214060000
41,2026-08-20:NY:v1,NY,2026-08-20,2026-08-20T08:28:09.531000-05:00,balance,balance,short,not-recorded,3,28.6563,29347.75,Price 29347.75,29337.75,1787232420000
42,2026-08-20:NY:v2,NY,2026-08-20,2026-08-20T08:47:52.571000-05:00,trend,trend,short,not-recorded,3,41.4161,,,29396.75,1787233560000
43,2026-08-20:ASIA:v1,ASIA,2026-08-20,2026-08-20T17:04:04.018000-05:00,trend,trend,short,not-recorded,3,20.6068,29324.0,Price 29324,29289.75,1787263380000
44,2026-08-20:ASIA:v2,ASIA,2026-08-20,2026-08-20T19:19:45.447000-05:00,trend-down,trend,short,not-recorded,3,19.9651,29361.5,Price 29361.50,29332.75,1787271480000
45,2026-08-20:ASIA:v3,ASIA,2026-08-20,2026-08-20T21:33:40.408000-05:00,trend-down,trend,short,not-recorded,3,21.7456,29389.75,Price 29389.75,29392.0,1787279520000
46,2026-08-21:LONDON:v1,LONDON,2026-08-21,2026-08-21T02:03:07.589000-05:00,balance,balance,short,not-recorded,3,15.3675,29380.0,price 29380,29393.75,1787295720000
47,2026-08-21:LONDON:v2,LONDON,2026-08-21,2026-08-21T02:17:15.594000-05:00,balance,balance,short,not-recorded,3,15.4672,,,29419.0,1787296560000
48,2026-08-21:LONDON:v3,LONDON,2026-08-21,2026-08-21T04:49:07.693000-05:00,balance,balance,long,not-recorded,3,18.2173,29475.0,Price 29475,29472.75,1787305680000
49,2026-08-21:LONDON:v4,LONDON,2026-08-21,2026-08-21T08:22:47.022000-05:00,balance,balance,neutral,not-recorded,3,18.4465,,,29446.75,1787318460000
50,2026-08-21:NY:v1,NY,2026-08-21,2026-08-21T08:29:29.366000-05:00,trend-down,trend,short,not-recorded,3,19.9707,,,29479.75,1787318880000
51,2026-08-23:ASIA:v1,ASIA,2026-08-23,2026-08-23T17:11:56.406000-05:00,no-trade,no-trade,neutral,not-recorded,1,21.5656,,,29321.75,1787523000000
52,2026-08-23:ASIA:v2,ASIA,2026-08-23,2026-08-23T18:27:11.973000-05:00,no-trade,no-trade,neutral,not-recorded,1,16.9566,,,29427.25,1787527560000
53,2026-08-23:ASIA:v3,ASIA,2026-08-23,2026-08-23T18:53:10.129000-05:00,no-trade,no-trade,neutral,not-recorded,1,17.0293,,,29458.0,1787529120000
54,2026-08-23:ASIA:v4,ASIA,2026-08-23,2026-08-23T22:56:59.292000-05:00,no-trade,no-trade,neutral,not-recorded,1,24.3095,,,29269.75,1787543700000
55,2026-08-24:LONDON:v1,LONDON,2026-08-24,2026-08-24T02:07:53.647000-05:00,no-trade,no-trade,neutral,not-recorded,1,24.6135,,,29183.5,1787555160000
56,2026-08-24:NY:v1,NY,2026-08-24,2026-08-24T08:31:43.341000-05:00,trend-down,trend,short,not-recorded,3,23.1257,29196.75,Price 29196.75,29131.75,1787578200000
57,2026-08-24:NY:v2,NY,2026-08-24,2026-08-24T08:54:57.009000-05:00,trend-down,trend,short,not-recorded,3,41.4511,28977.75,Price 28977.75,28990.25,1787579580000
58,2026-08-24:NY:v3,NY,2026-08-24,2026-08-24T09:52:27.586000-05:00,trend,trend,short,not-recorded,3,46.7995,,,29091.5,1787583060000
59,2026-08-24:NY:v4,NY,2026-08-24,2026-08-24T10:38:29.871000-05:00,trend-down,trend,short,not-recorded,3,39.8591,29135.25,Price 29135.25,29151.5,1787585820000
60,2026-08-24:NY:v5,NY,2026-08-24,2026-08-24T10:56:32.744000-05:00,trend,trend,short,not-recorded,3,39.9852,,,29179.75,1787586900000
61,2026-08-24:NY:v6,NY,2026-08-24,2026-08-24T11:03:50.525000-05:00,trend,trend,short,not-recorded,3,36.7366,29160.0,price 29160,29182.25,1787587320000
62,2026-08-24:NY:v7,NY,2026-08-24,2026-08-24T11:10:07.931000-05:00,trend,trend,short,not-recorded,3,,29163.0,Price 29163,29159.5,1787587740000
63,2026-08-24:NY:v8,NY,2026-08-24,2026-08-24T11:19:30.348000-05:00,trend_down,trend,short,not-recorded,3,34.2245,,,29193.75,1787588280000
64,2026-08-24:ASIA:v1,ASIA,2026-08-24,2026-08-24T17:04:54.594000-05:00,trend_down,trend,short,not-recorded,3,18.517,29131.0,price 29131.00,29132.75,1787608980000
65,2026-08-24:ASIA:v2,ASIA,2026-08-24,2026-08-24T17:37:26.362000-05:00,no-trade,no-trade,neutral,not-recorded,1,17.2906,,,29125.25,1787610960000
66,2026-08-24:ASIA:v3,ASIA,2026-08-24,2026-08-24T18:02:25.240000-05:00,trend,trend,short,not-recorded,3,14.8179,,,29118.75,1787612460000
67,2026-08-24:ASIA:v4,ASIA,2026-08-24,2026-08-24T22:39:02.560000-05:00,trend_down,trend,short,not-recorded,3,24.6816,,,29166.75,1787629080000
68,2026-08-24:ASIA:v5,ASIA,2026-08-24,2026-08-25T01:38:15.571000-05:00,balance,balance,neutral,not-recorded,4,19.2599,29266.0,Price 29266,29256.75,1787639820000
69,2026-08-25:LONDON:v1,LONDON,2026-08-25,2026-08-25T02:04:10.561000-05:00,balance,balance,neutral,not-recorded,5,18.2701,,,29278.0,1787641380000
70,2026-08-25:LONDON:v2,LONDON,2026-08-25,2026-08-25T04:09:27.368000-05:00,trend,trend,long,not-recorded,3,26.0891,29309.0,Price 29309,29321.75,1787648880000
71,2026-08-25:NY:v1,NY,2026-08-25,2026-08-25T08:35:00.440000-05:00,trend,trend,long,not-recorded,4,20.8192,,,29375.0,1787664840000
72,2026-08-25:NY:v2,NY,2026-08-25,2026-08-25T09:36:32.271000-05:00,trend,trend,short,not-recorded,4,40.8186,29246.0,price at 29246,29219.25,1787668500000
73,2026-08-25:ASIA:v1,ASIA,2026-08-25,2026-08-25T17:05:07.288000-05:00,trend,trend,long,not-recorded,4,17.1671,,,29302.0,1787695440000
74,2026-08-25:ASIA:v2,ASIA,2026-08-25,2026-08-25T17:29:20.214000-05:00,no-trade,no-trade,neutral,not-recorded,1,15.4153,,,29288.75,1787696880000
75,2026-08-25:ASIA:v3,ASIA,2026-08-25,2026-08-25T18:08:10.389000-05:00,balance,balance,neutral,not-recorded,4,11.5018,,,29277.0,1787699220000
76,2026-08-25:ASIA:v4,ASIA,2026-08-25,2026-08-25T18:15:03.217000-05:00,balance,balance,long,not-recorded,3,11.6445,29277.0,Price 29277,29276.25,1787699640000
77,2026-08-25:ASIA:v5,ASIA,2026-08-25,2026-08-25T18:22:02.948000-05:00,balance,balance,neutral,not-recorded,4,10.77,,,29260.5,1787700060000
78,2026-08-25:ASIA:v6,ASIA,2026-08-25,2026-08-25T18:45:02.693000-05:00,balance,balance,neutral,not-recorded,4,11.1756,29239.0,Price 29239,29234.75,1787701440000
79,2026-08-25:ASIA:v7,ASIA,2026-08-25,2026-08-25T18:52:59.313000-05:00,balance,balance,long,not-recorded,4,12.0341,,,29223.25,1787701860000
80,2026-08-25:ASIA:v8,ASIA,2026-08-25,2026-08-25T19:35:01.039000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,29166.5,1787704440000
81,2026-08-25:ASIA:v9,ASIA,2026-08-25,2026-08-25T21:36:44.579000-05:00,no-trade,no-trade,neutral,not-recorded,1,19.9289,,,29178.75,1787711700000
82,2026-08-25:ASIA:v10,ASIA,2026-08-25,2026-08-25T23:55:53.543000-05:00,trend,trend,short,not-recorded,3,16.5591,29229.0,Price at 29229,29231.5,1787720040000
83,2026-08-25:ASIA:v11,ASIA,2026-08-25,2026-08-26T00:04:40.581000-05:00,trend,trend,short,not-recorded,3,16.2451,29231.5,Price 29231.50,29252.25,1787720580000
84,2026-08-25:ASIA:v12,ASIA,2026-08-25,2026-08-26T00:29:52.393000-05:00,trend,trend,short,not-recorded,3,18.6035,,,29239.5,1787722080000
85,2026-08-25:ASIA:v13,ASIA,2026-08-25,2026-08-26T01:02:29.743000-05:00,balance,balance,neutral,not-recorded,4,16.3855,,,29242.25,1787724060000
86,2026-08-25:ASIA:v14,ASIA,2026-08-25,2026-08-26T01:12:08.952000-05:00,trend,trend,short,not-recorded,5,16.9582,29218.5,Price 29218.50,29227.0,1787724660000
87,2026-08-25:ASIA:v15,ASIA,2026-08-25,2026-08-26T01:26:14.282000-05:00,balance,balance,short,not-recorded,4,16.2423,,,29222.75,1787725500000
88,2026-08-25:ASIA:v16,ASIA,2026-08-25,2026-08-26T02:04:03.527000-05:00,balance,balance,long,not-recorded,4,19.0444,29251.0,Price 29251,29243.5,1787727780000
89,2026-08-26:LONDON:v1,LONDON,2026-08-26,2026-08-26T02:09:52.946000-05:00,trend-down,trend,short,not-recorded,3,19.2198,,,29221.0,1787728080000
90,2026-08-26:LONDON:v2,LONDON,2026-08-26,2026-08-26T02:33:49.969000-05:00,trend,trend,short,not-recorded,4,20.829,29198.75,Price 29198.75,29192.75,1787729520000
91,2026-08-26:LONDON:v3,LONDON,2026-08-26,2026-08-26T03:26:13.014000-05:00,balance,balance,short,not-recorded,4,24.7205,,,29205.5,1787732700000
92,2026-08-26:LONDON:v4,LONDON,2026-08-26,2026-08-26T03:59:46.328000-05:00,balance,balance,short,not-recorded,3,21.9376,,,29219.0,1787734680000
93,2026-08-26:LONDON:v5,LONDON,2026-08-26,2026-08-26T04:30:00.597000-05:00,trend,trend,short,not-recorded,5,19.8268,29212.5,Price 29212.50,29198.75,1787736540000
94,2026-08-26:LONDON:v6,LONDON,2026-08-26,2026-08-26T04:59:46.142000-05:00,trend,trend,short,not-recorded,4,16.9538,29231.25,price 29231.25,29236.25,1787738280000
95,2026-08-26:LONDON:v7,LONDON,2026-08-26,2026-08-26T05:33:13.514000-05:00,balance,balance,short,not-recorded,4,17.2148,29209.5,Price 29209.50,29205.0,1787740320000
96,2026-08-26:LONDON:v8,LONDON,2026-08-26,2026-08-26T06:03:54.123000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,29258.75,1787742120000
97,2026-08-26:LONDON:v9,LONDON,2026-08-26,2026-08-26T06:05:35.472000-05:00,balance,balance,long,not-recorded,4,18.0177,29232.25,Price 29232.25,29258.25,1787742240000
98,2026-08-26:LONDON:v10,LONDON,2026-08-26,2026-08-26T06:34:00.898000-05:00,balance,balance,long,not-recorded,4,17.9703,,,29247.0,1787743980000
99,2026-08-26:LONDON:v11,LONDON,2026-08-26,2026-08-26T07:06:45.581000-05:00,balance,balance,short,not-recorded,5,21.3844,29213.75,Price is 29213.75,29213.5,1787745900000
100,2026-08-26:LONDON:v12,LONDON,2026-08-26,2026-08-26T07:38:06.514000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,29170.75,1787747820000
101,2026-08-26:LONDON:v13,LONDON,2026-08-26,2026-08-26T07:39:04.302000-05:00,balance,balance,short,not-recorded,4,29.481,29177.0,Price 29177,29166.75,1787747880000
102,2026-08-26:LONDON:v14,LONDON,2026-08-26,2026-08-26T07:48:40.733000-05:00,balance,balance,short,not-recorded,4,28.5521,,,29169.0,1787748420000
103,2026-08-26:LONDON:v15,LONDON,2026-08-26,2026-08-26T08:30:48.789000-05:00,balance,balance,short,not-recorded,3,27.3675,29162.0,Price 29162,29174.25,1787750940000
104,2026-08-26:NY:v1,NY,2026-08-26,2026-08-26T08:32:30.541000-05:00,trend_down,trend,short,not-recorded,3,27.3675,,,29275.25,1787751060000
105,2026-08-26:NY:v2,NY,2026-08-26,2026-08-26T08:48:28.261000-05:00,balance,balance,long,not-recorded,4,39.5287,29288.0,Price 29288,29289.25,1787752020000
106,2026-08-26:NY:v3,NY,2026-08-26,2026-08-26T09:24:07.617000-05:00,balance,balance,short,not-recorded,5,37.9345,,,29212.25,1787754180000
107,2026-08-26:NY:v4,NY,2026-08-26,2026-08-26T09:35:45.341000-05:00,balance,balance,short,not-recorded,4,40.455,29194.0,Price 29194,29197.25,1787754840000
108,2026-08-26:NY:v5,NY,2026-08-26,2026-08-26T10:04:46.278000-05:00,balance,balance,long,not-recorded,4,37.0601,29252.25,price 29252.25,29259.25,1787756580000
109,2026-08-26:NY:v6,NY,2026-08-26,2026-08-26T10:09:28.395000-05:00,balance,balance,neutral,not-recorded,3,36.0992,,,29270.75,1787756880000
110,2026-08-26:NY:v7,NY,2026-08-26,2026-08-26T10:44:42.971000-05:00,balance,balance,long,not-recorded,4,34.3156,29267.5,Price 29267.50,29285.0,1787758980000
111,2026-08-26:NY:v8,NY,2026-08-26,2026-08-26T11:15:53.757000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,29201.25,1787760840000
112,2026-08-26:ASIA:v1,ASIA,2026-08-26,2026-08-26T17:06:12.677000-05:00,trend,trend,long,not-recorded,3,41.5226,,,29563.25,1787781900000
113,2026-08-26:ASIA:v2,ASIA,2026-08-26,2026-08-26T18:01:15.076000-05:00,no-trade,no-trade,neutral,not-recorded,1,32.0049,29614.0,price 29614.00,29606.75,1787785200000
114,2026-08-26:ASIA:v3,ASIA,2026-08-26,2026-08-26T19:02:08.802000-05:00,balance,balance,short,not-recorded,3,23.1862,,,29634.5,1787788860000
115,2026-08-26:ASIA:v4,ASIA,2026-08-26,2026-08-26T19:52:59.078000-05:00,trend-down,trend,short,not-recorded,3,29.0011,29469.75,price 29469.75,29456.75,1787791860000
116,2026-08-26:ASIA:v5,ASIA,2026-08-26,2026-08-26T20:13:56.798000-05:00,trend,trend,short,not-recorded,3,28.251,29479.25,Price 29479.25,29473.0,1787793120000
117,2026-08-26:ASIA:v6,ASIA,2026-08-26,2026-08-26T20:45:50.225000-05:00,trend,trend,short,not-recorded,3,26.6754,,,29492.75,1787795040000
118,2026-08-26:ASIA:v7,ASIA,2026-08-26,2026-08-26T21:09:04.089000-05:00,balance,balance,short,not-recorded,3,27.5485,29552.75,price 29552.75,29529.25,1787796480000
119,2026-08-26:ASIA:v8,ASIA,2026-08-26,2026-08-26T22:06:22.298000-05:00,trend,trend,short,not-recorded,4,20.8927,29550.0,price 29550,29552.0,1787799900000
120,2026-08-26:ASIA:v9,ASIA,2026-08-26,2026-08-26T22:50:13.447000-05:00,premium-fade,premium-fade,short,not-recorded,3,20.3087,29553.0,price 29553,29539.0,1787802540000
121,2026-08-26:ASIA:v10,ASIA,2026-08-26,2026-08-26T23:10:36.095000-05:00,trend,trend,neutral,not-recorded,3,17.4921,,,29536.25,1787803740000
122,2026-08-27:LONDON:v1,LONDON,2026-08-27,2026-08-27T02:01:51.690000-05:00,balance,balance,short,not-recorded,3,17.7656,,,29485.5,1787814000000
123,2026-08-27:LONDON:v2,LONDON,2026-08-27,2026-08-27T02:21:46.431000-05:00,balance,balance,long,not-recorded,4,19.075,,,29538.25,1787815200000
124,2026-08-27:LONDON:v3,LONDON,2026-08-27,2026-08-27T03:07:37.947000-05:00,balance,balance,long,not-recorded,4,19.4295,29504.0,Price 29504,29583.75,1787817960000
125,2026-08-27:LONDON:v4,LONDON,2026-08-27,2026-08-27T03:22:52.769000-05:00,trend,trend,long,not-recorded,3,21.648,,,29607.5,1787818860000
126,2026-08-27:LONDON:v5,LONDON,2026-08-27,2026-08-27T03:52:32.204000-05:00,balance,balance,short,not-recorded,3,23.2628,29632.0,Price 29632,29656.5,1787820660000
127,2026-08-27:LONDON:v6,LONDON,2026-08-27,2026-08-27T04:29:53.998000-05:00,trend,trend,neutral,not-recorded,3,26.1438,29571.25,price 29571.25,29595.75,1787822880000
128,2026-08-27:LONDON:v7,LONDON,2026-08-27,2026-08-27T08:06:27.164000-05:00,trend-down,trend,short,not-recorded,2,20.7626,,,29548.5,1787835900000
129,2026-08-27:NY:v1,NY,2026-08-27,2026-08-27T08:47:04.776000-05:00,no-trade,no-trade,neutral,not-recorded,1,22.2289,,,29555.5,1787838360000
130,2026-08-27:NY:v2,NY,2026-08-27,2026-08-27T10:00:52.653000-05:00,no-trade,no-trade,neutral,not-recorded,1,50.314,,,29601.25,1787842740000
131,2026-08-27:NY:v3,NY,2026-08-27,2026-08-27T11:31:06.084000-05:00,premium_rejection,premium_rejection,short,not-recorded,3,36.537,,,29604.0,1787848200000
132,2026-08-27:NY:v4,NY,2026-08-27,2026-08-27T13:50:22.541000-05:00,balance,balance,short,not-recorded,3,26.7139,,,29552.5,1787856540000
133,2026-08-27:NY:v5,NY,2026-08-27,2026-08-27T14:04:28.355000-05:00,balance,balance,long,not-recorded,4,26.2431,29564.0,price 29564,29577.5,1787857380000
134,2026-08-27:ASIA:v1,ASIA,2026-08-27,2026-08-27T17:25:10.296000-05:00,no-trade,no-trade,neutral,not-recorded,1,20.5444,,,29636.25,1787869440000
135,2026-08-27:ASIA:v2,ASIA,2026-08-27,2026-08-27T17:42:49.493000-05:00,trend,trend,neutral,not-recorded,3,17.6585,,,29635.75,1787870460000
136,2026-08-27:ASIA:v3,ASIA,2026-08-27,2026-08-27T18:04:19.566000-05:00,trend,trend,long,not-recorded,4,17.1892,,,29628.25,1787871780000
137,2026-08-27:ASIA:v4,ASIA,2026-08-27,2026-08-27T18:26:09.990000-05:00,balance,balance,neutral,not-recorded,5,15.7533,29606.0,Price 29606,29606.75,1787873100000
138,2026-08-27:ASIA:v5,ASIA,2026-08-27,2026-08-27T19:53:45.515000-05:00,balance,balance,short,not-recorded,3,17.3493,,,29663.5,1787878320000
139,2026-08-27:ASIA:v6,ASIA,2026-08-27,2026-08-27T20:22:24.743000-05:00,trend,trend,short,not-recorded,3,16.439,,,29664.75,1787880060000
140,2026-08-27:ASIA:v7,ASIA,2026-08-27,2026-08-27T20:54:08.021000-05:00,balance,balance,short,not-recorded,4,16.6558,,,29660.5,1787881980000
141,2026-08-27:ASIA:v8,ASIA,2026-08-27,2026-08-27T21:49:38.209000-05:00,trend,trend,short,not-recorded,3,15.4041,29690.75,price 29690.75,29648.25,1787885280000
142,2026-08-27:ASIA:v9,ASIA,2026-08-27,2026-08-27T23:14:29.118000-05:00,balance,balance,short,not-recorded,4,16.2697,29652.75,price 29652.75,29664.5,1787890380000
143,2026-08-27:ASIA:v10,ASIA,2026-08-27,2026-08-28T00:00:39.924000-05:00,balance,balance,short,not-recorded,4,13.7299,29645.25,price 29645.25,29642.0,1787893140000
144,2026-08-27:ASIA:v11,ASIA,2026-08-27,2026-08-28T00:44:43.231000-05:00,balance,balance,short,not-recorded,4,12.1844,29621.0,Price 29621,29610.75,1787895780000
145,2026-08-27:ASIA:v12,ASIA,2026-08-27,2026-08-28T01:02:44.772000-05:00,balance,balance,short,not-recorded,3,12.5445,29602.0,Price 29602,29601.25,1787896860000
146,2026-08-27:ASIA:v13,ASIA,2026-08-27,2026-08-28T01:43:10.839000-05:00,balance,balance,short,not-recorded,5,12.9816,,,29605.0,1787899320000
147,2026-08-28:LONDON:v1,LONDON,2026-08-28,2026-08-28T02:13:44-05:00,balance,balance,short,not-recorded,3,14.1299,29626.0,Price 29626.00,29609.75,1787901120000
148,2026-08-28:LONDON:v2,LONDON,2026-08-28,2026-08-28T06:36:41.146000-05:00,balance,balance,short,not-recorded,3,14.9388,29634.0,Price 29634,29616.25,1787916900000
149,2026-08-28:LONDON:v3,LONDON,2026-08-28,2026-08-28T07:26:52.585000-05:00,balance,balance,short,not-recorded,4,14.914,29630.75,price 29630.75,29657.25,1787919900000
150,2026-08-28:LONDON:v4,LONDON,2026-08-28,2026-08-28T07:35:21.169000-05:00,balance,balance,short,not-recorded,4,15.3651,29662.0,Price 29662,29629.0,1787920440000
151,2026-08-28:LONDON:v5,LONDON,2026-08-28,2026-08-28T07:48:28.211000-05:00,trend,trend,short,not-recorded,3,17.8569,,,29651.25,1787921220000
152,2026-08-28:LONDON:v6,LONDON,2026-08-28,2026-08-28T08:16:22.385000-05:00,balance,balance,short,not-recorded,3,17.2545,29654.75,price is 29654.75,29657.25,1787922900000
153,2026-08-28:NY:v1,NY,2026-08-28,2026-08-28T08:33:59.064000-05:00,balance,balance,neutral,not-recorded,4,17.2606,,,29583.25,1787923920000
154,2026-08-28:NY:v2,NY,2026-08-28,2026-08-28T08:49:08.043000-05:00,trend,trend,long,not-recorded,3,27.231,,,29695.5,1787924880000
155,2026-08-28:NY:v3,NY,2026-08-28,2026-08-28T09:20:49.330000-05:00,trend-down,trend,short,not-recorded,3,44.1867,,,29604.25,1787926740000
156,2026-08-28:NY:v4,NY,2026-08-28,2026-08-28T10:51:47.269000-05:00,balance,balance,short,not-recorded,3,42.001,,,29623.5,1787932200000
157,2026-08-28:NY:v5,NY,2026-08-28,2026-08-28T12:05:44.936000-05:00,balance,balance,long,not-recorded,3,47.8324,,,29469.5,1787936640000
158,2026-08-28:NY:v6,NY,2026-08-28,2026-08-28T12:59:59.305000-05:00,balance,balance,long,not-recorded,3,42.0891,,,29514.0,1787939880000
159,2026-08-28:NY:v7,NY,2026-08-28,2026-08-28T13:08:51.095000-05:00,balance,balance,neutral,not-recorded,3,38.5531,29508.25,Price 29508.25,29504.0,1787940420000
162,2026-08-30:ASIA:v1,ASIA,2026-08-30,2026-08-30T17:08:56.532000-05:00,balance,balance,long,not-recorded,4,20.0364,,,29460.75,1788127620000
163,2026-08-30:ASIA:v2,ASIA,2026-08-30,2026-08-30T18:35:34.353000-05:00,trend,trend,short,not-recorded,3,21.2719,,,29360.0,1788132840000
164,2026-08-30:ASIA:v3,ASIA,2026-08-30,2026-08-31T01:06:50.529000-05:00,no-trade,no-trade,neutral,not-recorded,1,20.9685,29430.25,price 29430.25,29475.0,1788156300000
