scenario_key,plan_row,plan_id,version,scenario,date,session,session_day,created_ct,hour_ct,day_type,day_type_group,bias,regime,condition,family,side,quality,trigger,anchor,anchor_source,level_keys,level_labels,level_kind,level_grade,arm_enabled,arm_ids,has_arm_evidence,placed_arm_ids,position_ids,complete_geometry,entry,stop,target,stop_pts,target_R,first_target_R,atr5m_saved,stop_atr,reached,reach_bar_ids,window_start_ct,window_end_ct,window_bars_n,expected_bars_n,window_complete,narrative_distance_pts,narrative_distance_atr,publication_distance_pts,publication_distance_atr
p6:S2:1,6,2026-08-16:ASIA,2,S2,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:19:02.222000-05:00,17,balance,balance,neutral,not-recorded,hold,ambiguous,long,B,"Hold of EQL 30192.25 above PDH/PDC, then reclaim back through it",30192.25,first trigger price matching a seated level,"[""p6:L1""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,5.1157,,unknown,[],2026-08-16T17:19:02.222000-05:00,2026-08-16T17:23:34.425000-05:00,0,3,False,,,,
p6:S3:2,6,2026-08-16:ASIA,2,S3,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:19:02.222000-05:00,17,balance,balance,neutral,not-recorded,acceptance,follow,short,B,Acceptance below EQL 30192.25 after ONH failure,30192.25,first trigger price matching a seated level,"[""p6:L1""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,5.1157,,unknown,[],2026-08-16T17:19:02.222000-05:00,2026-08-16T17:23:34.425000-05:00,0,3,False,,,,
p7:S1:0,7,2026-08-16:ASIA,3,S1,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:23:34.425000-05:00,17,trend,trend,long,not-recorded,reclaim,follow,long,B,30203 ONH,30203.0,first trigger price matching a seated level,"[""p7:L1""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,5.4787,,unknown,[],2026-08-16T17:23:34.425000-05:00,2026-08-16T17:26:19.609000-05:00,0,2,False,,,,
p7:S2:1,7,2026-08-16:ASIA,3,S2,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:23:34.425000-05:00,17,trend,trend,long,not-recorded,hold,ambiguous,long,B,30191.25 EQL,30191.25,first trigger price matching a seated level,"[""p7:L0""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,5.4787,,unknown,[],2026-08-16T17:23:34.425000-05:00,2026-08-16T17:26:19.609000-05:00,0,2,False,,,,
p7:S3:2,7,2026-08-16:ASIA,3,S3,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:23:34.425000-05:00,17,trend,trend,long,not-recorded,reject,fade,short,B,30203 ONH,30203.0,first trigger price matching a seated level,"[""p7:L1""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,5.4787,,unknown,[],2026-08-16T17:23:34.425000-05:00,2026-08-16T17:26:19.609000-05:00,0,2,False,,,,
p8:S1:0,8,2026-08-16:ASIA,4,S1,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:26:19.609000-05:00,17,balance,balance,neutral,not-recorded,hold,fade,long,B,Pullback into 30191.25 EQL / 30166.25 ONL after an ONH rejection or open drive; 15m RSI resets while price holds 30166.25,30191.25,first trigger price matching a seated level,"[""p8:L1""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,5.1945,,unknown,[],2026-08-16T17:26:19.609000-05:00,2026-08-16T17:32:28.654000-05:00,0,5,False,,,,
p8:S2:1,8,2026-08-16:ASIA,4,S2,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:26:19.609000-05:00,17,balance,balance,neutral,not-recorded,reject,fade,short,A,First or second touch of 30203.00 ONH in low RV with 15m RSI still stretched; sellers defend and reject,30203.0,first trigger price matching a seated level,"[""p8:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,5.1945,,unknown,[],2026-08-16T17:26:19.609000-05:00,2026-08-16T17:32:28.654000-05:00,0,5,False,,,,
p8:S3:2,8,2026-08-16:ASIA,4,S3,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:26:19.609000-05:00,17,balance,balance,neutral,not-recorded,acceptance,follow,short,B,"15m close below 30166.25 ONL, then retest of 30166.25 from below as resistance",30166.25,first trigger price matching a seated level,"[""p8:L2""]","[""ONL""]",ONL,A,False,[],False,[],[],False,,,,,,,5.1945,,unknown,[],2026-08-16T17:26:19.609000-05:00,2026-08-16T17:32:28.654000-05:00,0,5,False,,,,
p9:S1:0,9,2026-08-16:ASIA,5,S1,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:32:28.654000-05:00,17,balance,balance,long,not-recorded,hold,fade,long,A,Pullback to 30147.50-30148.25 and 5m hold/reclaim,30147.5,first trigger price matching a seated level,"[""p9:L4""]","[""PDC""]",PDC,A,False,[],False,[],[],False,,,,,,,5.3477,,unknown,[],2026-08-16T17:32:28.654000-05:00,2026-08-16T17:37:29.565000-05:00,0,4,False,46.0,8.60182882360641,,
p9:S2:1,9,2026-08-16:ASIA,5,S2,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:32:28.654000-05:00,17,balance,balance,long,not-recorded,reject,fade,short,B,Rejection at 30199.50-30203.00 with a 5m lower high,30199.5,first trigger price matching a seated level,"[""p9:L0""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,5.3477,,unknown,[],2026-08-16T17:32:28.654000-05:00,2026-08-16T17:37:29.565000-05:00,0,4,False,6.0,1.1219776726443145,,
p10:S0:0,10,2026-08-16:ASIA,6,S0,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:37:29.565000-05:00,17,no-trade,no-trade,neutral,not-recorded,hold,stand-aside,long,B,none,,unresolved,[],[],unresolved,unresolved,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T17:37:29.565000-05:00,2026-08-17T02:00:00-05:00,0,502,False,,,,
p11:S1:0,11,2026-08-17:ASIA,1,S1,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T00:07:03.453000-05:00,0,balance,balance,long,not-recorded,hold,ambiguous,long,B,15m test of 30219.50-30214.75 EQH support zone with stabilization,30219.5,first trigger price matching a seated level,"[""p11:L2""]","[""EQH""]",EQH,A,False,[],False,[],[],False,,,,,,,7.6866,,unknown,[],2026-08-17T00:07:03.453000-05:00,2026-08-17T17:13:56.022000-05:00,0,1025,False,15.75,2.0490203731168526,,
p11:S2:1,11,2026-08-17:ASIA,1,S2,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T00:07:03.453000-05:00,0,balance,balance,long,not-recorded,reject,fade,short,B,Rally into 30254.75 PDH/ONH with visible rejection,30254.75,first trigger price matching a seated level,"[""p11:L0""]","[""PDH/ONH""]",composite,A,False,[],False,[],[],False,,,,,,,7.6866,,unknown,[],2026-08-17T00:07:03.453000-05:00,2026-08-17T17:13:56.022000-05:00,0,1025,False,19.5,2.536882366716103,,
p11:S3:2,11,2026-08-17:ASIA,1,S3,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T00:07:03.453000-05:00,0,balance,balance,long,not-recorded,sweep_reclaim,fade,long,B,Sweep of 30166.25 PDL/ONL and quick reclaim,30166.25,first trigger price matching a seated level,"[""p11:L5""]","[""PDL/ONL""]",composite,A,False,[],False,[],[],False,,,,,,,7.6866,,unknown,[],2026-08-17T00:07:03.453000-05:00,2026-08-17T17:13:56.022000-05:00,0,1025,False,69.0,8.976660682226212,,
p12:S1:0,12,2026-08-17:LONDON,1,S1,2026-08-17,LONDON,2026-08-17:LONDON,2026-08-17T01:58:03.410000-05:00,1,trend,trend,long,not-recorded,hold,fade,long,A,first pullback to 30254.75 PDH holds with a 5m higher low,30254.75,first trigger price matching a seated level,"[""p12:L1""]","[""PDH""]",PDH,A,False,[],False,[],[],False,,,,,,,11.4204,,unknown,[],2026-08-17T01:58:03.410000-05:00,2026-08-17T08:30:00-05:00,0,391,False,,,,
p12:S2:1,12,2026-08-17:LONDON,1,S2,2026-08-17,LONDON,2026-08-17:LONDON,2026-08-17T01:58:03.410000-05:00,1,trend,trend,long,not-recorded,sweep_reclaim,fade,long,B,sweep of 30234.50 PDC followed by 5m reclaim,30234.5,first trigger price matching a seated level,"[""p12:L2""]","[""PDC""]",PDC,A,False,[],False,[],[],False,,,,,,,11.4204,,unknown,[],2026-08-17T01:58:03.410000-05:00,2026-08-17T08:30:00-05:00,0,391,False,,,,
p12:S3:2,12,2026-08-17:LONDON,1,S3,2026-08-17,LONDON,2026-08-17:LONDON,2026-08-17T01:58:03.410000-05:00,1,trend,trend,long,not-recorded,reject,fade,short,B,first test of 30327.50 ONH rejects with 5m bearish reversal,30327.5,first trigger price matching a seated level,"[""p12:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,11.4204,,unknown,[],2026-08-17T01:58:03.410000-05:00,2026-08-17T08:30:00-05:00,0,391,False,,,,
p13:S1:0,13,2026-08-17:NY,1,S1,2026-08-17,NY,2026-08-17:NY,2026-08-17T08:28:57.840000-05:00,8,trend,trend,long,not-recorded,hold,fade,long,B,15m/5m RSI stabilizes and price holds 30222.25-30214.50 on a pullback,30222.25,first trigger price matching a seated level,"[""p13:L0""]","[""EQH""]",EQH,A,False,[],False,[],[],False,,,,,,,19.6283,,unknown,[],2026-08-17T08:28:57.840000-05:00,2026-08-17T09:54:53.378000-05:00,0,85,False,,,,
p13:S2:1,13,2026-08-17:NY,1,S2,2026-08-17,NY,2026-08-17:NY,2026-08-17T08:28:57.840000-05:00,8,trend,trend,long,not-recorded,acceptance,follow,short,B,15m close below 30212.75 after failing at 30222.25,30212.75,first trigger price matching a seated level,"[""p13:L3""]","[""EQH""]",EQH,A,False,[],False,[],[],False,,,,,,,19.6283,,unknown,[],2026-08-17T08:28:57.840000-05:00,2026-08-17T09:54:53.378000-05:00,0,85,False,,,,
p13:S3:2,13,2026-08-17:NY,1,S3,2026-08-17,NY,2026-08-17:NY,2026-08-17T08:28:57.840000-05:00,8,trend,trend,long,not-recorded,breakout_retest,follow,long,B,breakout above 30287.25 holds and retests it,30287.25,first trigger price matching a seated level,"[""p13:L4""]","[""PWH""]",PWH,A,False,[],False,[],[],False,,,,,,,19.6283,,unknown,[],2026-08-17T08:28:57.840000-05:00,2026-08-17T09:54:53.378000-05:00,0,85,False,,,,
p14:S1:0,14,2026-08-17:NY,2,S1,2026-08-17,NY,2026-08-17:NY,2026-08-17T09:54:53.378000-05:00,9,trend,trend,long,not-recorded,hold,ambiguous,long,B,NY holds above 30217.75 after first 5m and buyers defend the shelf,30217.75,first trigger price matching a seated level,"[""p14:L0""]","[""EQH""]",EQH,A,False,[],False,[],[],False,,,,,,,31.6951,,unknown,[],2026-08-17T09:54:53.378000-05:00,2026-08-17T11:57:35.576000-05:00,0,122,False,,,,
p14:S2:1,14,2026-08-17:NY,2,S2,2026-08-17,NY,2026-08-17:NY,2026-08-17T09:54:53.378000-05:00,9,trend,trend,long,not-recorded,sweep_reclaim,fade,long,A,Sweep of 30190.50 OR-L then reclaim of 30217.75,30190.5,first trigger price matching a seated level,"[""p14:L4""]","[""OR-L""]",OR-L,A,False,[],False,[],[],False,,,,,,,31.6951,,unknown,[],2026-08-17T09:54:53.378000-05:00,2026-08-17T11:57:35.576000-05:00,0,122,False,,,,
p14:S3:2,14,2026-08-17:NY,2,S3,2026-08-17,NY,2026-08-17:NY,2026-08-17T09:54:53.378000-05:00,9,trend,trend,long,not-recorded,reject,fade,short,B,Clean rejection at 30222.50-30225.00 EQ cluster without acceptance,30222.5,first trigger price matching a seated level,"[""p14:L1""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,31.6951,,unknown,[],2026-08-17T09:54:53.378000-05:00,2026-08-17T11:57:35.576000-05:00,0,122,False,,,,
p15:S1:0,15,2026-08-17:NY,3,S1,2026-08-17,NY,2026-08-17:NY,2026-08-17T11:57:35.576000-05:00,11,trend,trend,long,not-recorded,reclaim,follow,long,A,5m close back above 30190.50 OR-L while 30166.25 PDL/ONL is holding,30190.5,first trigger price matching a seated level,"[""p15:L1""]","[""OR-L""]",OR-L,A,False,[],False,[],[],False,,,,,,,21.4829,,unknown,[],2026-08-17T11:57:35.576000-05:00,2026-08-17T14:45:00-05:00,0,167,False,,,,
p15:S2:1,15,2026-08-17:NY,3,S2,2026-08-17,NY,2026-08-17:NY,2026-08-17T11:57:35.576000-05:00,11,trend,trend,long,not-recorded,breakout_retest,follow,long,B,5m close above 30234.50 PDC and retest holds 30227.25,30234.5,first trigger price matching a seated level,"[""p15:L3""]","[""PDC""]",PDC,A,False,[],False,[],[],False,,,,,,,21.4829,,unknown,[],2026-08-17T11:57:35.576000-05:00,2026-08-17T14:45:00-05:00,0,167,False,,,,
p15:S3:2,15,2026-08-17:NY,3,S3,2026-08-17,NY,2026-08-17:NY,2026-08-17T11:57:35.576000-05:00,11,trend,trend,long,not-recorded,reject,fade,short,B,Rejection at 30227.25-30234.50 and 5m close back below 30227.25,30227.25,first trigger price matching a seated level,"[""p15:L2""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,21.4829,,unknown,[],2026-08-17T11:57:35.576000-05:00,2026-08-17T14:45:00-05:00,0,167,False,,,,
p16:S1:0,16,2026-08-17:ASIA,2,S1,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T17:13:56.022000-05:00,17,balance,balance,neutral,not-recorded,sweep_reclaim,fade,long,B,5m close/acceptance above 30091.50 ONH after a sweep,30091.5,first trigger price matching a seated level,"[""p16:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,15.0332,,unknown,[],2026-08-17T17:13:56.022000-05:00,2026-08-17T19:18:14.747000-05:00,0,124,False,6.25,0.41574648112178375,,
p16:S2:1,16,2026-08-17:ASIA,2,S2,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T17:13:56.022000-05:00,17,balance,balance,neutral,not-recorded,reject,fade,short,B,5m rejection at 30091.50 ONH / failure to reclaim 15m EMA50,30091.5,first trigger price matching a seated level,"[""p16:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,15.0332,,unknown,[],2026-08-17T17:13:56.022000-05:00,2026-08-17T19:18:14.747000-05:00,0,124,False,6.25,0.41574648112178375,,
p17:S1:0,17,2026-08-17:ASIA,3,S1,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T19:18:14.747000-05:00,19,balance,balance,neutral,not-recorded,reclaim,follow,long,B,"After first 5m, 15m close back above 30104 ONH after testing the high",30104.0,first trigger price matching a seated level,"[""p17:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,12.3672,,unknown,[],2026-08-17T19:18:14.747000-05:00,2026-08-17T23:29:41.440000-05:00,0,250,False,3.75,0.3032214244129633,,
p17:S2:1,17,2026-08-17:ASIA,3,S2,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T19:18:14.747000-05:00,19,balance,balance,neutral,not-recorded,reject,fade,short,B,Failed breakout or weak rally above 30104–30110 ONH,30104.0,first trigger price matching a seated level,"[""p17:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,12.3672,,unknown,[],2026-08-17T19:18:14.747000-05:00,2026-08-17T23:29:41.440000-05:00,0,250,False,3.75,0.3032214244129633,,
p17:S3:2,17,2026-08-17:ASIA,3,S3,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T19:18:14.747000-05:00,19,balance,balance,neutral,not-recorded,sweep_reclaim,fade,long,B,Sweep of 30062 ONL followed by recovery back above 30080,30062.0,first trigger price matching a seated level,"[""p17:L1""]","[""ONL""]",ONL,A,False,[],False,[],[],False,,,,,,,12.3672,,unknown,[],2026-08-17T19:18:14.747000-05:00,2026-08-17T23:29:41.440000-05:00,0,250,False,38.25,3.0928585290122257,,
p18:S0:0,18,2026-08-17:ASIA,4,S0,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T23:29:41.440000-05:00,23,no-trade,no-trade,neutral,not-recorded,hold,stand-aside,long,B,none,,unresolved,[],[],unresolved,unresolved,False,[],False,[],[],False,,,,,,,22.7639,,unknown,[],2026-08-17T23:29:41.440000-05:00,2026-08-17T23:49:55.208000-05:00,0,19,False,,,,
p19:S1:0,19,2026-08-17:ASIA,5,S1,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T23:49:55.208000-05:00,23,balance,balance,neutral,not-recorded,sweep_reclaim,fade,long,B,Price sweeps 29853 ONL and 5m closes back above it while 15m RSI is oversold/diverging,29853.0,first trigger price matching a seated level,"[""p19:L0""]","[""ONL""]",ONL,A,False,[],False,[],[],False,,,,,,,22.3875,,unknown,[],2026-08-17T23:49:55.208000-05:00,2026-08-18T00:22:08.330000-05:00,0,32,False,,,,
p19:S2:1,19,2026-08-17:ASIA,5,S2,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T23:49:55.208000-05:00,23,balance,balance,neutral,not-recorded,reject,fade,short,B,Price rallies into 30086-30090.50 EQL/EQH supply and 5m/15m shows rejection wick or bearish engulf,30090.5,first trigger price matching a seated level,"[""p19:L4""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,22.3875,,unknown,[],2026-08-17T23:49:55.208000-05:00,2026-08-18T00:22:08.330000-05:00,0,32,False,,,,
p19:S3:2,19,2026-08-17:ASIA,5,S3,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-17T23:49:55.208000-05:00,23,balance,balance,neutral,not-recorded,breakout_retest,follow,long,B,"Price breaks above 30090.50 EQH, then holds a 5m retest of the 30090.25/30086.25 zone",30090.5,first trigger price matching a seated level,"[""p19:L4""]","[""EQL""]",EQL,A,False,[],False,[],[],False,,,,,,,22.3875,,unknown,[],2026-08-17T23:49:55.208000-05:00,2026-08-18T00:22:08.330000-05:00,0,32,False,,,,
p20:S1:0,20,2026-08-17:ASIA,6,S1,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-18T00:22:08.330000-05:00,0,balance/breakdown attempt,balance,short,not-recorded,reject,fade,short,A,Weak 5m rally into 29919 PDC or 30079 RTH-L with rejection,29919.0,first trigger price matching a seated level,"[""p20:L1""]","[""PDC""]",PDC,A,False,[],False,[],[],False,,,,,,,21.5564,,unknown,[],2026-08-18T00:22:08.330000-05:00,2026-08-18T02:00:00-05:00,0,97,False,40.25,1.8671948933959288,,
p20:S2:1,20,2026-08-17:ASIA,6,S2,2026-08-17,ASIA,2026-08-17:ASIA,2026-08-18T00:22:08.330000-05:00,0,balance/breakdown attempt,balance,short,not-recorded,sweep_reclaim,fade,long,B,5m sweep below 29853 PDL/ONL then strong 5m reclaim close back above,29853.0,first trigger price matching a seated level,"[""p20:L0""]","[""PDL/ONL""]",composite,A,False,[],False,[],[],False,,,,,,,21.5564,,unknown,[],2026-08-18T00:22:08.330000-05:00,2026-08-18T02:00:00-05:00,0,97,False,25.75,1.1945408324209978,,
p21:S1:0,21,2026-08-18:LONDON,1,S1,2026-08-18,LONDON,2026-08-18:LONDON,2026-08-18T01:58:40.966000-05:00,1,balance,balance,neutral,not-recorded,reclaim,follow,long,B,PDL 29853 holds and price reclaims PDC 29919 with a 5m close,29853.0,first trigger price matching a seated level,"[""p21:L0""]","[""PDL""]",PDL,A,False,[],False,[],[],False,,,,,,,20.3808,,unknown,[],2026-08-18T01:58:40.966000-05:00,2026-08-18T08:30:00-05:00,0,391,False,,,,
p21:S2:1,21,2026-08-18:LONDON,1,S2,2026-08-18,LONDON,2026-08-18:LONDON,2026-08-18T01:58:40.966000-05:00,1,balance,balance,neutral,not-recorded,breakout_retest,follow,short,B,PDL 29853 breaks and holds as resistance on a 5m retest,29853.0,first trigger price matching a seated level,"[""p21:L0""]","[""PDL""]",PDL,A,False,[],False,[],[],False,,,,,,,20.3808,,unknown,[],2026-08-18T01:58:40.966000-05:00,2026-08-18T08:30:00-05:00,0,391,False,,,,
p21:S3:2,21,2026-08-18:LONDON,1,S3,2026-08-18,LONDON,2026-08-18:LONDON,2026-08-18T01:58:40.966000-05:00,1,balance,balance,neutral,not-recorded,reject,fade,short,B,Rally into 30079-30096 cluster stalls with an upper wick,30079.0,first trigger price matching a seated level,"[""p21:L3""]","[""RTH-L""]",RTH-L,A,False,[],False,[],[],False,,,,,,,20.3808,,unknown,[],2026-08-18T01:58:40.966000-05:00,2026-08-18T08:30:00-05:00,0,391,False,,,,
