level_key,plan_row,session,date,label,kind,grade,machine_grade,price,narrative_distance_pts,narrative_distance_atr,publication_distance_pts,publication_distance_atr
p12:L1,12,LONDON,2026-08-17,PDH,PDH,A,,30254.75,,,,
p12:L2,12,LONDON,2026-08-17,PDC,PDC,A,,30234.5,,,,
p12:L3,12,LONDON,2026-08-17,EQL,EQL,A,,30212,,,,
p12:L4,12,LONDON,2026-08-17,EQL,EQL,A,,30210.75,,,,
p12:L5,12,LONDON,2026-08-17,EQH,EQH,A,,30210,,,,
p12:L6,12,LONDON,2026-08-17,PDL/ONL,composite,A,,30166.25,,,,
p13:L0,13,NY,2026-08-17,EQH,EQH,A,,30222.25,,,,
p13:L1,13,NY,2026-08-17,EQL,EQL,A,,30221.25,,,,
p13:L2,13,NY,2026-08-17,EQL,EQL,A,,30214.5,,,,
p13:L3,13,NY,2026-08-17,EQH,EQH,A,,30212.75,,,,
p13:L4,13,NY,2026-08-17,PWH,PWH,A,,30287.25,,,,
p13:L5,13,NY,2026-08-17,ONL,ONL,A,,30166.25,,,,
p13:L6,13,NY,2026-08-17,ONH,ONH,A,,30339.75,,,,
p14:L0,14,NY,2026-08-17,EQH,EQH,A,,30217.75,,,,
p14:L1,14,NY,2026-08-17,EQL,EQL,A,,30222.5,,,,
p14:L2,14,NY,2026-08-17,EQH/EQL,composite,A,,30223.5,,,,
p14:L3,14,NY,2026-08-17,EQH/EQL,composite,A,,30225,,,,
p14:L4,14,NY,2026-08-17,OR-L,OR-L,A,,30190.5,,,,
p14:L5,14,NY,2026-08-17,OR-H,OR-H,A,,30265.75,,,,
p15:L0,15,NY,2026-08-17,PDL/ONL,composite,A,,30166.25,,,,
p15:L1,15,NY,2026-08-17,OR-L,OR-L,A,,30190.5,,,,
p15:L2,15,NY,2026-08-17,EQL,EQL,A,,30227.25,,,,
p15:L3,15,NY,2026-08-17,PDC,PDC,A,,30234.5,,,,
p15:L4,15,NY,2026-08-17,PDH,PDH,A,,30254.75,,,,
p15:L5,15,NY,2026-08-17,OR-H,OR-H,A,,30265.75,,,,
p15:L6,15,NY,2026-08-17,ONH,ONH,A,,30339.75,,,,
p16:L0,16,ASIA,2026-08-17,ONH,ONH,A,,30091.5,6.25,0.41574648112178375,,
p16:L1,16,ASIA,2026-08-17,ONL,ONL,A,,30069.75,15.5,1.0310512731820238,,
p16:L2,16,ASIA,2026-08-17,PDL,PDL,A,,30166.25,81.0,5.388074395338317,,
p16:L3,16,ASIA,2026-08-17,OR-L,OR-L,A,,30190.5,105.25,7.001170742090839,,
p16:L4,16,ASIA,2026-08-17,nPOC·2026-08-16,NPOC,A,,30203.12,117.86999999999898,7.840646036771877,,
p16:L5,16,ASIA,2026-08-17,PDC,PDC,A,,30234.5,149.25,9.928025969188196,,
p16:L6,16,ASIA,2026-08-17,PDH,PDH,A,,30254.75,169.5,11.275044568022775,,
p16:L7,16,ASIA,2026-08-17,OR-H,OR-H,A,,30265.75,180.5,12.006758374797116,,
p17:L0,17,ASIA,2026-08-17,ONH,ONH,A,,30104,3.75,0.3032214244129633,,
p17:L1,17,ASIA,2026-08-17,ONL,ONL,A,,30062,38.25,3.0928585290122257,,
p17:L2,17,ASIA,2026-08-17,PDL,PDL,A,,30166.25,66.0,5.336697069668154,,
p17:L3,17,ASIA,2026-08-17,OR-L,OR-L,A,,30190.5,90.25,7.29752894753865,,
p17:L4,17,ASIA,2026-08-17,nPOC·2026-08-16,NPOC,A,,30203.12,102.86999999999898,8.317970114496328,,
p17:L5,17,ASIA,2026-08-17,PDC,PDC,A,,30234.5,134.25,10.855326993984086,,
p17:L6,17,ASIA,2026-08-17,PDH,PDH,A,,30254.75,154.5,12.492722685814089,,
p17:L7,17,ASIA,2026-08-17,OR-H,OR-H,A,,30265.75,165.5,13.382172197425447,,
p18:L0,18,ASIA,2026-08-17,ONL,ONL,A,,29853,,,,
p18:L1,18,ASIA,2026-08-17,EQH,EQH,A,,30084.5,,,,
p18:L2,18,ASIA,2026-08-17,EQH,EQH,A,,30085.25,,,,
p18:L3,18,ASIA,2026-08-17,EQH,EQH,A,,30090.25,,,,
p18:L4,18,ASIA,2026-08-17,EQL,EQL,A,,30090.5,,,,
p18:L5,18,ASIA,2026-08-17,ONH,ONH,A,,30124.25,,,,
p18:L6,18,ASIA,2026-08-17,PDL,PDL,A,,30166.25,,,,
p18:L7,18,ASIA,2026-08-17,OR-L,OR-L,A,,30190.5,,,,
p19:L0,19,ASIA,2026-08-17,ONL,ONL,A,,29853,,,,
p19:L1,19,ASIA,2026-08-17,EQL,EQL,A,,30086.25,,,,
p19:L2,19,ASIA,2026-08-17,EQL,EQL,A,,30089.25,,,,
p19:L3,19,ASIA,2026-08-17,EQH,EQH,A,,30090.25,,,,
p19:L4,19,ASIA,2026-08-17,EQL,EQL,A,,30090.5,,,,
p19:L5,19,ASIA,2026-08-17,ONH,ONH,A,,30124.25,,,,
p19:L6,19,ASIA,2026-08-17,PDL,PDL,A,,30166.25,,,,
p19:L7,19,ASIA,2026-08-17,OR-L,OR-L,A,,30190.5,,,,
p20:L0,20,ASIA,2026-08-17,PDL/ONL,composite,A,,29853,25.75,1.1945408324209978,,
p20:L1,20,ASIA,2026-08-17,PDC,PDC,A,,29919,40.25,1.8671948933959288,,
p20:L2,20,ASIA,2026-08-17,RTH-L,RTH-L,A,,30079,200.25,9.289584531739994,,
p20:L3,20,ASIA,2026-08-17,EQH,EQH,A,,30085.25,206.5,9.579521626987809,,
p20:L4,20,ASIA,2026-08-17,EQH,EQH,A,,30087.75,209.0,9.695496465086935,,
p20:L5,20,ASIA,2026-08-17,EQH,EQH,A,,30088.25,209.5,9.718691432706759,,
p20:L6,20,ASIA,2026-08-17,ONH,ONH,A,,30124.25,245.5,11.388729101334174,,
p21:L0,21,LONDON,2026-08-18,PDL,PDL,A,,29853,,,,
p21:L1,21,LONDON,2026-08-18,PDC,PDC,A,,29919,,,,
p21:L2,21,LONDON,2026-08-18,ONL,ONL,A,,29785.5,,,,
p21:L3,21,LONDON,2026-08-18,RTH-L,RTH-L,A,,30079,,,,
p21:L4,21,LONDON,2026-08-18,EQL,EQL,A,,30090.75,,,,
p21:L5,21,LONDON,2026-08-18,EQH,EQH,A,,30091.5,,,,
p21:L6,21,LONDON,2026-08-18,PWL,PWL,A,,30096.25,,,,
p21:L7,21,LONDON,2026-08-18,ONH,ONH,A,,30124.25,,,,
p22:L0,22,NY,2026-08-18,ONL,ONL,A,,29680.75,,,,
p22:L1,22,NY,2026-08-18,PDL,PDL,A,,29853,,,,
p22:L2,22,NY,2026-08-18,PDC,PDC,A,,29919,,,,
p22:L3,22,NY,2026-08-18,RTH-L,RTH-L,A,,30079,,,,
p22:L4,22,NY,2026-08-18,EQL,EQL,A,,30089.25,,,,
p22:L5,22,NY,2026-08-18,EQL,EQL,A,,30090.75,,,,
p22:L6,22,NY,2026-08-18,EQH,EQH,A,,30091.5,,,,
p22:L7,22,NY,2026-08-18,EQL,EQL,A,,30092,,,,
p23:L0,23,ASIA,2026-08-18,IB-L,IB-L,A,,29568.25,5.25,0.28647197485594555,,
p23:L1,23,ASIA,2026-08-18,ONH,ONH,A,,29582.5,9.0,0.49109481403876376,,
p23:L2,23,ASIA,2026-08-18,EQL,EQL,A,,29564.5,9.0,0.49109481403876376,,
p23:L3,23,ASIA,2026-08-18,ONL,ONL,A,,29551.5,22.0,1.2004539898725337,,
p23:L4,23,ASIA,2026-08-18,OR-L,OR-L,A,,29644.5,71.0,3.8741924218613586,,
p23:L5,23,ASIA,2026-08-18,OR-H,OR-H,A,,29755,181.5,9.903745416448402,,
p23:L6,23,ASIA,2026-08-18,PDC,PDC,A,,29919,345.5,18.852584250043652,,
p23:L7,23,ASIA,2026-08-18,RTH-L,RTH-L,A,,30079,505.5,27.583158721843898,,
p24:L0,24,ASIA,2026-08-18,EQH,EQH,A,,29586.25,,,,
p24:L1,24,ASIA,2026-08-18,EQH,EQH,A,,29582.5,,,,
p24:L2,24,ASIA,2026-08-18,ONH,ONH,A,,29602,,,,
p24:L3,24,ASIA,2026-08-18,OR-L,OR-L,A,,29644.5,,,,
p24:L4,24,ASIA,2026-08-18,ONL,ONL,A,,29441,,,,
p24:L5,24,ASIA,2026-08-18,OR-H,OR-H,A,,29755,,,,
p24:L6,24,ASIA,2026-08-18,PDL,PDL,A,,29853,,,,
p24:L7,24,ASIA,2026-08-18,RTH-L,RTH-L,A,,30079,,,,
p27:L0,27,ASIA,2026-08-18,EQH,EQH,A,,29478.25,,,,
p27:L1,27,ASIA,2026-08-18,PDC,PDC,A,,29496.25,,,,
p27:L2,27,ASIA,2026-08-18,RTH-L,RTH-L,A,,29514,,,,
p27:L3,27,ASIA,2026-08-18,PDL,PDL,A,,29441,,,,
p27:L4,27,ASIA,2026-08-18,ONL,ONL,A,,29430.25,,,,
p27:L5,27,ASIA,2026-08-18,ONH,ONH,A,,29609.75,,,,
p27:L6,27,ASIA,2026-08-18,RTH-H,RTH-H,A,,29770,,,,
p27:L7,27,ASIA,2026-08-18,PDH,PDH,A,,29920,,,,
p28:L0,28,ASIA,2026-08-18,EQH,EQH,A,,29478.25,,,,
p28:L1,28,ASIA,2026-08-18,PDC,PDC,A,,29496.25,,,,
p28:L2,28,ASIA,2026-08-18,RTH-L,RTH-L,A,,29514,,,,
p28:L3,28,ASIA,2026-08-18,PDL,PDL,A,,29441,,,,
p28:L4,28,ASIA,2026-08-18,ONL,ONL,A,,29430.25,,,,
p28:L5,28,ASIA,2026-08-18,ONH,ONH,A,,29609.75,,,,
p28:L6,28,ASIA,2026-08-18,RTH-H,RTH-H,A,,29770,,,,
p28:L7,28,ASIA,2026-08-18,PDH,PDH,A,,29920,,,,
p29:L0,29,LONDON,2026-08-19,EQH,EQH,A,,29552.5,10.5,0.4235527605555399,,
p29:L1,29,LONDON,2026-08-19,ONH,ONH,A,,29609.75,67.75,2.732923764536936,,
p29:L2,29,LONDON,2026-08-19,RTH-H,RTH-H,A,,29770,228.0,9.197145657777437,,
p29:L3,29,LONDON,2026-08-19,PDH,PDH,A,,29919.25,377.25,15.217645611388326,,
p29:L4,29,LONDON,2026-08-19,RTH-L,RTH-L,A,,29514,28.0,1.1294740281481064,,
p29:L5,29,LONDON,2026-08-19,PDC,PDC,A,,29505.75,36.25,1.4622654828703163,,
p29:L6,29,LONDON,2026-08-19,PDL,PDL,A,,29441,101.0,4.074174172962812,,
p29:L7,29,LONDON,2026-08-19,ONL,ONL,A,,29430.25,111.75,4.507811523055389,,
p30:L0,30,LONDON,2026-08-19,EQH,EQH,A,,29555,23.5,0.9445793205460071,,
p30:L1,30,LONDON,2026-08-19,ONH,ONH,A,,29609.75,31.25,1.256089522002669,,
p30:L2,30,LONDON,2026-08-19,RTH-L,RTH-L,A,,29514,64.5,2.5925687734135088,,
p30:L3,30,LONDON,2026-08-19,PDC,PDC,A,,29505.75,72.75,2.9241764072222134,,
p30:L4,30,LONDON,2026-08-19,PDL,PDL,A,,29441,137.5,5.526793896811744,,
p30:L5,30,LONDON,2026-08-19,ONL,ONL,A,,29430.25,148.25,5.958888692380662,,
p30:L6,30,LONDON,2026-08-19,RTH-H,RTH-H,A,,29770,191.5,7.697316590832356,,
p30:L7,30,LONDON,2026-08-19,PDH,PDH,A,,29919.25,340.75,13.696400147917103,,
p31:L0,31,LONDON,2026-08-19,ONH,ONH,A,,29641.25,,,,
p31:L1,31,LONDON,2026-08-19,EQL,EQL,A,,29554.5,,,,
p31:L2,31,LONDON,2026-08-19,RTH-L,RTH-L,A,,29514,,,,
p31:L3,31,LONDON,2026-08-19,PDC,PDC,A,,29505.75,,,,
p31:L4,31,LONDON,2026-08-19,RTH-H,RTH-H,A,,29770,,,,
p31:L5,31,LONDON,2026-08-19,PDL,PDL,A,,29441,,,,
p31:L6,31,LONDON,2026-08-19,ONL,ONL,A,,29430.25,,,,
p31:L7,31,LONDON,2026-08-19,PDH,PDH,A,,29919.25,,,,
p32:L0,32,NY,2026-08-19,ONH,ONH,A,,29759,17.5,0.5390237817292499,,
p32:L1,32,NY,2026-08-19,RTH-H,RTH-H,A,,29770,28.5,0.8778387302447784,,
p32:L2,32,NY,2026-08-19,PDH,PDH,A,,29919.25,177.75,5.474941554421381,,
p32:L3,32,NY,2026-08-19,EQH,EQH,A,,29584.5,157.0,4.8358133560852705,,
p32:L4,32,NY,2026-08-19,RTH-L,RTH-L,A,,29514,227.5,7.007309162480249,,
p32:L5,32,NY,2026-08-19,PDC,PDC,A,,29505.75,235.75,7.261420373866896,,
p32:L6,32,NY,2026-08-19,PDL,PDL,A,,29441,300.5,9.25580836626512,,
p32:L7,32,NY,2026-08-19,ONL,ONL,A,,29430.25,311.25,9.58692297504166,,
p33:L0,33,NY,2026-08-19,EQL,EQL,A,,29496.25,,,,
p33:L1,33,NY,2026-08-19,PDL,PDL,A,,29441,,,,
p33:L2,33,NY,2026-08-19,ONL,ONL,A,,29430.25,,,,
p33:L3,33,NY,2026-08-19,PDC,PDC,A,,29505.75,,,,
p33:L4,33,NY,2026-08-19,RTH-L,RTH-L,A,,29514,,,,
p33:L5,33,NY,2026-08-19,OR-H,OR-H,A,,29742,,,,
p33:L6,33,NY,2026-08-19,ONH,ONH,A,,29759,,,,
p33:L7,33,NY,2026-08-19,RTH-H,RTH-H,A,,29770,,,,
p34:L0,34,NY,2026-08-19,RTH-L,RTH-L,A,,29514,,,,
p34:L1,34,NY,2026-08-19,PDC,PDC,A,,29505.75,,,,
p34:L2,34,NY,2026-08-19,PDL,PDL,A,,29441,,,,
p34:L3,34,NY,2026-08-19,OR-L,OR-L,A,,29648.25,,,,
p34:L4,34,NY,2026-08-19,OR-H,OR-H,A,,29742,,,,
p34:L5,34,NY,2026-08-19,ONH,ONH,A,,29759,,,,
p34:L6,34,NY,2026-08-19,RTH-H,RTH-H,A,,29770,,,,
p34:L7,34,NY,2026-08-19,PDH,PDH,A,,29919.25,,,,
p35:L0,35,ASIA,2026-08-19,nPOC,NPOC,A,,29553.12,,,11.880000000001019,0.5972550399678759
p35:L1,35,ASIA,2026-08-19,RTH-L,RTH-L,A,,29514,,,51.0,2.5639736564275304
p35:L2,35,ASIA,2026-08-19,PDC,PDC,A,,29505.75,,,59.25,2.9787341008496306
p35:L3,35,ASIA,2026-08-19,PDL,PDL,A,,29441,,,124.0,6.233975164647329
p35:L4,35,ASIA,2026-08-19,OR-L,OR-L,A,,29648.25,,,83.25,4.1853099391684685
p35:L5,35,ASIA,2026-08-19,OR-H,OR-H,A,,29742,,,177.0,8.898496807601429
p35:L6,35,ASIA,2026-08-19,RTH-H,RTH-H,A,,29770,,,205.0,10.306168618973405
p35:L7,35,ASIA,2026-08-19,PDH,PDH,A,,29785.5,,,220.5,11.085415514554322
p36:L0,36,ASIA,2026-08-19,OR-L,OR-L,A,,29648.25,,,9.5,0.3962064277194358
p36:L1,36,ASIA,2026-08-19,ONH,ONH,A,,29688.5,,,30.75,1.2824576476181737
p36:L2,36,ASIA,2026-08-19,OR-H,OR-H,A,,29742,,,84.25,3.5137254247749965
p36:L3,36,ASIA,2026-08-19,ONL,ONL,A,,29554.75,,,103.0,4.295711795273883
p36:L4,36,ASIA,2026-08-19,PDH,PDH,A,,29770,,,112.25,4.681491738053333
p36:L5,36,ASIA,2026-08-19,RTH-L,RTH-L,A,,29514,,,143.75,5.995228840491463
p36:L6,36,ASIA,2026-08-19,PDC,PDC,A,,29505.75,,,152.0,6.339302843510973
p36:L7,36,ASIA,2026-08-19,PDL,PDL,A,,29441,,,216.75,9.039762442967127
p37:L0,37,ASIA,2026-08-19,PDH,PDH,A,,29770,,,148.75,6.400712576808551
p37:L1,37,ASIA,2026-08-19,OR-H,OR-H,A,,29742,,,120.75,5.195872562350471
p37:L2,37,ASIA,2026-08-19,ONH,ONH,A,,29688.5,,,67.25,2.8937675347252103
p37:L3,37,ASIA,2026-08-19,OR-L,OR-L,A,,29648.25,,,27.0,1.1618100139417202
p37:L4,37,ASIA,2026-08-19,ONL,ONL,A,,29554.75,,,66.5,2.8614950343379406
p37:L5,37,ASIA,2026-08-19,RTH-L,RTH-L,A,,29514,,,107.25,4.614967555379611
p37:L6,37,ASIA,2026-08-19,PDC,PDC,A,,29505.75,,,115.5,4.969965059639581
p37:L7,37,ASIA,2026-08-19,PDL,PDL,A,,29441,,,180.25,7.756157593073891
p38:L0,38,ASIA,2026-08-19,OR-L,OR-L,A,,29648.25,,,14.0,0.6027078804055362
p38:L1,38,ASIA,2026-08-19,ONH,ONH,A,,29688.5,,,26.25,1.1300772757603805
p38:L2,38,ASIA,2026-08-19,OR-H,OR-H,A,,29742,,,79.75,3.4332823901672516
p38:L3,38,ASIA,2026-08-19,ONL,ONL,A,,29554.75,,,107.5,4.627935510256797
p38:L4,38,ASIA,2026-08-19,PDH,PDH,A,,29770,,,107.75,4.638698150978324
p38:L5,38,ASIA,2026-08-19,RTH-L,RTH-L,A,,29514,,,148.25,6.382245947865768
p38:L6,38,ASIA,2026-08-19,PDC,PDC,A,,29505.75,,,156.5,6.737413091676173
p38:L7,38,ASIA,2026-08-19,PDL,PDL,A,,29441,,,221.25,9.524937038551778
p39:L0,39,LONDON,2026-08-20,ONH,ONH,A,,29688.5,,,17.5,0.9440832951204381
p39:L1,39,LONDON,2026-08-20,RTH-H,RTH-H,A,,29742,,,71.0,3.830280797345777
p39:L2,39,LONDON,2026-08-20,PDH,PDH,A,,29759,,,88.0,4.747390284034203
p39:L3,39,LONDON,2026-08-20,PDC,PDC,A,,29617,,,54.0,2.9131713106573516
p39:L4,39,LONDON,2026-08-20,ONL,ONL,A,,29554.75,,,116.25,6.27141046044291
p39:L5,39,LONDON,2026-08-20,EQH,EQH,A,,29545.25,,,125.75,6.783912820651148
p39:L6,39,LONDON,2026-08-20,EQH,EQH,A,,29541.5,,,129.5,6.986216383891241
p39:L7,39,LONDON,2026-08-20,PDL,PDL,A,,29375.75,,,295.25,15.92803387910339
p40:L0,40,LONDON,2026-08-20,PDH,PDH,A,,29759,,,220.75,8.63742008185496
p40:L1,40,LONDON,2026-08-20,RTH-H,RTH-H,A,,29742,,,203.75,7.972250698427852
p40:L2,40,LONDON,2026-08-20,ONH,ONH,A,,29688.5,,,150.25,5.8789235211719495
p40:L3,40,LONDON,2026-08-20,PDC,PDC,A,,29617,,,78.75,3.0812993496991083
p40:L4,40,LONDON,2026-08-20,EQH,EQH,A,,29557.5,,,19.25,0.7532065077042265
p40:L5,40,LONDON,2026-08-20,EQL,EQL,A,,29534.5,,,3.75,0.14672854046186232
p40:L6,40,LONDON,2026-08-20,ONL,ONL,A,,29515.25,,,23.0,0.8999350481660888
p40:L7,40,LONDON,2026-08-20,PDL,PDL,A,,29375.75,,,162.5,6.3582367533473665
p41:L0,41,NY,2026-08-20,RTH-L,RTH-L,A,,29375.75,28.0,0.977097531781842,38.0,1.3260609359896427
p41:L1,41,NY,2026-08-20,RN 29275,RN,A,,29275,72.75,2.53870876561175,62.75,2.1897453614039493
p41:L2,41,NY,2026-08-20,EQL,EQL,A,,29263.5,84.25,2.940016680450721,74.25,2.59105327624292
p41:L3,41,NY,2026-08-20,ONL,ONL,A,,29240.25,107.5,3.7513565952338577,97.5,3.4023931910260568
p41:L4,41,NY,2026-08-20,PDC,PDC,A,,29617,269.25,9.395839658295033,279.25,9.744803062502834
p41:L5,41,NY,2026-08-20,ONH,ONH,A,,29688.5,340.75,11.890927998380809,350.75,12.23989140258861
p41:L6,41,NY,2026-08-20,RTH-H,RTH-H,A,,29742,394.25,13.757882210892543,404.25,14.106845615100344
p41:L7,41,NY,2026-08-20,PDH,PDH,A,,29759,411.25,14.351119998045805,421.25,14.700083402253604
p42:L0,42,NY,2026-08-20,ONL,ONL,A,,29240.25,,,156.5,3.7787237330410153
p42:L1,42,NY,2026-08-20,OR-L,OR-L,A,,29338.5,,,58.25,1.4064578750775665
p42:L2,42,NY,2026-08-20,PDL,PDL,A,,29375.75,,,21.0,0.5070491910150884
p42:L3,42,NY,2026-08-20,OR-H,OR-H,A,,29433.75,,,37.0,0.8933723841694413
p42:L4,42,NY,2026-08-20,PDC,PDC,A,,29617,,,220.25,5.317980205765391
p42:L5,42,NY,2026-08-20,ONH,ONH,A,,29688.5,,,291.75,7.0443619751739055
p42:L6,42,NY,2026-08-20,RTH-H,RTH-H,A,,29742,,,345.25,8.336130152283774
p42:L7,42,NY,2026-08-20,PDH,PDH,A,,29759,,,362.25,8.746598545010274
p43:L0,43,ASIA,2026-08-20,ONL,ONL,A,,29323,1.0,0.04852767047770639,33.25,1.6135450433837375
p43:L1,43,ASIA,2026-08-20,OR-L,OR-L,A,,29338.5,14.5,0.7036512219267427,48.75,2.3657239357881865
p43:L2,43,ASIA,2026-08-20,EQL,EQL,A,,29309.25,14.75,0.7157831395461692,19.5,0.9462895743152746
p43:L3,43,ASIA,2026-08-20,EQH,EQH,A,,29306,18.0,0.873498068598715,16.25,0.7885746452627288
p43:L4,43,ASIA,2026-08-20,ONH,ONH,A,,29345.25,21.25,1.0312129976512607,55.5,2.6932857115127047
p43:L5,43,ASIA,2026-08-20,PDL,PDL,A,,29375.75,51.75,2.5113069472213057,86.0,4.173379661082749
p43:L6,43,ASIA,2026-08-20,OR-H,OR-H,A,,29433.75,109.75,5.325911834928276,144.0,6.98798454878972
p43:L7,43,ASIA,2026-08-20,PDC,PDC,A,,29617,293.0,14.218607449967973,327.25,15.880680163829416
p44:L0,44,ASIA,2026-08-20,ONH,ONH,A,,29365,3.5,0.175305908810875,32.25,1.6153187311859194
p44:L1,44,ASIA,2026-08-20,PDL,PDL,A,,29375.75,14.25,0.7137454858728481,43.0,2.153758308247893
p44:L2,44,ASIA,2026-08-20,PDC,PDC,A,,29617,255.5,12.797331343193873,284.25,14.237344165568919
p44:L3,44,ASIA,2026-08-20,RTH-H,RTH-H,A,,29742,380.5,19.05825665786798,409.25,20.498269480243025
p44:L4,44,ASIA,2026-08-20,PDH,PDH,A,,29748.25,386.75,19.371302923601686,415.5,20.81131574597673
p44:L5,44,ASIA,2026-08-20,OR-L,OR-L,A,,29338.5,23.0,1.1520102579000355,5.75,0.2880025644750089
p44:L6,44,ASIA,2026-08-20,EQL,EQL,A,,29334.25,27.25,1.3648817185989552,1.5,0.07513110377608928
p44:L7,44,ASIA,2026-08-20,ONL,ONL,A,,29273.5,88.0,4.407691421530571,59.25,2.9676785991555263
