id,side,entry,exit,entry_ct,pnl,mae,mfe,reason,risk_pts,atr5m,floor,src,band,scen
581,SHORT,29466.0,29370.75,09-01 02:52,190.5,2.5,73.5,tp,,25.98,38.97,system,,S1
582,SHORT,29246.75,29182.0,09-01 05:23,129.5,11.25,69.25,tp,,20.23,30.35,armed_entry,,S2
583,LONG,29213.25,29172.0,09-01 06:35,-82.5,43.25,25.0,sl,41.25,19.41,29.12,system,,S2
584,SHORT,29138.0,29085.0,09-01 08:36,106.0,0.0,58.0,tp,,28.77,43.15,reconcile,armed_fill,S2
585,SHORT,29182.0,29220.75,09-01 09:31,-77.5,38.75,0.0,sl,38.75,49.61,74.41,armed_entry,,S1
586,LONG,29082.75,29055.75,09-01 13:33,-54.0,27.5,0.0,sl,27.0,25.41,38.12,reconcile,armed_fill,S3
587,LONG,29079.25,29048.0,09-02 00:17,-62.5,33.0,25.75,sl,31.25,15.57,23.36,system,,S3
588,LONG,29082.5,29050.0,09-02 07:41,-65.0,33.25,0.0,sl,32.5,28.48,42.72,system,,S2
589,LONG,29192.5,29115.0,09-02 09:41,-155.0,80.5,10.25,sl,77.5,43.82,65.73,system,,S3
590,LONG,29193.25,29143.75,09-02 10:37,-99.0,49.75,1.0,sl,49.5,32.95,49.42,system,,S4
591,SHORT,29285.0,29355.0,09-03 09:05,-140.0,75.0,43.5,sl,70.0,53.59,80.38,reconcile,armed_fill,S1
