id,ct,plan_version,cited_scenario_id,action,entry,sl,tp,conf,execution_status,risk_check_passed,execlog,rce
36864,"2026-09-03 02:12:56",1,S1,open_short,,29242,29107.25,62,"",0,"[""AI call duration: 36469 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.76 below floor 2.00 at execution price 29193.2500 (SL 29242.0000 TP 29107.2500)""]","entry_gate: entry_gate: R:R 1.76 below floor 2.00 at execution price 29193.2500 (SL 29242.0000 TP 29107.2500)"
37304,"2026-09-03 20:35:06",5,S1,open_short,,29561.5,29500.75,70,"",0,"[""AI call duration: 60074 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37305,"2026-09-03 20:37:51",5,S1,open_short,,29560,29496.75,68,"",0,"[""AI call duration: 31852 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37306,"2026-09-03 20:39:40",5,S1,open_short,,29560,29500,62,"",0,"[""AI call duration: 95399 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37307,"2026-09-03 20:42:27",5,S1,open_short,,29560,29481.5,65,"",0,"[""AI call duration: 44451 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37308,"2026-09-03 20:43:53",5,S1,open_short,,29560,29499,68,"",0,"[""AI call duration: 41086 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37310,"2026-09-03 20:49:04",5,S1,open_short,,29556,29499.25,66,"",0,"[""AI call duration: 144482 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37311,"2026-09-03 20:52:05",5,S1,open_short,,29550,29496,68,"",0,"[""AI call duration: 35594 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37313,"2026-09-03 20:54:28",5,S1,open_short,,29550,29490,68,"",0,"[""AI call duration: 85895 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37315,"2026-09-03 20:58:56",5,S1,open_short,,29556,29490,64,"",0,"[""AI call duration: 84566 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37318,"2026-09-03 21:03:22",5,S1,open_short,,29560,29500,62,"",0,"[""AI call duration: 82148 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37319,"2026-09-03 21:06:44",5,S1,open_short,,29560,29499.25,65,"",0,"[""AI call duration: 98968 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37320,"2026-09-03 21:09:03",5,S1,open_short,,29563.5,29505.75,62,"",0,"[""AI call duration: 60890 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
37322,"2026-09-03 21:12:40",5,S1,open_short,,29566,29508.25,62,"",0,"[""AI call duration: 123727 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]","entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry"
