trade_date,session,version,created_ct,lifecycle,bias,sid,dir,cond,q,c_rule,c_ref,c_side,arm_en,arm_entry,arm_stop,arm_target,arm_kind,targets,trig,invalid,death,flip
2026-09-01,ASIA,10,"2026-09-02 01:51:21",active,long,S2,short,reject,B,touch,29317.25,above,1,29317.25,29342,29212.5,,"[29212.5,29171.25,29124.64]","Price rallies into 29317.25 RTH-H and rejects with a 5m close back below the level.","2x5m close above 29324.50 OB(bull)·1h invalidates the short.","5m close below 29001.75 PDL invalidates the whole plan.","2x5m close below 29016.50 ONL flips bias to short"
2026-09-02,LONDON,2,"2026-09-02 07:15:26",active,long,S1,long,sweep_reclaim,A,touch,29001.75,below,,,,,,"[29058.75,29113.23,29171.25]","Price trades below 29001.75 PDL (sweep) and then prints a 5m close back above 29001.75 (reclaim).","A 5m close below 28970.38 or failure to print a 5m close above 29001.75 after the sweep voids it.","A 2x5m close below 29001.75 PDL invalidates the whole plan.","A 5m close below 29058.75 PDC flips the lean to short; a 2x5m close below 29001.75 PDL kills the plan."
2026-09-02,LONDON,2,"2026-09-02 07:15:26",active,long,S2,long,breakout_retest,B,touch,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","Price breaks above 29171.25 ONH on the 5m, then pulls back to touch 29171.25 as support.","A 5m close below 29171.25 after the retest voids the breakout.","A 2x5m close below 29001.75 PDL invalidates the whole plan.","A 5m close below 29058.75 PDC flips the lean to short; a 2x5m close below 29001.75 PDL kills the plan."
2026-09-02,LONDON,2,"2026-09-02 07:15:26",active,long,S3,short,reject,B,touch,29317.25,above,1,29317.25,29345.25,29246.25,,"[29246.25,29209.25,29171.25]","Price rallies into 29317.25 RTH-H, wicks above it, and rejects without a 5m close above.","A 5m close above 29317.25 voids the reject; a close above 29324.50 cancels it.","A 2x5m close below 29001.75 PDL invalidates the whole plan.","A 5m close below 29058.75 PDC flips the lean to short; a 2x5m close below 29001.75 PDL kills the plan."
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,long,S1,long,hold,B,time_hold,29117.48,above,,,,,,"[29171.25,29209.25,29246.25]","Dips to 29117.48 VWAP+1σ and holds above it; entry on the hold with a 1x5m close above 29117.48 as fallback.","A 5m close below 29117.48 fails the hold and shelves the buy.","A 5m close below 29001.75 RTH-L invalidates this whole plan.","A 2x5m close below 29058.75 PDC flips bias short."
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,long,S2,long,reclaim,B,1x5m_close,29058.75,above,,,,,,"[29117.48,29171.25,29209.25]","Undercut of 29058.75 PDC followed by a 1x5m close back above 29058.75.","A 5m close below 29001.75 instead of reclaiming cancels this dip-buy and opens the path toward ONL.","A 5m close below 29001.75 RTH-L invalidates this whole plan.","A 2x5m close below 29058.75 PDC flips bias short."
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,long,S3,long,breakout_retest,B,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","Thrust through 29171.25 ONH then pullback to 29171.25; a 1x5m close above 29171.25 validates the break-retest.","A 5m close back below 29117.48 after the retest negates the breakout.","A 5m close below 29001.75 RTH-L invalidates this whole plan.","A 2x5m close below 29058.75 PDC flips bias short."
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,long,S4,short,reject,B,touch,29317.25,below,1,29317.25,29350,29246.25,,"[29246.25,29171.25]","First touch of 29317.25 RTH-H from below; short on the touch, structure stop beyond 29324.50.","A 5m close above 29324.50 negates the rejection.","A 5m close below 29001.75 RTH-L invalidates this whole plan.","A 2x5m close below 29058.75 PDC flips bias short."
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,long,S5,long,sweep_reclaim,A,touch,28927.25,below,,,,,,"[29058.75,29117.48,29171.25]","Re-test of 28927.25 ONL: a sweep below 28927.25 (touch) then a 5m close back above 28927.25; leg-2 is a 1m_mss above 28927.25.","A 5m close below 28921.50 fails the reclaim and opens continuation toward 28711.25.","A 5m close below 29001.75 RTH-L invalidates this whole plan.","A 2x5m close below 29058.75 PDC flips bias short."
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,long,S1,long,reclaim,B,1x5m_close,29066.56,above,,,,,,"[29171.25,29246.25]","Pullback to VWAP 29066.56 holds; wick below 29066.56, then 5m close back above 29066.56","5m close below 29001.75","Two consecutive 5m closes below 28927.25","5m close below 29001.75"
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,long,S2,long,sweep_reclaim,B,touch,28927.25,below,,,,,,"[29066.56,29171.25]","Sweep below ONL 28927.25, then 5m close back above 28927.25","5m close below 28921.50","Two consecutive 5m closes below 28927.25","5m close below 29001.75"
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,long,S3,long,reject,B,touch,29001.75,above,1,29001.75,28927.25,29171.25,,"[29066.56,29171.25]","First touch of RTH-L 29001.75 rejects back up; no 5m close below 29001.75","5m close below 28927.25","Two consecutive 5m closes below 28927.25","5m close below 29001.75"
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,long,S4,long,breakout_retest,B,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","5m closes above ONH 29171.25; pullback retests 29171.25","5m close below 29066.56","Two consecutive 5m closes below 28927.25","5m close below 29001.75"
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,long,S5,short,reject,C,touch,29317.25,below,,,,,,"[29246.25,29171.25]","First touch of RTH-H 29317.25 rejects back down; no 5m close above 29317.25","5m close above 29317.25","Two consecutive 5m closes below 28927.25","5m close below 29001.75"
2026-09-02,LONDON,5,"2026-09-02 08:01:50",active,long,S1,long,reject,A,touch,29014.19,above,1,29014.19,28985.5,29171.25,,"[29058.75,29171.25]","Price pulls into VWAP−1σ 29014.19 and leaves a rejection with price holding above it.","A 5m close below 29001.75 invalidates this reversion long.","A 5m close below ONL 28927.25 kills the long-bias plan and opens continuation toward 28917.25.","2 consecutive 5m closes below RTH-L 29001.75 flip intraday bias to short."
2026-09-02,LONDON,5,"2026-09-02 08:01:50",active,long,S2,long,sweep_reclaim,B,touch,28927.25,below,,,,,,"[29001.75,29058.75,29171.25]","Price sweeps ONL 28927.25 and prints a 1m MSS back above it.","A 5m close below 28917.25 voids the sweep-reclaim.","A 5m close below ONL 28927.25 kills the long-bias plan and opens continuation toward 28917.25.","2 consecutive 5m closes below RTH-L 29001.75 flip intraday bias to short."
2026-09-02,LONDON,5,"2026-09-02 08:01:50",active,long,S3,short,reject,B,touch,29317.25,below,,,,,,"[29171.25,29058.75,29014.19]","Price rallies into RTH-H 29317.25 and rejects, leaving price below it.","A 5m close above 29324.50 invalidates the rejection short.","A 5m close below ONL 28927.25 kills the long-bias plan and opens continuation toward 28917.25.","2 consecutive 5m closes below RTH-L 29001.75 flip intraday bias to short."
2026-09-02,NY,1,"2026-09-02 08:09:44",dormant,neutral,S1,long,sweep_reclaim,B,touch,28927.25,below,,,,,,"[29058.75,29171.25,29209.25]","price returns to ONL 28927.25, sweeps below it, then prints a 1x5m close back above 28927.25","5m close below 28917.25 after entry","5m close below 28927.25 ONL kills this plan.","5m close above 29058.75 PDC flips bias long; 5m close below 28927.25 ONL is the plan death"
2026-09-02,NY,1,"2026-09-02 08:09:44",dormant,neutral,S2,long,reclaim,B,1x5m_close,29058.75,above,,,,,,"[29171.25,29209.25]","1x5m close back above PDC 29058.75 after holding above 29014.14","5m close back below 29014.14","5m close below 28927.25 ONL kills this plan.","5m close above 29058.75 PDC flips bias long; 5m close below 28927.25 ONL is the plan death"
2026-09-02,NY,1,"2026-09-02 08:09:44",dormant,neutral,S3,long,reject,C,touch,29014.14,above,,,,,,"[29058.75,29171.25]","price trades down into VWAP−1σ 29014.14 and stalls/rejects before reaching 29001.75","5m close below 29001.75","5m close below 28927.25 ONL kills this plan.","5m close above 29058.75 PDC flips bias long; 5m close below 28927.25 ONL is the plan death"
2026-09-02,NY,1,"2026-09-02 08:09:44",dormant,neutral,S4,short,reject,B,touch,29317.25,below,1,29317.25,29343,29246.25,,"[29246.25,29209.25,29171.25]","first touch of 29317.25 RTH-H after an up move fails to hold above it","5m close above 29324.50","5m close below 28927.25 ONL kills this plan.","5m close above 29058.75 PDC flips bias long; 5m close below 28927.25 ONL is the plan death"
2026-09-02,LONDON,6,"2026-09-02 08:20:47",active,long,S1,long,reject,B,touch,29014.42,above,,,,,,"[29058.75,29171.25]","Touch of 29014.42 VWAP−1σ with a 5m bullish reject closing back above 29014.42.","5m close below 29001.75 RTH-L invalidates the fade.","Plan void on 2x5m close below 28927.25 ONL.","5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,LONDON,6,"2026-09-02 08:20:47",active,long,S2,long,reject,B,touch,29001.75,above,1,29001.75,28975.75,29058.75,,"[29058.75,29171.25]","Touch of 29001.75 RTH-L with a 5m bullish reject closing back above 29001.75.","5m close below 29001.75 RTH-L invalidates the long.","Plan void on 2x5m close below 28927.25 ONL.","5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,LONDON,6,"2026-09-02 08:20:47",active,long,S3,long,sweep_reclaim,B,touch,28927.25,below,,,,,,"[29001.75,29058.75]","Sweep below 28927.25 ONL, then a 5m close back above 28927.25.","No 5m close back above 28927.25 after the sweep invalidates the setup.","Plan void on 2x5m close below 28927.25 ONL.","5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,LONDON,6,"2026-09-02 08:20:47",active,long,S4,long,breakout_retest,B,touch,29171.25,above,,,,,,"[29209.25,29246.25]","Break above 29171.25 ONH, then pullback retest holds above 29171.25.","5m close back below 29171.25 ONH invalidates the breakout.","Plan void on 2x5m close below 28927.25 ONL.","5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,NY,2,"2026-09-02 08:45:28",active,long,S1,long,sweep_reclaim,B,touch,29042.75,below,,,,,,"[29102,29115.1,29171.25]","Wick below 29042.75 OR-L, then a 5m close back above 29042.75 confirms the sweep-reclaim","5m close below 29001.75 RTH-L","Two 5m closes below 29001.75 RTH-L kill the long plan; stop entering buys.","5m close below 29042.75 OR-L flips bias short"
2026-09-02,NY,2,"2026-09-02 08:45:28",active,long,S2,long,breakout_retest,B,1x5m_close,29115.1,above,,,,,,"[29171.25,29209.25]","5m close above 29115.10 VWAP+1σ, then retest holds above 29115.10","5m close below 29058.75 PDC","Two 5m closes below 29001.75 RTH-L kill the long plan; stop entering buys.","5m close below 29042.75 OR-L flips bias short"
2026-09-02,NY,2,"2026-09-02 08:45:28",active,long,S3,long,reclaim,C,1x5m_close,29102,above,,,,,,"[29115.1,29171.25]","Pullback to 29102.00 OR-H, then 5m close back above 29102.00","5m close below 29058.75 PDC","Two 5m closes below 29001.75 RTH-L kill the long plan; stop entering buys.","5m close below 29042.75 OR-L flips bias short"
2026-09-02,NY,3,"2026-09-02 09:21:18",active,long,S1,long,reclaim,B,1x5m_close,29111.58,above,,,,,,"[29171.25,29209.25,29246.25]","Reclaim of VWAP+1σ 29111.58 with a 1x5m close above 29111.58 after the current 09:00 push.","1x5m close back below 29102.00 OR-H voids the reclaim.","Plan void if a 5m_close prints below 28927.25 ONL.","2x5m below 29001.75 RTH-L flips short; 5m_close below 28927.25 ONL voids the plan"
2026-09-02,NY,3,"2026-09-02 09:21:18",active,long,S2,long,sweep_reclaim,B,touch,28927.25,below,,,,,,"[29058.75,29171.25,29209.25]","Sweep of 28927.25 ONL then a 1m_mss back above 28927.25.","1x5m close below 28927.25 ONL aborts the sweep-reclaim.","Plan void if a 5m_close prints below 28927.25 ONL.","2x5m below 29001.75 RTH-L flips short; 5m_close below 28927.25 ONL voids the plan"
2026-09-02,NY,3,"2026-09-02 09:21:18",active,long,S3,long,breakout_retest,B,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","Break above 29171.25 ONH with a 1x5m close, then a pullback retest holds 29171.25.","1x5m close back below 29058.75 PDC voids the breakout.","Plan void if a 5m_close prints below 28927.25 ONL.","2x5m below 29001.75 RTH-L flips short; 5m_close below 28927.25 ONL voids the plan"
2026-09-02,NY,3,"2026-09-02 09:21:18",active,long,S4,short,reject,B,touch,29317.25,above,1,29317.25,29355,29209.25,,"[29246.25,29209.25,29171.25]","First touch of 29317.25 RTH-H in premium above the 29286.38 mid rejects; fade only on the touch.","1x5m_close above 29355.00 kills the fade, clearing the 29324.50 OB.","Plan void if a 5m_close prints below 28927.25 ONL.","2x5m below 29001.75 RTH-L flips short; 5m_close below 28927.25 ONL voids the plan"
2026-09-02,NY,4,"2026-09-02 09:45:52",active,long,S1,long,reject,B,touch,29135.65,above,1,29135.65,29099,29209.25,,"[29171.25,29209.25]","Price pulls back to 29135.65 VWAP+1σ and rejects on touch","5m close below 29058.75 PDC invalidates the long bounce","Plan invalid if 5m close below 28927.25 ONL","2x5m close below 29001.75 RTH-L flips bias to short"
2026-09-02,NY,4,"2026-09-02 09:45:52",active,long,S2,short,reject,B,touch,29317.25,below,1,29317.25,29354,29209.25,,"[29209.25,29171.25]","Price rallies to 29317.25 RTH-H and rejects on touch","5m close above 29324.50 OB(bull)·1h (HTF) invalidates the short rejection","Plan invalid if 5m close below 28927.25 ONL","2x5m close below 29001.75 RTH-L flips bias to short"
2026-09-02,NY,5,"2026-09-02 10:22:33",active,long,S1,long,reclaim,B,1x5m_close,29143.97,above,,,,,,"[29171.25,29209.25,29246.25]","Price prints a 5m close back above VWAP+1σ 29143.97, reclaiming the session magnet after this morning's 29106.25 sweep-reclaim; the close confirms the 15m higher-low recovery.","A 5m close below 29106.25 (the 10:00 sweep low) voids the reclaim and re-opens the 29102.00 retest.","Two 5m closes below OR-L 29042.75 invalidate the plan — the 15m higher-low structure is broken and no further longs are taken until 29001.75 trades.","Two 5m closes below RTH-L 29001.75 (downside day-range break) flip the bias to short; above that, the discount rule per bias-tree branch 5 keeps the stance long."
2026-09-02,NY,5,"2026-09-02 10:22:33",active,long,S2,long,reject,C,touch,29102,above,1,29102,29060,29209.25,,"[29143.97,29171.25,29209.25]","Price retraces into the 29102.00 OR-H / 29106.25 sweep-low cluster and the first touch at 29102.00 rejects upward — a re-test of the consumed 15m sweep zone as a new setup.","Acceptance below 29102.00 — a 5m close under 29102.00 — voids the fade; the next edge is the PDC sweep-reclaim (S3).","Two 5m closes below OR-L 29042.75 invalidate the plan — the 15m higher-low structure is broken and no further longs are taken until 29001.75 trades.","Two 5m closes below RTH-L 29001.75 (downside day-range break) flip the bias to short; above that, the discount rule per bias-tree branch 5 keeps the stance long."
2026-09-02,NY,5,"2026-09-02 10:22:33",active,long,S3,long,sweep_reclaim,B,touch,29058.75,below,1,29058.75,29020,29143.97,,"[29143.97,29171.25,29209.25]","Price sweeps below PDC 29058.75 (resting stops under the flattened 29017.25–29111.25 shelf) and a 1m MSS back above 29058.75 confirms the reclaim; a 5m close back above 29058.75 is the delayed confirmation alternative.","A 5m close below 29020.00 invalidates the sweep-reclaim and opens the 29001.75 RTH-L test.","Two 5m closes below OR-L 29042.75 invalidate the plan — the 15m higher-low structure is broken and no further longs are taken until 29001.75 trades.","Two 5m closes below RTH-L 29001.75 (downside day-range break) flip the bias to short; above that, the discount rule per bias-tree branch 5 keeps the stance long."
2026-09-02,NY,5,"2026-09-02 10:22:33",active,long,S4,long,breakout_retest,C,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","A 5m close above ONH 29171.25 breaks the day's consolidation high; the retest touch at 29171.25 from above is the continuation long entry (stop-entry fallback if no retest prints).","A 5m close back below 29143.97 voids the breakout as a round-trip failure.","Two 5m closes below OR-L 29042.75 invalidate the plan — the 15m higher-low structure is broken and no further longs are taken until 29001.75 trades.","Two 5m closes below RTH-L 29001.75 (downside day-range break) flip the bias to short; above that, the discount rule per bias-tree branch 5 keeps the stance long."
2026-09-02,NY,6,"2026-09-02 10:50:53",active,long,S1,long,reclaim,C,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25]","Retest of 29171.25 ONH holds; 1x5m close back above 29171.25 after a dip.","5m close below 29153.35 VWAP+1σ voids the reclaimed ONH support.","A 5m close below 29001.75 RTH-L voids the recovery and this plan.","2x5m close below 29058.75 PDC flips to short"
2026-09-02,NY,6,"2026-09-02 10:50:53",active,long,S2,long,hold,A,1x5m_close,29153.35,above,,,,,,"[29171.25,29209.25]","Pullback to 29153.35 VWAP+1σ stabilizes; 1x5m close above 29153.35.","5m close below 29102.00 OR-H voids the dip-buy.","A 5m close below 29001.75 RTH-L voids the recovery and this plan.","2x5m close below 29058.75 PDC flips to short"
2026-09-02,NY,6,"2026-09-02 10:50:53",active,long,S3,long,breakout_retest,C,touch,29209.25,above,,,,,,"[29246.25,29317.25]","Break above 29209.25 Supply·1h while 29171.25 ONH holds as support; retest of 29209.25 holds.","5m close back below 29171.25 ONH voids the break.","A 5m close below 29001.75 RTH-L voids the recovery and this plan.","2x5m close below 29058.75 PDC flips to short"
2026-09-02,NY,6,"2026-09-02 10:50:53",active,long,S4,long,sweep_reclaim,B,touch,29001.75,below,,,,,,"[29058.75,29153.35,29171.25]","Sweep below 29001.75 RTH-L (wick through 29001.75) then 5m close back above 29001.75.","5m close below 28927.25 ONL voids the reclaim and opens the bear leg.","A 5m close below 29001.75 RTH-L voids the recovery and this plan.","2x5m close below 29058.75 PDC flips to short"
2026-09-02,NY,7,"2026-09-02 11:20:19",active,long,S1,long,sweep_reclaim,B,1x5m_close,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","Price sweeps below ONH 29171.25 and prints a 5m close back above 29171.25 (reclaim close); invalid if 5m close below 29158.47 VWAP+1σ.","5m close below 29158.47 VWAP+1σ","Plan void on 2x5m close below 29042.75 OR-L.","5m close below 29058.75 PDC"
2026-09-02,NY,7,"2026-09-02 11:20:19",active,long,S2,long,reclaim,B,1x5m_close,29158.47,above,,,,,,"[29209.25,29246.25]","Dip touches 29158.47 VWAP+1σ and price prints a 5m close back above 29158.47; invalid if 5m close below 29102.00 OR-H.","5m close below 29102.00 OR-H","Plan void on 2x5m close below 29042.75 OR-L.","5m close below 29058.75 PDC"
2026-09-02,NY,7,"2026-09-02 11:20:19",active,long,S3,long,breakout_retest,B,touch,29209.25,above,,,,,,"[29246.25,29317.25]","Break above 29209.25 Supply·1h (15m LH 29208.50) with a 5m close, then retest touch of 29209.25 holds; invalid if 5m close back below 29171.25 ONH.","5m close back below 29171.25 ONH","Plan void on 2x5m close below 29042.75 OR-L.","5m close below 29058.75 PDC"
2026-09-02,NY,7,"2026-09-02 11:20:19",active,long,S4,short,reject,B,touch,29317.25,below,1,29317.25,29348,29246.25,,"[29246.25,29209.25]","First touch of 29317.25 RTH-H fails and 5m close prints back below 29317.25; invalid if 5m close above 29317.25.","5m close above 29317.25","Plan void on 2x5m close below 29042.75 OR-L.","5m close below 29058.75 PDC"
2026-09-02,NY,8,"2026-09-02 11:47:10",active,long,S1,long,reclaim,B,1x5m_close,29161.16,above,,,,,,"[29209.25,29246.25]","Price reclaims VWAP+1σ 29161.16 with a 1x5m close above","1x5m close below 29138.00 invalidates the reclaim","1x5m close below OR-L 29042.75 kills the long plan","2x5m close above RTH-H 29317.25 flips bias to short (premium)"
2026-09-02,NY,8,"2026-09-02 11:47:10",active,long,S2,long,reject,B,touch,29058.75,above,1,29058.75,29032,29161.16,,"[29161.16,29171.25]","Price touches PDC 29058.75 and rejects","1x5m close below 29042.75 (OR-L) invalidates the long reject","1x5m close below OR-L 29042.75 kills the long plan","2x5m close above RTH-H 29317.25 flips bias to short (premium)"
2026-09-02,NY,9,"2026-09-02 12:25:10",active,long,S1,long,sweep_reclaim,C,touch,29058.75,below,,,,,,"[29163.03,29171.25,29209.25]","After 13:30 CT, a 5m push below 29058.75 sweeps toward 29042.75 and a 1m_mss closes back above 29058.75.","2x5m close below 29042.75 kills S1.","A 2x5m close below 29042.75 OR-L invalidates the whole plan (range low lost).","A 5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,NY,9,"2026-09-02 12:25:10",active,long,S2,long,breakout_retest,C,touch,29171.25,above,,,,,,"[29209.25,29246.25,29317.25]","1x5m close above 29171.25 ONH, then a pullback retest holds 29171.25.","1x5m close back below 29163.03 invalidates the breakout.","A 2x5m close below 29042.75 OR-L invalidates the whole plan (range low lost).","A 5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,NY,9,"2026-09-02 12:25:10",active,long,S3,short,reject,B,touch,29317.25,below,1,29317.25,29344.75,29246.25,,"[29246.25,29209.25,29171.25]","First touch of 29317.25 RTH-H stalls/rejects; stop above 29344.75; enter short only on touch.","1x5m close above 29344.75 invalidates the short.","A 2x5m close below 29042.75 OR-L invalidates the whole plan (range low lost).","A 5m close below 29001.75 RTH-L flips bias to short."
2026-09-02,NY,10,"2026-09-02 13:02:15",active,long,S1,long,reject,B,touch,29163.99,below,1,29163.99,29138.75,29246.25,,"[29171.25,29209.25,29246.25]","Price pulls back to 29163.99 VWAP+1σ after 13:30 and attempts a 5m reversal from the band.","A 5m close below 29138.75 voids the long (structure stop).","A 5m close below 28927.25 ONL voids the whole plan.","A 2x5m close below 29001.75 flips the session short; a 5m close below 28927.25 voids all."
