trade_date,session,version,born_ct,lifecycle,trig,death_cond,death,flip
2026-09-02,NY,12,"2026-09-02 13:56:59",active,level_event,"5m close below OR-L 29042.75 kills the plan: the discount-long floor is gone.","{""price"":29042.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29058.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,ASIA,1,"2026-09-02 16:36:02",active,ASIA_scheduled_read,"Plan dead on a 5m close below 29058.75 PDC.","{""price"":29058.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29042.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,ASIA,2,"2026-09-02 17:18:29",active,level_event,"A 5m close below 29058.75 PDC invalidates the whole balance/long structure and opens 29042.75/29004.50.","{""price"":29058.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29175.56,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,ASIA,3,"2026-09-02 17:50:56",active,level_event,"Two 5m closes below 29136.25 Demand·4h invalidate the balance plan and open continuation toward PDC/RTH-L.","{""price"":29136.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29209.25,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,4,"2026-09-02 18:04:42",active,level_event,"Two consecutive 5m closes below 29001.75 RTH-L kill the balance frame and this plan.","{""price"":29001.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29208.75,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,5,"2026-09-02 18:21:05",active,level_event,"Two 5m closes below 29136.25 Demand·4h invalidate this plan.","{""price"":29136.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29208.75,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-02,ASIA,6,"2026-09-02 18:43:33",active,level_event,"Two consecutive 5m closes above 29212.50 kill this plan.","{""price"":29212.5,""side"":""above"",""rule"":""2x5m""}","{""price"":29209.25,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,7,"2026-09-02 19:02:39",active,level_event,"A 5m close above 29218.25 invalidates the entire plan.","{""price"":29218.25,""side"":""above"",""rule"":""5m_close""}","{""price"":29212.5,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-02,ASIA,8,"2026-09-02 20:05:55",dormant,"dormant:flip:flip-condition: 2x5m close above 29175.66 (buff","5m close above 29194.30 invalidates entire short plan","{""price"":29194.3,""side"":""above"",""rule"":""5m_close""}","{""price"":29175.66,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-02,ASIA,9,"2026-09-02 20:38:20",active,level_event,"2 consecutive 5m closes above 29212.50 invalidates the short plan","{""price"":29212.5,""side"":""above"",""rule"":""2x5m""}","{""price"":29200.5,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,10,"2026-09-02 21:03:03",active,level_event,"A 5m close above 29218.25 ONH voids the whole short-premium plan.","{""price"":29218.25,""side"":""above"",""rule"":""5m_close""}","{""price"":29212.5,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-02,ASIA,11,"2026-09-02 21:31:58",active,level_event,"2x5m close above ONH 29218.25 — premium-fade/ranging structure dead.","{""price"":29218.25,""side"":""above"",""rule"":""2x5m""}","{""price"":29208.63,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,12,"2026-09-02 21:49:57",active,level_event,"two consecutive 5m closes above 29218.25 ONH — acceptance above the day's high kills the premium-short plan","{""price"":29218.25,""side"":""above"",""rule"":""2x5m""}","{""price"":29208.69,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,13,"2026-09-02 22:12:42",active,"rearmed:5m_close close back below 29211.00 (buffer 0.5×ATR14","A 5m close above 29218.25 ONH kills the short plan — the supply stack has been fully accepted.","{""price"":29218.25,""side"":""above"",""rule"":""5m_close""}","{""price"":29208.39,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,ASIA,14,"2026-09-03 00:08:45",active,level_event,"Plan void on two 5m closes above 29255.00 PDH.","{""price"":29255,""side"":""above"",""rule"":""2x5m""}","{""price"":29186.14,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,ASIA,15,"2026-09-03 00:34:14",dormant,"dormant:death:death-condition: 5m_close close above 29132.50","Plan invalid if 5m closes above 29132.50 (reclaims the 15m swing low).","{""price"":29132.5,""side"":""above"",""rule"":""5m_close""}","{""price"":29207.5,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-03,LONDON,1,"2026-09-03 01:34:53",dormant,"dormant:flip:flip-condition: 2x5m close above 29221.98 (buff","A 5m close above 29228.75 kills the whole plan.","{""price"":29228.75,""side"":""above"",""rule"":""5m_close""}","{""price"":29207.5,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-03,NY,1,"2026-09-03 08:05:19",dormant,"dormant:death:death-condition: 2x5m close above 29293.00 (bu","Two 5m closes above 29293.00 ONH kill the fade/balance plan.","{""price"":29293,""side"":""above"",""rule"":""2x5m""}","{""price"":29259.67,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-03,LONDON,2,"2026-09-03 08:15:44",active,level_event,"5m close below 29075.00 (ONL) kills this whole plan","{""price"":29075,""side"":""below"",""rule"":""5m_close""}","{""price"":29255,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-03,NY,2,"2026-09-03 08:45:05",active,level_event,"Two 5m closes above 29293.00 ONH kill the short plan.","{""price"":29293,""side"":""above"",""rule"":""2x5m""}","{""price"":29285,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-03,NY,3,"2026-09-03 09:15:31",active,level_event,"Plan dies on a 5m close below 29217.09 VWAP; that forfeits the post-PDH auction and opens 29144.50/29075","{""price"":29217.09,""side"":""below"",""rule"":""5m_close""}","{""price"":29255,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,NY,4,"2026-09-03 09:44:33",active,level_event,"2x5m closes below 29209.25 Supply·1h invalidates the whole plan.","{""price"":29209.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29260,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,NY,5,"2026-09-03 10:14:45",active,level_event,"5m close below 29364.75 kills the long path and the whole plan.","{""price"":29364.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29406.28,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-03,NY,6,"2026-09-03 10:49:57",active,level_event,"Long plan is dead on a 5m close below 29481.05 VWAP+2σ — the pullback is no longer structural.","{""price"":29481.05,""side"":""below"",""rule"":""5m_close""}","{""price"":29502.88,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-03,NY,7,"2026-09-03 11:27:53",dormant,"dormant:death:death-condition: 2x5m close below 29502.25 (bu","2x5m close below 29502.25 (SWG-L·5m) voids the long structure and this plan.","{""price"":29502.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29512.29,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,ASIA,1,"2026-09-03 16:37:36",active,ASIA_scheduled_read,"A 5m close below 29222.75 OR-L kills the whole plan.","{""price"":29222.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29460.16,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,ASIA,2,"2026-09-03 18:47:53",dormant,level_event,"A 5m close below 29462.50 invalidates the whole plan and opens lower liquidity targets.","{""price"":29462.5,""side"":""below"",""rule"":""5m_close""}","{""price"":29513,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-03,ASIA,3,"2026-09-03 19:28:36",active,level_event,"5m close below 29481.50 ONL invalidates the whole plan.","{""price"":29481.5,""side"":""below"",""rule"":""5m_close""}","{""price"":29503.08,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,ASIA,4,"2026-09-03 19:53:35",active,level_event,"2x5m close above 29574.38 invalidates this plan","{""price"":29574.38,""side"":""above"",""rule"":""2x5m""}","{""price"":29548,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-03,ASIA,5,"2026-09-03 20:32:32",dormant,level_event,"5m close above 29585.00 invalidates the short-first/range plan.","{""price"":29585,""side"":""above"",""rule"":""5m_close""}","{""price"":29548,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-03,ASIA,6,"2026-09-04 00:40:13",active,level_event,"5m close below 29481.50 ONL ends the long plan; do not buy lower until a daily reclaim.","{""price"":29481.5,""side"":""below"",""rule"":""5m_close""}","{""price"":29601,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-03,ASIA,7,"2026-09-04 01:20:35",dormant,level_event,"Two consecutive 5m closes below 29579.50 invalidate the whole plan","{""price"":29579.5,""side"":""below"",""rule"":""2x5m""}","{""price"":29619.5,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-04,LONDON,1,"2026-09-04 01:41:15",active,LONDON_scheduled_read,"A 5m close below 29579.50 SWG-H·15m kills the entire long plan.","{""price"":29579.5,""side"":""below"",""rule"":""5m_close""}","{""price"":29597.25,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-04,LONDON,2,"2026-09-04 02:04:14",active,level_event,"Two 5m closes above 29649.59 VWAP+2σ invalidate the plan.","{""price"":29649.59,""side"":""above"",""rule"":""2x5m""}","{""price"":29601,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-04,LONDON,3,"2026-09-04 07:56:17",active,level_event,"5m close above 29720 (ONH) kills the short plan","{""price"":29720,""side"":""above"",""rule"":""5m_close""}","{""price"":29601,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-04,NY,1,"2026-09-04 08:11:45",no_trade,planner_fail_closed,"already dead (fail-closed)",,
2026-09-04,NY,2,"2026-09-04 08:44:46",active,owner_reset,"2x5m closes below 29481.50 ONL voids this plan","{""price"":29481.5,""side"":""below"",""rule"":""2x5m""}","{""price"":29532.64,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-04,NY,3,"2026-09-04 08:55:11",active,level_event,"A 5m close above 29720.00 ONH invalidates the premium-short plan.","{""price"":29720,""side"":""above"",""rule"":""5m_close""}","{""price"":29657.38,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-04,NY,4,"2026-09-04 11:03:30",active,level_event,"5m close above 29852.38 Demand·4h invalidates the entire plan","{""price"":29852.38,""side"":""above"",""rule"":""5m_close""}","{""price"":29720,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-04,NY,5,"2026-09-04 11:28:50",active,level_event,"5m close above 29601.00 PDH invalidates the entire plan","{""price"":29601,""side"":""above"",""rule"":""5m_close""}","{""price"":29585,""side"":""above"",""rule"":""2x5m"",""flip_to"":""long""}"
2026-09-04,NY,6,"2026-09-04 12:10:35",active,level_event,"A 5m close above 29635.00 OR-H invalidates the entire short plan.","{""price"":29635,""side"":""above"",""rule"":""5m_close""}","{""price"":29601,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
