id,source,session,side,entry_ct,hour_ct,hold_min,entry,exit,pnl,pnl_pts,cond,quality,rule,scen_dir,plan_bias,regime,day_type,stop,stop_pts,stop_src,tgt,plan_rr,R,mfe,mae,mfe_over_stop,mae_over_stop,nt8_stop,nt8_stop_pts,nt8src,close_reason,grade,conf,plan_ver,cited
554,system,LONDON,short,08-25 02:09,2,75.3,29269.0,29300.0,-62.0,-31.0,reject,C,1x5m_close,short,neutral,,balance,29300,31.0,decision#32486,29200,2.23,-1.0,58.0,58.75,1.87,1.9,,,,sync,A,62,1,S2
555,system,LONDON,long,08-25 04:19,4,38.4,29328.0,29412.0,168.0,84.0,hold,C,1x5m_close,long,long,,trend,29296.75,31.25,decision#32546,29412,2.69,2.69,92.0,22.5,2.94,0.72,,,,sync,A,65,2,S2
556,system,LONDON,long,08-25 06:04,6,5.6,29336.0,29316.0,-40.0,-20.0,breakout_retest,C,2x5m_close,long,long,,trend,29316.25,19.75,decision#32599,29416.25,4.06,-1.01,0.75,33.5,0.04,1.7,,,,sync,B,62,2,S1
557,system,LONDON,long,08-25 06:14,6,76.3,29337.5,29360.75,46.5,23.25,breakout_retest,C,2x5m_close,long,long,,trend,29297.5,40.0,decision#32605,29441.5,2.6,0.58,71.75,17.25,1.79,0.43,,,,sync,B,65,2,S1
558,system,LONDON,long,08-25 07:56,7,18.3,29339.25,29328.0,-22.5,-11.25,breakout_retest,C,2x5m_close,long,long,,trend,29310,29.25,decision#32656,29424,2.9,-0.38,5.75,27.5,0.2,0.94,,,,sync,B,62,2,S1
559,system,NY,long,08-25 09:14,9,15.3,29246.25,29207.0,-78.5,-39.25,sweep_reclaim,C,1x5m_close,long,long,,trend,29207,39.25,decision#32687,29420,4.43,-1.0,23.5,100.75,0.6,2.57,,,,sync,A,62,1,S4
560,system,NY,short,08-25 13:53,13,37.1,29263.0,29222.5,81.0,40.5,reject,C,1x5m_close,short,short,,trend,29284,21.0,decision#32807,29206,2.71,1.93,50.5,3.0,2.4,0.14,,,,sync,A,63,2,S3
561,system,ASIA,long,08-25 19:11,19,13.9,29221.25,29195.25,-52.0,-26.0,sweep_reclaim,C,1x5m_close,long,long,,balance,29195.25,26.0,decision#32923,29310,3.41,-1.0,17.5,30.0,0.67,1.15,,,,sync,A,63,7,S1
562,system,LONDON,short,08-26 02:22,2,219.7,29212.0,29261.25,-98.5,-49.25,breakout_retest,A,1x5m_close,short,short,,trend-down,29261.25,49.25,decision#33115,29129,1.69,-1.0,25.75,51.25,0.52,1.04,,,,sync,A,62,1,S2
563,system,LONDON,long,08-26 06:12,6,25.3,29244.0,29219.25,-49.5,-24.75,breakout_retest,A,15m_close,long,long,,balance,29219.25,24.75,decision#33229,29310,2.67,-1.0,34.75,29.5,1.4,1.19,,,,sync,B,62,9,S1
564,system,LONDON,short,08-27 04:19,4,12.6,29585.25,29619.75,-69.0,-34.5,reject,C,15m_close,short,short,,balance,29619.75,34.5,decision#33793,29429.75,4.51,-1.0,6.75,36.75,0.2,1.07,,,,sync,A,62,5,S3
565,system,LONDON,short,08-27 05:53,5,12.4,29580.0,29611.25,-62.5,-31.25,reject,B,1x5m_close,short,neutral,,trend,29611.25,31.25,decision#33841,29475.25,3.35,-1.0,4.25,32.75,0.14,1.05,,,,sync,B,65,6,S1
566,reconcile,,long,08-27 11:32,11,28.9,29611.5,29660.0,97.0,48.5,,,,,,,,,,,,,,,,,,,,,sync,F,0,0,
567,reconcile,ASIA,short,08-28 01:22,1,35.7,29621.0,29642.0,-42.0,-21.0,reject,B,1x5m_close,short,short,,balance,29642.0,21.0,armed_orders#5,29576.5,2.12,-1.0,28.5,21.5,1.36,1.02,,,,sync,B,0,12,S1
568,reconcile,LONDON,short,08-28 07:19,7,3.3,29642.0,29658.0,-32.0,-16.0,sweep_reclaim,A,1x5m_close,short,short,,balance,29726.7,84.7,armed_orders#6,29644.38,0.03,-0.19,1.75,17.0,0.02,0.2,,,,sync,B,0,6,S1
569,reconcile,NY,short,08-28 08:44,8,1.0,29700.0,29668.5,63.0,31.5,reject,B,1x5m_close,short,neutral,,balance,29722.62,22.62,plan_arm,29636.13,2.82,1.39,36.0,0.0,1.59,0.0,,,,sync,A,0,1,S1
570,reconcile,NY,long,08-28 12:10,12,98.2,29463.25,29471.75,17.0,8.5,reject,B,1x5m_close,long,long,,balance,29430.0,33.25,armed_orders#10,29588.25,3.76,0.26,66.25,14.5,1.99,0.44,,,,sync,C,0,5,S2
571,reconcile,,long,08-30 17:38,17,34.7,29437.0,29414.75,-44.5,-22.25,,,,,,,,,,,,,,17.0,22.5,,,,,,sync,F,0,0,
572,e7_farside_test,TEST-E7,short,08-30 22:34,22,12.0,29346.25,29346.25,,-0.0,,,,,,,,,,,,,,8.5,5.25,,,,,,e7_farside_test,,0,0,TEST-E7
573,e7_farside_test,,long,08-30 22:52,22,6.3,29347.0,29350.0,6.0,3.0,,,,,,,,,,,,,,7.5,8.0,,,,,,e7_farside_test,excluded: test seam,0,0,
574,e7_farside_test,,long,08-30 23:00,23,4.4,29348.25,29348.0,-1.0,-0.25,,,,,,,,,,,,,,5.25,5.0,,,,,,e7_farside_test,excluded: test seam,0,0,
575,reconcile,NY,short,08-31 09:59,9,16.2,29437.0,29420.75,32.5,16.25,reject,A,touch,short,short,,trend-down,29479.75,42.75,plan_arm,29351.47,2.0,0.38,41.5,6.0,0.97,0.14,,,,sync,A,0,3,S2
576,armed_entry,NY,short,08-31 10:00,10,3.6,29437.0,29437.0,,-0.0,reject,A,touch,short,short,,trend-down,29479.75,42.75,plan_arm,29351.47,2.0,-0.0,41.5,4.25,0.97,0.1,,,,reconcile_flat,A,0,3,S2
577,armed_entry,NY,long,08-31 12:25,12,3.7,29413.0,29413.0,,0.0,sweep_reclaim,B,touch,long,long,,balance,29363.25,49.75,armed_orders#21,29517.0,2.09,0.0,0.0,16.25,0.0,0.33,,,,reconcile_flat,C,0,4,S1
578,reconcile,NY,long,08-31 12:26,12,44.0,29413.0,29459.0,92.0,46.0,sweep_reclaim,B,touch,long,long,,balance,29363.25,49.75,armed_orders#21,29517.0,2.09,0.92,47.25,24.75,0.95,0.5,,,,sync,C,0,4,S1
579,armed_entry,NY,short,08-31 13:09,13,3.7,29459.0,0.0,,,reject,B,touch,short,long,,balance,29482.5,23.5,armed_orders#20,29394.75,2.73,,15.5,0.0,0.66,0.0,,,,unresolved,B,0,6,S3
580,reconcile,,short,08-31 13:37,13,1.2,29417.25,29397.5,39.5,19.75,,,,,,,,,,,,,,20.75,0.0,,,,,,sync,D,0,0,
581,system,LONDON,short,09-01 02:52,2,13.8,29466.0,29370.75,190.5,95.25,reject,A,touch,short,short,,balance,29500.25,34.25,decision#35508,29380.25,2.5,2.78,73.5,2.5,2.15,0.07,,,,sync,A,62,2,S1
582,armed_entry,LONDON,short,09-01 05:23,5,42.1,29246.75,29182.0,129.5,64.75,reject,B,touch,short,short,,trend,29273,26.25,plan_arm,29182,2.47,2.47,69.25,11.25,2.64,0.43,,,,sync,D,0,3,S2
583,system,LONDON,long,09-01 06:35,6,21.7,29213.25,29172.0,-82.5,-41.25,sweep_reclaim,B,1x5m_close,long,short,,trend-down,29172,41.25,decision#35621,29354,3.41,-1.0,25.0,43.25,0.61,1.05,,,,sync,B,64,4,S2
584,reconcile,LONDON,short,09-01 08:36,8,1.5,29138.0,29085.0,106.0,53.0,reject,B,touch,short,short,,trend,29162.0,24.0,armed_orders#24,29085.0,2.21,2.21,58.0,0.0,2.42,0.0,,,,sync,A,0,6,S2
585,armed_entry,NY,short,09-01 09:31,9,9.5,29182.0,29220.75,-77.5,-38.75,reject,B,touch,short,short,,trend-down,29220.75,38.75,plan_arm,29085,2.5,-1.0,0.0,38.75,0.0,1.0,,,,sync,C,0,3,S1
586,reconcile,NY,long,09-01 13:33,13,8.1,29082.75,29055.75,-54.0,-27.0,sweep_reclaim,B,touch,long,short,,trend,29055.75,27.0,armed_orders#28,29162.0,2.94,-1.0,0.0,27.5,0.0,1.02,,,,sync,A,0,5,S3
587,system,ASIA,long,09-02 00:17,0,46.0,29079.25,29048.0,-62.5,-31.25,reject,B,touch,long,long,,trend,29048,31.25,decision#36122,29113.25,1.09,-1.0,25.75,33.0,0.82,1.06,,,,sync,B,62,7,S3
588,system,LONDON,long,09-02 07:41,7,10.5,29082.5,29050.0,-65.0,-32.5,reclaim,B,1x5m_close,long,long,,balance,29050,32.5,decision#36336,29165,2.54,-1.0,0.0,33.25,0.0,1.02,,,,sync,B,63,3,S2
589,system,NY,long,09-02 09:41,9,18.4,29192.5,29115.0,-155.0,-77.5,breakout_retest,B,1x5m_close,long,long,,balance,29115,77.5,decision#36394,29317.25,1.61,-1.0,10.25,80.5,0.13,1.04,,,,sync,A,65,3,S3
590,system,NY,long,09-02 10:37,10,12.2,29193.25,29143.75,-99.0,-49.5,breakout_retest,C,1x5m_close,long,long,,balance,29143.75,49.5,decision#36422,29317.25,2.51,-1.0,1.0,49.75,0.02,1.01,,,,sync,A,68,5,S4
591,reconcile,NY,short,09-03 09:05,9,15.5,29285.0,29355.0,-140.0,-70.0,reject,B,touch,short,short,bias: AI short · tree neutral · regime up,balance,29351.62847289964,66.63,armed_orders#35,29144.5,2.11,-1.05,43.5,75.0,0.65,1.13,,,,sync,A,0,2,S1
