pid,ver,sess,td,lc,sid,cond,dirn,q,arm_en,e,sl,tp,tc,wc,entry_mode,sl_pts,tp_field
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-18,active,S1,breakout_retest,short,A,False,,,,"[29582.5, 29441]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-18,active,S2,reject,short,A,False,,,,"[29582.5, 29441]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-18,active,S3,reclaim,long,B,False,,,,"[29755, 29853]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-18,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-18,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-08-18,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,2026-08-18,active,S1,sweep_reclaim,long,B,False,,,,"[29478.25, 29496.25, 29514]",,,,
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,2026-08-18,active,S2,reject,short,B,False,,,,"[29478.25, 29441, 29430.25]",,,,
2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-18,active,S1,reclaim,long,B,False,,,,"[30079, 30090.75, 30091.5, 30096.25, 30124.25]",,,,
2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-18,active,S2,breakout_retest,short,B,False,,,,[29785.5],,,,
2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-18,active,S3,reject,short,B,False,,,,"[29919, 29853]",,,,
2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-18,active,S1,sweep_reclaim,long,B,False,,,,"[29853, 29919]",,,,
2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-18,active,S2,reclaim,long,B,False,,,,"[29919, 30079]",,,,
2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-18,active,S3,reject,short,B,False,,,,[29680.75],,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-19,active,S1,reclaim,long,B,False,,,,"[29742, 29770, 29785.5]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-19,active,S2,reject,short,A,False,,,,"[29553.12, 29514, 29505.75]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-19,active,S3,acceptance,short,B,False,,,,"[29505.75, 29441]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-19,active,S1,hold,long,A,False,,,,"[29688.5, 29742, 29770]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-19,active,S2,breakout_retest,short,B,False,,,,"[29554.75, 29514, 29505.75]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-19,active,S3,reject,short,B,False,,,,"[29648.25, 29554.75]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-19,active,S1,reject,short,A,False,,,,"[29554.75, 29514, 29505.75]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-19,active,S2,acceptance,short,A,False,,,,"[29514, 29505.75, 29441]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-19,active,S3,reclaim,long,B,False,,,,"[29648.25, 29688.5]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-19,active,S1,reject,short,B,False,,,,"[29648.25, 29554.75, 29514]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-19,active,S2,acceptance,short,A,False,,,,"[29554.75, 29514, 29441]",,,,
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-19,active,S3,reclaim,long,B,False,,,,[29770],,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-19,active,S1,reject,short,B,False,,,,"[29514, 29505.75, 29441]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-19,active,S2,acceptance,short,B,False,,,,"[29505.75, 29441, 29430.25]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-19,active,S3,reclaim,long,B,False,,,,"[29609.75, 29770]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-19,active,S1,reject,short,A,False,,,,"[29555, 29514, 29505.75]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-19,active,S2,acceptance,short,B,False,,,,"[29514, 29505.75, 29441]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-19,active,S3,reclaim,long,B,False,,,,"[29770, 29919.25]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-19,active,S1,reject,short,B,False,,,,"[29554.5, 29514, 29441]",,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-19,active,S2,breakout_retest,long,A,False,,,,[29919.25],,,,
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-19,active,S3,acceptance,short,B,False,,,,"[29514, 29441]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-19,active,S1,breakout_retest,long,A,False,,,,[29919.25],,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-19,active,S2,reclaim,long,B,False,,,,"[29759, 29770, 29919.25]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-19,active,S3,acceptance,short,B,False,,,,"[29441, 29430.25]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-19,active,S1,reject,short,B,False,,,,"[29496.25, 29441, 29430.25]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-19,active,S2,breakout_retest,short,A,False,,,,[29430.25],,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-19,active,S3,sweep_reclaim,long,B,False,,,,"[29496.25, 29505.75, 29514]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,2026-08-19,active,S1,reject,short,B,False,,,,"[29514, 29441]",,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,2026-08-19,active,S2,acceptance,short,A,False,,,,[29441],,,,
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,2026-08-19,active,S3,sweep_reclaim,long,B,False,,,,"[29648.25, 29742]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-20,active,S1,acceptance,short,A,False,,,,"[29309.25, 29306]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-20,active,S2,reject,short,B,False,,,,"[29323, 29309.25]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-20,active,S3,reclaim,long,B,False,,,,"[29375.75, 29433.75]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-20,active,S1,reject,short,A,False,,,,"[29338.5, 29334.25, 29273.5]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-20,active,S2,breakout_retest,short,B,False,,,,"[29334.25, 29273.5]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-20,active,S3,reclaim,long,B,False,,,,"[29617, 29742, 29748.25]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-20,active,S1,reject,short,A,False,,,,"[29338.5, 29331, 29273.5]",,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-20,active,S2,acceptance,short,B,False,,,,[29273.5],,,,
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-20,active,S3,reject,short,A,False,,,,"[29395, 29338.5, 29331]",,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-20,active,S1,breakout_retest,long,A,False,,,,"[29742, 29759]",,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-20,active,S2,reject,short,B,False,,,,"[29617, 29554.75]",,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-20,active,S3,acceptance,short,B,False,,,,"[29554.75, 29545.25, 29541.5]",,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-20,active,S1,breakout_retest,short,A,False,,,,[29375.75],,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-20,active,S2,reject,short,B,False,,,,"[29515.25, 29375.75]",,,,
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-20,active,S3,reject,short,A,False,,,,"[29557.5, 29515.25, 29375.75]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-20,active,S1,acceptance,short,A+,False,,,,"[29263.5, 29240.25]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-20,active,S2,reject,short,A,False,,,,"[29275, 29263.5, 29240.25]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-20,active,S3,reclaim,long,B,False,,,,"[29617, 29688.5, 29742]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-20,active,S1,acceptance,short,A,False,,,,"[29375.75, 29338.5, 29240.25]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-20,active,S2,reject,short,B,False,,,,"[29433.75, 29375.75]",,,,
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,2026-08-20,active,S3,acceptance,short,A,False,,,,"[29338.5, 29240.25]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-21,active,S1,sweep_reclaim,long,B,False,,,,"[29358.25, 29402.25]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-21,active,S2,reject,short,A,False,,,,"[29358.25, 29346, 29341.75]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-21,active,S3,acceptance,short,B,False,,,,"[29346, 29273.5, 29202.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-21,active,S1,reject,short,B,False,,,,"[29358.25, 29346, 29273.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-21,active,S2,breakout_retest,short,A,False,,,,"[29346, 29273.5, 29202.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,2026-08-21,active,S3,reclaim,long,B,False,,,,"[29470.25, 29686.75]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-21,active,S1,reclaim,long,A,False,,,,"[29638.5, 29686.75]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-21,active,S2,acceptance,short,A,False,,,,"[29358.25, 29342, 29273.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,2026-08-21,active,S3,hold,long,B,False,,,,"[29470.25, 29483.25, 29638.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,2026-08-21,active,S1,reject,short,B,False,,,,"[29358.25, 29342, 29273.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,2026-08-21,active,S2,breakout_retest,short,A,False,,,,"[29342, 29273.5, 29202.5]",,,,
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,2026-08-21,active,S3,reclaim,long,B,False,,,,"[29539.75, 29686.75]",,,,
2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-21,active,S1,reject,short,B,False,,,,"[29358.25, 29342, 29273.5]",,,,
2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-21,active,S2,acceptance,short,A,False,,,,"[29342, 29273.5, 29202.5]",,,,
2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,2026-08-21,active,S3,breakout_retest,short,B,False,,,,[29202.5],,,,
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-23,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-23,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-23,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-23,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-24,active,S1,reject,short,C,False,,,,"[29125, 29116, 29082.5]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-24,active,S2,acceptance,short,A,False,,,,[29082.5],,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,2026-08-24,active,S3,breakout_retest,short,B,False,,,,[29082.5],,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,2026-08-24,no_trade,S0,hold,long,B,False,,,,,,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-24,active,S1,breakout_retest,short,C,False,,,,[29082.5],,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-24,active,S2,reject,short,C,False,,,,"[29117.5, 29110.25, 29082.5]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,2026-08-24,active,S3,sweep_reclaim,long,C,False,,,,"[29110.25, 29117.5, 29152.25]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-24,active,S1,reject,short,C,False,,,,"[29132.25, 29122.25, 29082.5]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-24,active,S2,reject,short,B,False,,,,"[29154.38, 29132.25, 29122.25]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,2026-08-24,active,S3,breakout_retest,short,C,False,,,,"[29122.25, 29082.5, 29016.75]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-08-24,active,S1,reclaim,long,C,False,,,,"[29288, 29297.75, 29375]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-08-24,active,S2,reject,short,C,False,,,,"[29243.75, 29204, 29190]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-08-24,active,S3,sweep_reclaim,long,C,False,,,,"[29375, 29423.5]",,,,
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,ASIA,2026-08-24,active,S4,acceptance,short,C,False,,,,"[29204, 29190, 29132.25]",,,,
2026-08-24:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,LONDON,2026-08-24,no_trade,S0,hold,long,B,False,,,,,,,,
