id,plan,v,session,scenario,side,entry_px,stop_px,target_px,rr,stop_pts,state,reason,entry_class,fill_price,li,lc,kind,condition,created_ct,updated_ct
92,2026-09-04:NY:8d5c,3,NY,S1,SHORT,29657.38,29720.5,29503.38,2.44,63.12,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class ",armed_fill,0.0,0,0,limit,reject,"2026-09-04 10:44:01","2026-09-04 11:05:09"
93,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:44:01","2026-09-04 10:53:11"
94,2026-09-04:NY:8d5c,3,NY,S1,SHORT,29657.38,29720.5,29503.38,2.44,63.12,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class ",armed_fill,0.0,0,0,limit,reject,"2026-09-04 10:46:01","2026-09-04 11:05:09"
95,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:46:01","2026-09-04 10:53:11"
96,2026-09-04:NY:8d5c,3,NY,S1,SHORT,29657.38,29720.5,29503.38,2.44,63.12,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class ",armed_fill,0.0,0,0,limit,reject,"2026-09-04 10:48:00","2026-09-04 11:05:09"
97,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:48:00","2026-09-04 10:53:11"
98,2026-09-04:NY:8d5c,3,NY,S1,SHORT,29657.38,29720.5,29503.38,2.44,63.12,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class ",armed_fill,0.0,0,0,limit,reject,"2026-09-04 10:50:00","2026-09-04 11:05:09"
99,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:50:00","2026-09-04 10:53:11"
100,2026-09-04:NY:8d5c,5,NY,S1,SHORT,29720.0,29765.0,29553.75,3.69,45.0,cancelled,"no active plan","",0.0,0,2,limit,reject,"2026-09-04 11:29:07","2026-09-04 11:59:02"
101,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:52:00","2026-09-04 10:53:11"
102,2026-09-04:NY:8d5c,3,NY,S2,SHORT,29591.02,29645.25,29481.5,2.02,54.23,cancelled,"cancelled in NT8",armed_fill,0.0,0,0,stop_entry,reclaim,"2026-09-04 10:53:11","2026-09-04 11:59:02"
103,2026-09-04:NY:8d5c,5,NY,S1,SHORT,29720.0,29765.0,29553.75,3.69,45.0,cancelled,"no active plan",armed_fill,0.0,1,2,limit,sweep_reclaim,"2026-09-04 11:29:07","2026-09-04 11:59:02"
104,2026-09-04:NY:8d5c,6,NY,S2,SHORT,29720.0,29755.0631468702,29635.0,2.42,35.06,armed,"",armed_fill,0.0,0,2,limit,sweep_reclaim,"2026-09-04 12:11:02","2026-09-04 13:27:48"
105,2026-09-04:NY:8d5c,6,NY,S2,SHORT,29720.0,29755.0631468702,29635.0,2.42,35.06,armed,"",armed_fill,0.0,1,2,limit,sweep_reclaim,"2026-09-04 12:11:02","2026-09-04 13:27:48"
