t0,session,day,label,fam,grade,mgrade,instr,px,first,n_eps,hold,brk,amb,dist,mfe1,mae1
1787176961000,ASIA,2026-08-19,RTH-L,RTH-L,A,,take short target / watch break,29514.0,break,9,6,3,0,97.25,32.25,-5.75
1787176961000,ASIA,2026-08-19,PDC,PDC,A,,take short target on sweep,29505.75,break,4,1,3,0,105.5,24.0,-8.75
1787176961000,ASIA,2026-08-19,PDL,PDL,A,,final short target / fail below,29441.0,break,6,5,1,0,170.25,21.0,-17.25
1787176961000,ASIA,2026-08-19,OR-L,OR-L,A,,reject shorts / reclaim longs,29648.25,break,20,7,4,9,37.0,40.25,-16.0
1787176961000,ASIA,2026-08-19,OR-H,OR-H,A,,take long target / plan death above,29742.0,untouched,0,0,0,0,130.75,0,0
1787176961000,ASIA,2026-08-19,RTH-H,RTH-H,A,,long continuation target,29770.0,untouched,0,0,0,0,158.75,0,0
1787176961000,ASIA,2026-08-19,PDH,PDH,A,,final long target,29785.5,untouched,0,0,0,0,174.25,0,0
1787185272000,ASIA,2026-08-19,ONH,ONH,A,,fade,29688.5,untouched,0,0,0,0,39.5,0,0
1787185272000,ASIA,2026-08-19,ONL,ONL,A,,break,29554.75,break,3,1,1,1,94.25,26.75,-23.25
1787185272000,ASIA,2026-08-19,PDH,PDH,A,,target,29770.0,untouched,0,0,0,0,121.0,0,0
1787209174000,LONDON,2026-08-20,RTH-H,RTH-H,A,,upside target,29742.0,untouched,0,0,0,0,89.25,0,0
1787209174000,LONDON,2026-08-20,PDH,PDH,A,,upside target,29759.0,untouched,0,0,0,0,106.25,0,0
1787209174000,LONDON,2026-08-20,PDC,PDC,A,,support / short pivot,29617.0,ambiguous_horizon,3,0,1,2,35.75,21.25,-17.75
1787209174000,LONDON,2026-08-20,EQH,EQH,A,,balance floor target,29545.25,break,8,3,4,1,107.5,25.25,0.0
1787209174000,LONDON,2026-08-20,EQH,EQH,A,,lower balance floor / final target,29541.5,ambiguous_horizon,9,4,3,2,111.25,26.25,-7.5
1787209174000,LONDON,2026-08-20,PDL,PDL,A,,deep support / trend-break line,29375.75,hold,17,7,9,1,277.0,0.0,-21.25
1787214142000,LONDON,2026-08-20,EQH,EQH,A,,initial lower-high rejection trigger,29557.5,ambiguous_horizon,2,1,0,1,39.75,2.75,-17.75
1787214142000,LONDON,2026-08-20,EQL,EQL,A,,"auction pivot: below opens onl, above retests eqh",29534.5,hold,8,3,2,3,16.75,9.25,-23.5
1787214142000,LONDON,2026-08-20,ONL,ONL,A,,breakdown trigger; loss opens pdl target,29515.25,hold,7,5,2,0,2.5,11.0,-49.0
1787232489000,NY,2026-08-20,RTH-L,RTH-L,A,,"fulcrum—shorts below, longs on 15m reclaim",29375.75,break,15,6,8,1,25.25,58.0,-34.0
1787232489000,NY,2026-08-20,RN 29275,RN,A,,breakdown trigger,29275.0,hold,5,2,1,2,75.5,5.75,-29.5
1787232489000,NY,2026-08-20,EQL,EQL,A,,first downside target,29263.5,break,3,1,2,0,87.0,24.5,-5.5
1787232489000,NY,2026-08-20,ONL,ONL,A,,final downside target,29240.25,break,3,0,1,2,110.25,24.75,-8.25
1787233672000,NY,2026-08-20,OR-L,OR-L,A,,target/cover,29338.5,hold,16,11,5,0,30.25,29.25,-30.25
1787233672000,NY,2026-08-20,OR-H,OR-H,A,,breakdown trigger / short below,29433.75,hold,2,2,0,0,65.0,0.0,-53.0
1787263444000,ASIA,2026-08-20,ONL,ONL,A,,pivot: sell acceptance below; cover on reclaim,29323.0,ambiguous_horizon,17,7,5,5,39.25,2.5,-6.75
1787263444000,ASIA,2026-08-20,OR-L,OR-L,A,,fade rejection; flip long on 2x5m close above,29338.5,break,15,5,5,5,54.75,26.5,-22.25
1787263444000,ASIA,2026-08-20,EQL,EQL,A,,short target,29309.25,ambiguous_horizon,12,7,1,4,25.5,17.0,-1.5
1787263444000,ASIA,2026-08-20,EQH,EQH,A,,short target,29306.0,ambiguous_horizon,11,5,3,3,22.25,3.0,-20.75
1787263444000,ASIA,2026-08-20,ONH,ONH,A,,resistance / invalidation,29345.25,ambiguous_horizon,16,6,3,7,61.5,19.75,-23.5
1787263444000,ASIA,2026-08-20,PDL,PDL,A,,resistance / long target,29375.75,ambiguous_horizon,18,5,3,10,92.0,19.25,-9.25
1787263444000,ASIA,2026-08-20,OR-H,OR-H,A,,long target,29433.75,break,13,4,5,4,150.0,22.25,-16.75
1787263444000,ASIA,2026-08-20,PDC,PDC,A,,far target,29617.0,untouched,0,0,0,0,333.25,0,0
1787271585000,ASIA,2026-08-20,ONH,ONH,A,,fade first touch / lower-high pivot,29365.0,hold,15,3,2,10,31.25,8.0,-22.25
1787271585000,ASIA,2026-08-20,RTH-H,RTH-H,A,,far upside target,29742.0,untouched,0,0,0,0,408.25,0,0
1787271585000,ASIA,2026-08-20,PDH,PDH,A,,far upside target,29748.25,untouched,0,0,0,0,414.5,0,0
1787271585000,ASIA,2026-08-20,EQL,EQL,A,,support target,29334.25,break,15,6,6,3,0.5,21.5,0.0
1787271585000,ASIA,2026-08-20,ONL,ONL,A,,liquidation target,29273.5,hold,8,6,2,0,60.25,0.0,-46.75
1787279620000,ASIA,2026-08-20,ONH,ONH,A,,fade,29395.0,ambiguous_horizon,19,5,4,10,3.5,2.75,-19.0
1787279620000,ASIA,2026-08-20,PDL,PDL,A,,fade,29485.0,break,11,5,3,3,93.5,23.25,-6.75
1787279620000,ASIA,2026-08-20,RTH-L,RTH-L,A,,fade,29491.75,break,7,0,4,3,100.25,23.25,-7.5
1787279620000,ASIA,2026-08-20,RTH-H,RTH-H,A,,watch,29667.25,untouched,0,0,0,0,275.75,0,0
1787279620000,ASIA,2026-08-20,EQH,EQH,A,,target,29331.0,ambiguous_horizon,6,3,2,1,60.5,9.75,-7.75
1787295787000,LONDON,2026-08-21,PDH,PDH,A,,upside target,29686.75,untouched,0,0,0,0,282.75,0,0
1787295787000,LONDON,2026-08-21,RTH-H,RTH-H,A,,death line / upside fade,29470.25,ambiguous_horizon,8,5,1,2,66.25,20.75,-5.5
1787295787000,LONDON,2026-08-21,ONH,ONH,A,,rejection / flip line,29402.25,hold,13,2,4,7,1.75,11.75,-21.5
1787295787000,LONDON,2026-08-21,PDC,PDC,A,,breakdown / reclaim line,29358.25,break,7,3,2,2,45.75,39.0,-30.5
1787295787000,LONDON,2026-08-21,EQH,EQH,A,,long reclaim trigger,29346.0,break,4,1,1,2,58.0,33.75,-27.25
1787295787000,LONDON,2026-08-21,EQL,EQL,A,,sweep / short target,29341.75,break,5,3,2,0,62.25,29.5,-19.75
1787295787000,LONDON,2026-08-21,PDL,PDL,A,,downside target,29202.5,untouched,0,0,0,0,201.5,0,0
1787296635000,LONDON,2026-08-21,ONH,ONH,A,,fade reject or follow reclaim,29415.5,ambiguous_horizon,10,3,4,3,14.5,10.5,-14.75
1787296635000,LONDON,2026-08-21,EQL,EQL,A,,pdc confluence support,29353.75,break,5,1,2,2,76.25,41.5,-19.5
1787305747000,LONDON,2026-08-21,ONH,ONH,A,,breakout trigger/rejection,29483.25,break,11,4,3,4,3.75,25.0,-5.0
1787305747000,LONDON,2026-08-21,EQH,EQH,A,,support/invalidation,29342.0,break,5,3,2,0,137.5,29.75,-19.5
1787305747000,LONDON,2026-08-21,EQL,EQL,A,,target/partial,29638.5,untouched,0,0,0,0,159.0,0,0
1787318567000,LONDON,2026-08-21,ONH,ONH,A,,offer / long target,29539.75,untouched,0,0,0,0,91.75,0,0
1787523116000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29319.25,hold,3,1,1,1,6.0,5.75,-18.75
1787523116000,ASIA,2026-08-23,ONL,ONL,A,,monitor,29302.25,hold,5,4,0,1,23.0,1.25,-22.75
1787523116000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29348.5,break,8,4,4,0,23.25,27.5,0.0
1787523116000,ASIA,2026-08-23,PDC,PDC,A,,monitor,29370.0,break,10,5,3,2,44.75,29.75,-2.0
1787523116000,ASIA,2026-08-23,ONH,ONH,A,,monitor,29409.0,break,6,2,4,0,83.75,19.75,-9.0
1787523116000,ASIA,2026-08-23,PDL,PDL,A,,monitor,29220.25,hold,16,8,2,6,105.0,10.0,-29.75
1787523116000,ASIA,2026-08-23,RTH-H,RTH-H,A,,monitor,29488.5,untouched,0,0,0,0,163.25,0,0
1787523116000,ASIA,2026-08-23,PDH,PDH,A,,monitor,29539.75,untouched,0,0,0,0,214.5,0,0
1787527631000,ASIA,2026-08-23,ONH,ONH,A,,monitor,29428.75,ambiguous_horizon,7,2,3,2,2.5,19.0,-5.0
1787527631000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29335.25,hold,5,2,3,0,91.0,0.0,-24.0
1787527631000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29321.25,ambiguous_horizon,2,0,1,1,105.0,20.75,-16.25
1787529190000,ASIA,2026-08-23,ONH,ONH,A,,monitor,29480.5,untouched,0,0,0,0,23.5,0,0
1787529190000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29353.75,hold,6,2,1,3,103.25,0.0,-26.5
1787543819000,ASIA,2026-08-23,ONL,ONL,A,,monitor,29265.5,hold,4,3,1,0,5.25,3.25,-25.75
1787543819000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29242.0,break,12,4,5,3,28.75,34.25,-2.5
1787543819000,ASIA,2026-08-23,EQL,EQL,A,,monitor,29358.75,untouched,0,0,0,0,88.0,0,0
1787555273000,LONDON,2026-08-24,EQH,EQH,A,,monitor,29179.25,hold,18,5,12,1,10.0,6.25,-21.25
1787555273000,LONDON,2026-08-24,RN 29175 (25),RN,B,,monitor,29175.0,hold,17,3,10,4,14.25,0.0,-25.5
1787555273000,LONDON,2026-08-24,ONL,ONL,A,,monitor,29124.75,hold,9,4,3,2,64.5,6.5,-32.25
1787555273000,LONDON,2026-08-24,PDL,PDL,A,,monitor,29263.25,hold,1,1,0,0,74.0,20.25,-24.5
1787555273000,LONDON,2026-08-24,EQH,EQH,A,,monitor,29363.0,untouched,0,0,0,0,173.75,0,0
1787555273000,LONDON,2026-08-24,EQL,EQL,A,,monitor,29367.5,untouched,0,0,0,0,178.25,0,0
1787555273000,LONDON,2026-08-24,EQH,EQH,A,,monitor,29371.25,untouched,0,0,0,0,182.0,0,0
1787578303000,NY,2026-08-24,ONL,ONL,A,A,sweep_reclaim,29116.75,break,6,1,3,2,3.5,28.5,-23.0
1787578303000,NY,2026-08-24,EQH,EQH,A,A,breakdown_trigger,29180.75,ambiguous_horizon,9,2,4,3,67.5,24.25,-15.0
1787578303000,NY,2026-08-24,EQL,EQL,A,A,breakdown_trigger,29192.0,hold,7,3,2,2,78.75,13.0,-28.0
1787578303000,NY,2026-08-24,EQL,EQL,A,A,death_line,29356.0,untouched,0,0,0,0,242.75,0,0
1787578303000,NY,2026-08-24,EQH,EQH,A,A,target,29362.0,untouched,0,0,0,0,248.75,0,0
1787578303000,NY,2026-08-24,EQH,EQH,A,A,target,29369.0,untouched,0,0,0,0,255.75,0,0
1787578303000,NY,2026-08-24,PDH,PDH,A,A,target,29480.5,untouched,0,0,0,0,367.25,0,0
1787579697000,NY,2026-08-24,IB-L,IB*,A,A,break,28976.25,break,3,1,2,0,39.25,21.0,-22.5
1787579697000,NY,2026-08-24,IB-1.5x,IB*,B,B,target,28842.5,untouched,0,0,0,0,173.0,0,0
1787579697000,NY,2026-08-24,IB-2x,IB*,B,B,target,28708.75,untouched,0,0,0,0,306.75,0,0
1787579697000,NY,2026-08-24,OR-L,OR-L,A,A,reject,29082.5,break,5,2,3,0,67.0,27.75,-12.0
1787579697000,NY,2026-08-24,PWL,PWL,A,A,fade,29220.25,hold,2,2,0,0,204.75,0.0,-25.25
1787579697000,NY,2026-08-24,OR-H,OR-H,A,A,fade,29243.75,untouched,0,0,0,0,228.25,0,0
1787583147000,NY,2026-08-24,RN 29050 (50),RN,A,A,fade,29050.0,ambiguous_horizon,2,1,0,1,40.25,7.5,-30.0
1787583147000,NY,2026-08-24,RN 29100 (100),RN,A,A,fade,29100.0,hold,7,3,3,1,9.75,0.0,-33.0
1787585909000,NY,2026-08-24,AS-L,AS-L,A,A,watch_break,29124.75,ambiguous_horizon,5,2,1,2,33.25,7.0,-12.25
1787585909000,NY,2026-08-24,EQH·15m (HTF),EQH,A,A,watch,29381.0,untouched,0,0,0,0,223.0,0,0
1787586992000,NY,2026-08-24,EQL,EQL,A,A,sell,29173.0,ambiguous_horizon,8,2,3,3,15.5,16.75,-16.25
1787587430000,NY,2026-08-24,EQL,EQL,A,A,breakdown trigger / reclaim fail,29146.75,ambiguous_horizon,4,0,2,2,25.5,17.25,-10.75
1787587807000,NY,2026-08-24,EQL,EQL,A,A,breakdown trigger,29150.0,ambiguous_horizon,5,0,2,3,16.0,20.5,-7.5
1787587807000,NY,2026-08-24,EQL,EQL,A,A,stretch reference,29377.5,untouched,0,0,0,0,211.5,0,0
1787587807000,NY,2026-08-24,EQH,EQH,A,A,stretch reference,29400.75,untouched,0,0,0,0,234.75,0,0
1787588370000,NY,2026-08-24,EQL·1h (HTF),EQL,A,A,flip-only target; do not initiate standalone,29430.25,untouched,0,0,0,0,231.75,0,0
1787588370000,NY,2026-08-24,Supply·1h,SUPPLY,B,,"htf confluence cap, never standalone trigger",29516.75,untouched,0,0,0,0,318.25,0,0
1787609094000,ASIA,2026-08-24,RN 29125,RN,A,A,retest trigger,29125.0,ambiguous_horizon,15,4,6,5,4.25,7.5,-8.0
1787609094000,ASIA,2026-08-24,EQL·15m (HTF),EQL,A,A,breakdown trigger,29116.0,ambiguous_horizon,14,6,3,5,13.25,0.0,-14.75
1787609094000,ASIA,2026-08-24,OR-L,OR-L,A,A,target,29082.5,ambiguous_horizon,3,0,1,2,46.75,11.0,-17.75
1787609094000,ASIA,2026-08-24,nPOC·2026-08-23,nPOC,A,A,reject,29186.88,hold,4,3,0,1,57.63000000000102,3.1199999999989814,-20.88000000000102
1787609094000,ASIA,2026-08-24,EQL,EQL,A,A,confluence,29192.0,ambiguous_horizon,6,5,0,1,62.75,8.25,-11.5
1787609094000,ASIA,2026-08-24,EQH,EQH,A,A,confluence,29197.5,ambiguous_horizon,7,4,0,3,68.25,2.75,-17.0
1787609094000,ASIA,2026-08-24,EQL·4h (HTF),EQL,A,A,invalidation,29202.5,ambiguous_horizon,8,4,0,4,73.25,15.0,-9.0
1787609094000,ASIA,2026-08-24,OR-H,OR-H,A,A,death,29243.75,ambiguous_horizon,22,10,6,6,114.5,18.0,-10.75
1787609094000,ASIA,2026-08-24,PDC,PDC,A,A,flip,29266.25,ambiguous_horizon,19,8,8,3,137.0,19.5,-12.5
1787609094000,ASIA,2026-08-24,EQL·4h (HTF),EQL,A,A,target,29371.0,break,10,4,4,2,241.75,19.0,-15.5
1787609094000,ASIA,2026-08-24,OB(bull)·4h,OB,B,,confluence-only,29423.5,untouched,0,0,0,0,294.25,0,0
1787609094000,ASIA,2026-08-24,PDH,PDH,A,A,target,29480.5,untouched,0,0,0,0,351.25,0,0
1787611046000,ASIA,2026-08-24,EQL,EQL,A,,monitor,29120.75,ambiguous_horizon,14,4,5,5,3.75,7.5,-2.25
1787611046000,ASIA,2026-08-24,ONL,ONL,A,,monitor,29112.5,ambiguous_horizon,8,4,1,3,12.0,0.0,-12.25
1787611046000,ASIA,2026-08-24,ONH,ONH,A,,monitor,29152.25,hold,7,5,0,2,27.75,0.0,-28.75
1787611046000,ASIA,2026-08-24,EQL,EQL,A,,monitor,29181.75,ambiguous_horizon,3,1,0,2,57.25,8.25,-18.75
1787611046000,ASIA,2026-08-24,EQH,EQH,A,,monitor,29188.25,hold,5,3,0,2,63.75,1.75,-22.25
1787611046000,ASIA,2026-08-24,EQH,EQH,A,,monitor,29193.0,ambiguous_horizon,5,4,0,1,68.5,7.25,-12.5
1787611046000,ASIA,2026-08-24,EQL,EQL,A,,monitor,29202.25,ambiguous_horizon,9,5,0,4,77.75,15.25,-8.75
1787612545000,ASIA,2026-08-24,ONL,ONL,A,A,breakdown line — retest from below is the short trigger,29110.25,break,7,4,2,1,9.5,19.0,-1.0
1787612545000,ASIA,2026-08-24,EQL,EQL,A,A,breakdown gate — wait for 2x5m closes below before shorting,29117.5,break,11,4,6,1,2.25,19.5,-9.25
1787612545000,ASIA,2026-08-24,OB(bull)·4h,OB,A,A,broken bull ob — retest acts as resistance; structural line,29162.75,hold,6,3,1,2,43.0,6.25,-21.75
1787612545000,ASIA,2026-08-24,EQL·4h,EQL,A,A,deeper confluence; flip-long target only,29202.5,ambiguous_horizon,8,4,0,4,82.75,15.0,-9.0
1787612545000,ASIA,2026-08-24,Supply·4h,SUPPLY,A,,htf confluence reference only — never standalone,29412.0,hold,2,2,0,0,292.25,0.0,-23.75
1787629142000,ASIA,2026-08-24,OB(bear)·4h,OB,A,A,watch_accept,29154.38,ambiguous_horizon,2,1,0,1,15.869999999998981,2.8800000000010186,-16.86999999999898
1787629142000,ASIA,2026-08-24,Supply·4h,SUPPLY,A,A,retest_short,29132.25,untouched,0,0,0,0,38.0,0,0
1787629142000,ASIA,2026-08-24,Demand·4h,DEMAND,A,A,target,29122.25,untouched,0,0,0,0,48.0,0,0
1787629142000,ASIA,2026-08-24,ONL,ONL,A,A,target,29016.75,untouched,0,0,0,0,153.5,0,0
1787629142000,ASIA,2026-08-24,ONH,ONH,A,A,fade_reject,29175.0,hold,3,2,1,0,4.75,1.0,-20.0
1787629142000,ASIA,2026-08-24,OB(bear)·4h,OB,A,A,fade_reject,29182.0,ambiguous_horizon,2,1,0,1,11.75,17.25,-1.5
1787629142000,ASIA,2026-08-24,PDL,PDL,A,A,flip_line,29263.25,break,21,8,10,3,93.0,24.75,-9.25
1787629142000,ASIA,2026-08-24,OB(bull)·4h HTF,OB,A,A,confluence_ref,29423.5,untouched,0,0,0,0,253.25,0,0
1787639895000,ASIA,2026-08-24,ONH,ONH,A,A,reject short / reclaim watch,29288.0,hold,16,8,5,3,40.0,1.5,-22.5
1787639895000,ASIA,2026-08-24,PDH,PDH,A,A,breakout gate,29297.75,break,11,5,4,2,49.75,30.0,-34.25
1787639895000,ASIA,2026-08-24,EQL·15m,EQL,A,A,upside target,29375.0,break,9,2,4,3,127.0,24.0,-5.5
1787639895000,ASIA,2026-08-24,RTH-H,RTH-H,A,A,retest support / breakdown gate,29243.75,hold,19,8,6,5,4.25,7.5,-19.75
1787639895000,ASIA,2026-08-24,EQH,EQH,A,A,support,29204.0,hold,5,4,0,1,44.0,7.25,-25.0
1787639895000,ASIA,2026-08-24,PDC,PDC,A,A,support / magnet,29199.75,hold,3,3,0,0,48.25,3.0,-29.25
1787639895000,ASIA,2026-08-24,EQH,EQH,A,A,support,29190.0,hold,1,1,0,0,58.0,0.0,-39.0
1787641450000,LONDON,2026-08-25,OB(bull)·4h,OB,A,,target,29525.12,untouched,0,0,0,0,242.36999999999898,0,0
1787641450000,LONDON,2026-08-25,EQL,EQL,A,A,fade,29195.0,hold,2,2,0,0,87.75,0.0,-34.0
1787641450000,LONDON,2026-08-25,EQH·15m,EQH,A,A,target,29156.5,hold,1,1,0,0,126.25,0.0,-72.5
1787648967000,LONDON,2026-08-25,OB(bear)·4h (HTF),OB,A,A,target,29412.0,hold,2,2,0,0,93.75,0.0,-23.75
1787648967000,LONDON,2026-08-25,ONH,ONH,A,A,reclaim,29327.75,ambiguous_horizon,12,4,3,5,9.5,7.25,-12.0
1787648967000,LONDON,2026-08-25,EQL·1h (HTF),EQL,A,A,sweep_reclaim,29240.25,break,14,5,7,2,78.0,30.25,-29.5
1787648967000,LONDON,2026-08-25,EQL,EQL,A,A,support,29165.5,hold,1,1,0,0,152.75,0.0,-63.5
1787648967000,LONDON,2026-08-25,EQH·15m (HTF),EQH,A,A,support,29156.5,hold,1,1,0,0,161.75,0.0,-72.5
1787648967000,LONDON,2026-08-25,Supply·4h (HTF),SUPPLY,A,A,support,29132.25,untouched,0,0,0,0,186.0,0,0
1787648967000,LONDON,2026-08-25,PDL,PDL,A,A,target,28947.75,untouched,0,0,0,0,370.5,0,0
1787664900000,NY,2026-08-25,Supply·1h (HTF),SUPPLY,B,B,invalidation_support,29209.25,hold,8,6,1,1,141.75,0.0,-40.75
1787664900000,NY,2026-08-25,EQH·15m (HTF),EQH,A,A,reclaim_trigger,29328.75,hold,4,3,1,0,22.25,0.0,-32.25
1787664900000,NY,2026-08-25,EQH·4h (HTF),EQH,A,A,breakout_trigger,29363.5,hold,3,1,2,0,12.5,0.25,-35.0
1787664900000,NY,2026-08-25,OB(bear)·4h,OB,A,A,target_confluence_only,29412.0,hold,1,1,0,0,61.0,0.0,-48.75
1787664900000,NY,2026-08-25,ONH,ONH,A,A,target,29420.0,untouched,0,0,0,0,69.0,0,0
1787668592000,NY,2026-08-25,EQL·15m (HTF),EQL,A,A,target,29220.25,hold,8,1,1,6,22.25,25.0,-21.0
1787668592000,NY,2026-08-25,OB(bear)·1h (HTF),OB,B,B,target,29214.5,hold,6,1,1,4,28.0,19.25,-26.75
1787668592000,NY,2026-08-25,OR-L,OR-L,A,A,fade,29279.25,hold,7,2,0,5,36.75,30.75,-24.25
1787668592000,NY,2026-08-25,OR-H,OR-H,A,A,fade,29377.0,untouched,0,0,0,0,134.5,0,0
1787695507000,ASIA,2026-08-25,OB(bull)·4h (HTF),OB,A,A,confluence,29863.5,untouched,0,0,0,0,570.25,0,0
1787695507000,ASIA,2026-08-25,OR-H,OR-H,A,A,target,29377.0,hold,2,1,1,0,83.75,8.75,-76.0
1787695507000,ASIA,2026-08-25,ONH,ONH,A,A,reclaim_buy,29310.0,hold,8,3,4,1,16.75,7.5,-33.0
1787695507000,ASIA,2026-08-25,PDH,PDH,A,A,hold_buy,29283.5,ambiguous_horizon,14,3,5,6,9.75,3.5,-10.5
1787695507000,ASIA,2026-08-25,RTH-H,RTH-H,B,B,hold_buy,29243.75,ambiguous_horizon,28,10,12,6,49.5,7.5,-3.5
1787695507000,ASIA,2026-08-25,PDC,PDC,A,A,sweep_buy,29199.75,hold,22,10,8,4,93.5,7.75,-22.75
1787695507000,ASIA,2026-08-25,PDL,PDL,A,A,watch,28947.75,untouched,0,0,0,0,345.5,0,0
1787695507000,ASIA,2026-08-25,OB(bear)·4h (HTF),OB,A,A,confluence,28711.25,untouched,0,0,0,0,582.0,0,0
1787696960000,ASIA,2026-08-25,EQL,EQL,A,,monitor,29288.5,ambiguous_horizon,11,5,3,3,0.25,8.25,-1.25
1787696960000,ASIA,2026-08-25,EQH,EQH,A,,monitor,29294.0,break,9,5,4,0,5.75,23.5,-11.25
1787696960000,ASIA,2026-08-25,ONL,ONL,A,,monitor,29280.0,ambiguous_horizon,13,3,4,6,8.25,7.75,-0.75
1787696960000,ASIA,2026-08-25,EQH,EQH,A,,monitor,29299.75,hold,6,3,2,1,11.5,17.75,-32.25
1787696960000,ASIA,2026-08-25,EQH,EQH,A,,monitor,29273.25,break,16,7,3,6,15.0,26.0,-3.25
1787696960000,ASIA,2026-08-25,EQH,EQH,A,,monitor,29306.75,hold,7,4,3,0,18.5,10.75,-29.75
1787699290000,ASIA,2026-08-25,Demand·4h (HTF),DEMAND,A,A,confluence only — never standalone,29852.38,untouched,0,0,0,0,573.880000000001,0,0
1787699290000,ASIA,2026-08-25,PDH,PDH,A,A,hold_long / acceptance_short_trigger,29261.25,break,22,12,6,4,17.25,30.25,-4.0
1787699703000,ASIA,2026-08-25,ONL,ONL,A,A,reclaim,29273.75,break,17,8,3,6,0.75,18.0,-0.75
