id,trade_date,session,plan_id,version,prompt_hash,void_count,stop_floor_pts,atr5m,stop_floor_mlt,bias_ai,bias_tree,bias_regime,tokens_in,scope_since_ms,scope_bars,scope_intv,created_at
13,2026-09-03,ASIA,,0,a28d83f159084145,2,15.55212174762186,10.36808116508124,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-03 23:00:24.77738496+00:00
14,2026-09-03,ASIA,,0,a28d83f159084145,4,13.595601460297848,9.063734306865232,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-03 23:41:09.977360686+00:00
15,2026-09-03,ASIA,,0,a28d83f159084145,2,16.854930244695996,11.236620163130665,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 00:18:06.387153659+00:00
16,2026-09-03,ASIA,,0,a28d83f159084145,6,15.589732002966752,10.3931546686445,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 00:50:05.081048931+00:00
17,2026-09-03,ASIA,,0,a28d83f159084145,8,16.694833712868785,11.129889141912523,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 01:24:03.589160112+00:00
18,2026-09-04,ASIA,,0,a28d83f159084145,15,18.22396868911631,12.149312459410874,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 05:30:54.847415688+00:00
19,2026-09-04,ASIA,,0,a28d83f159084145,17,19.378747849055387,12.919165232703591,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 06:10:50.022331592+00:00
20,2026-09-04,LONDON,,0,a28d83f159084145,17,19.97753647637697,13.31835765091798,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 06:30:48.519751941+00:00
21,2026-09-04,LONDON,,0,a28d83f159084145,16,21.088267515556346,14.058845010370899,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 07:00:46.669860678+00:00
22,2026-09-04,LONDON,,0,a28d83f159084145,10,47.209451221423464,31.472967480948977,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 12:45:01.088784673+00:00
23,2026-09-04,NY,,0,a28d83f159084145,8,51.32186014313179,34.21457342875453,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 13:00:38.490677651+00:00
24,2026-09-04,LONDON,,0,a28d83f159084145,8,47.93201392509397,31.954675950062644,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 13:17:32.490258419+00:00
25,2026-09-04,NY,,0,a28d83f159084145,12,48.88333660033736,32.58889106689157,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 13:32:00.632949016+00:00
26,2026-09-04,NY,,0,a28d83f159084145,12,53.613844767580915,35.74256317838728,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 13:46:10.083417136+00:00
27,2026-09-04,NY,,0,a28d83f159084145,12,58.616521156849004,39.07768077123267,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 14:26:06.335835574+00:00
28,2026-09-04,NY,,0,a28d83f159084145,12,58.35515018474244,38.90343345649496,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 14:58:05.523794913+00:00
29,2026-09-04,NY,,0,a28d83f159084145,12,54.55591689825416,36.370611265502774,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 15:28:02.516688712+00:00
30,2026-09-04,NY,,0,a28d83f159084145,12,47.01725434843826,31.34483623229217,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 15:55:10.609966776+00:00
31,2026-09-04,NY,,0,a28d83f159084145,12,40.5946391600858,27.063092773390533,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 16:25:08.294553595+00:00
32,2026-09-04,NY,,0,a28d83f159084145,12,34.93325580352624,23.288837202350823,1.5,,,up/NORMAL,0,1788472800000,2000,1m,2026-09-04 17:01:01.822523157+00:00
