id,session,condition,pnl_corrected,session_day_ct,created_ms,created_ct,source,plan_id,side,entry_price,exit_price,mae,mfe,close_reason
531,NY,S3,-147.5,2026-08-19,1787233297689,2026-08-20 08:41:37,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29443.75,29370.0,75.0,16.25,sync
532,NY,S1,311.0,2026-08-19,1787236917055,2026-08-20 09:41:57,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29395.75,29240.25,61.5,156.75,sync
533,ASIA,S2,-54.5,2026-08-20,1787266758375,2026-08-20 17:59:18,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29322.25,29349.5,30.25,36.0,sync
534,ASIA,S2,-66.0,2026-08-20,1787271748349,2026-08-20 19:22:28,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29332.25,29365.25,36.75,40.5,sync
535,ASIA,S1,-31.0,2026-08-20,1787278123499,2026-08-20 21:08:43,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29360.75,29376.25,17.75,7.0,sync
536,ASIA,S1,124.0,2026-08-20,1787279779762,2026-08-20 21:36:19,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29393.0,29331.0,6.75,62.25,sync
537,ASIA,S1,-79.5,2026-08-20,1787289910852,2026-08-21 00:25:10,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29360.25,29400.0,42.0,20.25,sync
538,ASIA,S1,30.5,2026-08-20,1787294426615,2026-08-21 01:40:26,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29388.25,29373.0,2.75,16.25,sync
539,,off-plan,-84.5,2026-08-20,1787302449656,2026-08-21 03:54:09,system,UNRESOLVABLE,SHORT,29453.0,29495.25,43.0,42.25,sync
540,LONDON,S1,-98.0,2026-08-20,1787306680461,2026-08-21 05:04:40,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29509.0,29460.0,50.0,6.5,sync
541,LONDON,S1,-83.0,2026-08-20,1787311607785,2026-08-21 06:26:47,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29511.75,29470.25,42.25,28.0,sync
542,NY,S2,0.0,2026-08-20,1787320143292,2026-08-21 08:49:03,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29310.0,29310.0,35.5,89.75,sync
543,NY,S2,-88.5,2026-08-20,1787325163217,2026-08-21 10:12:43,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29355.75,29400.0,45.0,25.0,sync
544,NY,S1,-61.5,2026-08-20,1787327265787,2026-08-21 10:47:45,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29445.0,29475.75,31.5,19.5,sync
545,,,-29.5,2026-08-23,1787542090280,2026-08-23 22:28:10,system,UNRESOLVABLE,LONG,29298.5,29283.75,15.25,3.0,sync
546,,,-88.5,2026-08-23,1787573202596,2026-08-24 07:06:42,system,UNRESOLVABLE,LONG,29222.5,29178.25,51.0,9.75,sync
547,NY,S2,-139.5,2026-08-23,1787580585134,2026-08-24 09:09:45,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,28968.75,29038.5,73.25,15.25,sync
548,NY,S1,-54.5,2026-08-23,1787583313785,2026-08-24 09:55:13,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29092.75,29120.0,44.75,58.5,sync
549,NY,S2,169.5,2026-08-23,1787588810349,2026-08-24 11:26:50,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29201.5,29116.75,10.5,85.5,sync
550,ASIA,S2,-84.5,2026-08-24,1787622214378,2026-08-24 20:43:34,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29123.75,29166.0,42.5,20.25,sync
551,ASIA,S2,0.0,2026-08-24,1787625786798,2026-08-24 21:43:06,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29163.0,29163.0,0.5,69.75,sync
552,ASIA,S2,-7.5,2026-08-24,1787627825020,2026-08-24 22:17:05,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29166.25,29170.0,5.5,10.0,sync
553,ASIA,S2,-27.0,2026-08-24,1787630586859,2026-08-24 23:03:06,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29178.5,29192.0,18.0,0.0,sync
554,LONDON,S2,-62.0,2026-08-24,1787641758864,2026-08-25 02:09:18,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29269.0,29300.0,58.75,58.0,sync
555,LONDON,S2,168.0,2026-08-24,1787649559289,2026-08-25 04:19:19,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29328.0,29412.0,22.5,92.0,sync
556,LONDON,S1,-40.0,2026-08-24,1787655848500,2026-08-25 06:04:08,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29336.0,29316.0,33.5,0.75,sync
557,LONDON,S1,46.5,2026-08-24,1787656476930,2026-08-25 06:14:36,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29337.5,29360.75,17.25,71.75,sync
558,LONDON,S1,-22.5,2026-08-24,1787662601774,2026-08-25 07:56:41,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29339.25,29328.0,27.5,5.75,sync
559,NY,S4,-78.5,2026-08-24,1787667281458,2026-08-25 09:14:41,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29246.25,29207.0,100.75,23.5,sync
560,NY,S3,81.0,2026-08-24,1787683989352,2026-08-25 13:53:09,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29263.0,29222.5,3.0,50.5,sync
561,ASIA,S1,-52.0,2026-08-25,1787703104205,2026-08-25 19:11:44,system,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29221.25,29195.25,30.0,17.5,sync
562,LONDON,S2,-98.5,2026-08-25,1787728926645,2026-08-26 02:22:06,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29212.0,29261.25,51.25,25.75,sync
563,LONDON,S1,-49.5,2026-08-25,1787742765384,2026-08-26 06:12:45,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29244.0,29219.25,29.5,34.75,sync
564,LONDON,S3,-69.0,2026-08-26,1787822385609,2026-08-27 04:19:45,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29585.25,29619.75,36.75,6.75,sync
565,LONDON,S1,-62.5,2026-08-26,1787827992777,2026-08-27 05:53:12,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29580.0,29611.25,32.75,4.25,sync
566,,,97.0,2026-08-26,1787848373019,2026-08-27 11:32:53,reconcile,UNRESOLVABLE,LONG,29611.5,29660.0,,,sync
567,ASIA,S1,-42.0,2026-08-27,1787898124014,2026-08-28 01:22:04,reconcile,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29621.0,29642.0,21.5,28.5,sync
568,LONDON,S1,-32.0,2026-08-27,1787919586429,2026-08-28 07:19:46,reconcile,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29642.0,29658.0,17.0,1.75,sync
569,NY,S1,63.0,2026-08-27,1787924668684,2026-08-28 08:44:28,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29700.0,29668.5,0.0,36.0,sync
570,NY,S2,17.0,2026-08-27,1787937021714,2026-08-28 12:10:21,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29463.25,29471.75,14.5,66.25,sync
571,,,-44.5,2026-08-30,1788129513175,2026-08-30 17:38:33,reconcile,UNRESOLVABLE,LONG,29437.0,29414.75,22.5,17.0,sync
575,NY,S2,32.5,2026-08-30,1788188358333,2026-08-31 09:59:18,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29437.0,29420.75,6.0,41.5,sync
578,NY,S1,92.0,2026-08-30,1788197208950,2026-08-31 12:26:48,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29413.0,29459.0,24.75,47.25,sync
580,,,39.5,2026-08-30,1788201428615,2026-08-31 13:37:08,reconcile,UNRESOLVABLE,SHORT,29417.25,29397.5,0.0,20.75,sync
581,LONDON,S1,190.5,2026-08-31,1788249164041,2026-09-01 02:52:44,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29466.0,29370.75,2.5,73.5,sync
582,LONDON,S2,129.5,2026-08-31,1788258208858,2026-09-01 05:23:28,armed_entry,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29246.75,29182.0,11.25,69.25,sync
583,LONDON,S2,-82.5,2026-08-31,1788262504776,2026-09-01 06:35:04,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29213.25,29172.0,43.25,25.0,sync
584,LONDON,S2,106.0,2026-08-31,1788269807953,2026-09-01 08:36:47,reconcile,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29138.0,29085.0,0.0,58.0,sync
585,NY,S1,-77.5,2026-08-31,1788273068046,2026-09-01 09:31:08,armed_entry,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29182.0,29220.75,38.75,0.0,sync
586,NY,S3,-54.0,2026-08-31,1788287586496,2026-09-01 13:33:06,reconcile,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29082.75,29055.75,27.5,0.0,sync
587,ASIA,S3,-62.5,2026-09-01,1788326264539,2026-09-02 00:17:44,system,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29079.25,29048.0,33.0,25.75,sync
588,LONDON,S2,-65.0,2026-09-01,1788352865663,2026-09-02 07:41:05,system,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29082.5,29050.0,33.25,0.0,sync
589,NY,S3,-155.0,2026-09-01,1788360064833,2026-09-02 09:41:04,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29192.5,29115.0,80.5,10.25,sync
590,NY,S4,-99.0,2026-09-01,1788363437167,2026-09-02 10:37:17,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29193.25,29143.75,49.75,1.0,sync
591,NY,S1,-140.0,2026-09-02,1788444314627,2026-09-03 09:05:14,reconcile,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29285.0,29355.0,75.0,43.5,sync
