id,entry_time,exit_time,plan_id,plan_session,source,side,pnl_corrected,fee,mae,mfe,cme_open_day,entry_ct,hold_minutes
537,1787289910852,1787294140952,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-79.5,0.0,42.0,20.25,2026-08-20,2026-08-21T00:25:10.852000-05:00,70.50166666666667
538,1787294426615,1787294701430,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,30.5,0.0,2.75,16.25,2026-08-20,2026-08-21T01:40:26.615000-05:00,4.58025
540,1787306680461,1787310076685,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-98.0,0.0,50.0,6.5,2026-08-20,2026-08-21T05:04:40.461000-05:00,56.60373333333333
541,1787311607785,1787318022696,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-83.0,0.0,42.25,28.0,2026-08-20,2026-08-21T06:26:47.785000-05:00,106.91518333333333
542,1787320143292,1787322462787,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,0.0,0.0,35.5,89.75,2026-08-20,2026-08-21T08:49:03.292000-05:00,38.65825
543,1787325163217,1787326470700,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,-88.5,0.0,45.0,25.0,2026-08-20,2026-08-21T10:12:43.217000-05:00,21.791383333333332
544,1787327265787,1787327509227,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,-61.5,0.0,31.5,19.5,2026-08-20,2026-08-21T10:47:45.787000-05:00,4.057333333333333
547,1787580585134,1787581850877,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,-139.5,0.0,73.25,15.25,2026-08-23,2026-08-24T09:09:45.134000-05:00,21.095716666666668
548,1787583313785,1787585344309,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,-54.5,0.0,44.75,58.5,2026-08-23,2026-08-24T09:55:13.785000-05:00,33.84206666666667
549,1787588810349,1787594145174,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,169.5,0.0,10.5,85.5,2026-08-23,2026-08-24T11:26:50.349000-05:00,88.91375
550,1787622214378,1787625115057,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-84.5,0.0,42.5,20.25,2026-08-24,2026-08-24T20:43:34.378000-05:00,48.34465
551,1787625786798,1787627344859,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,0.0,0.0,0.5,69.75,2026-08-24,2026-08-24T21:43:06.798000-05:00,25.967683333333333
552,1787627825020,1787627988172,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-7.5,0.0,5.5,10.0,2026-08-24,2026-08-24T22:17:05.020000-05:00,2.7192
553,1787630586859,1787630723285,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-27.0,0.0,18.0,0.0,2026-08-24,2026-08-24T23:03:06.859000-05:00,2.2737666666666665
554,1787641758864,1787646277376,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-62.0,0.0,58.75,58.0,2026-08-24,2026-08-25T02:09:18.864000-05:00,75.30853333333333
555,1787649559289,1787651863713,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,168.0,0.0,22.5,92.0,2026-08-24,2026-08-25T04:19:19.289000-05:00,38.407066666666665
556,1787655848500,1787656183070,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-40.0,0.0,33.5,0.75,2026-08-24,2026-08-25T06:04:08.500000-05:00,5.5761666666666665
557,1787656476930,1787661054988,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,46.5,0.0,17.25,71.75,2026-08-24,2026-08-25T06:14:36.930000-05:00,76.30096666666667
558,1787662601774,1787663702041,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-22.5,0.0,27.5,5.75,2026-08-24,2026-08-25T07:56:41.774000-05:00,18.337783333333334
559,1787667281458,1787668202197,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,LONG,-78.5,0.0,100.75,23.5,2026-08-24,2026-08-25T09:14:41.458000-05:00,15.34565
560,1787683989352,1787686216895,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,81.0,0.0,3.0,50.5,2026-08-24,2026-08-25T13:53:09.352000-05:00,37.12571666666667
561,1787703104205,1787703939651,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,LONG,-52.0,0.0,30.0,17.5,2026-08-25,2026-08-25T19:11:44.205000-05:00,13.9241
562,1787728926645,1787742109269,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-98.5,0.0,51.25,25.75,2026-08-25,2026-08-26T02:22:06.645000-05:00,219.7104
563,1787742765384,1787744284225,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-49.5,0.0,29.5,34.75,2026-08-25,2026-08-26T06:12:45.384000-05:00,25.314016666666667
564,1787822385609,1787823144273,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-69.0,0.0,36.75,6.75,2026-08-26,2026-08-27T04:19:45.609000-05:00,12.6444
565,1787827992777,1787828737791,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-62.5,0.0,32.75,4.25,2026-08-26,2026-08-27T05:53:12.777000-05:00,12.4169
567,1787898124014,1787900267898,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,reconcile,SHORT,-42.0,0.0,21.5,28.5,2026-08-27,2026-08-28T01:22:04.014000-05:00,35.7314
568,1787919586429,1787919782166,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,reconcile,SHORT,-32.0,0.0,17.0,1.75,2026-08-27,2026-08-28T07:19:46.429000-05:00,3.2622833333333334
569,1787924668684,1787924728951,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,SHORT,63.0,0.0,0.0,36.0,2026-08-27,2026-08-28T08:44:28.684000-05:00,1.00445
570,1787937021714,1787942914951,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,LONG,17.0,0.0,14.5,66.25,2026-08-27,2026-08-28T12:10:21.714000-05:00,98.22061666666667
575,1788188358333,1788189328351,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,SHORT,32.5,0.0,6.0,41.5,2026-08-30,2026-08-31T09:59:18.333000-05:00,16.166966666666667
578,1788197208950,1788199848747,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,LONG,92.0,0.0,24.75,47.25,2026-08-30,2026-08-31T12:26:48.950000-05:00,43.99661666666667
581,1788249164041,1788249993712,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,190.5,0.0,2.5,73.5,2026-08-31,2026-09-01T02:52:44.041000-05:00,13.82785
582,1788258208858,1788260734279,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,armed_entry,SHORT,129.5,0.0,11.25,69.25,2026-08-31,2026-09-01T05:23:28.858000-05:00,42.09035
583,1788262504776,1788263807259,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-82.5,0.0,43.25,25.0,2026-08-31,2026-09-01T06:35:04.776000-05:00,21.70805
584,1788269807953,1788269899464,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,reconcile,SHORT,106.0,0.0,0.0,58.0,2026-08-31,2026-09-01T08:36:47.953000-05:00,1.5251833333333333
585,1788273068046,1788273640760,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,armed_entry,SHORT,-77.5,0.0,38.75,0.0,2026-08-31,2026-09-01T09:31:08.046000-05:00,9.545233333333334
586,1788287586496,1788288074189,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,LONG,-54.0,0.0,27.5,0.0,2026-08-31,2026-09-01T13:33:06.496000-05:00,8.128216666666667
587,1788326264539,1788329021861,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,LONG,-62.5,0.0,33.0,25.75,2026-09-01,2026-09-02T00:17:44.539000-05:00,45.95536666666667
588,1788352865663,1788353498565,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,LONG,-65.0,0.0,33.25,0.0,2026-09-01,2026-09-02T07:41:05.663000-05:00,10.548366666666666
589,1788360064833,1788361167398,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,LONG,-155.0,0.0,80.5,10.25,2026-09-01,2026-09-02T09:41:04.833000-05:00,18.376083333333334
590,1788363437167,1788364170319,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,LONG,-99.0,0.0,49.75,1.0,2026-09-01,2026-09-02T10:37:17.167000-05:00,12.2192
591,1788444314627,1788445245677,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,SHORT,-140.0,0.0,75.0,43.5,2026-09-02,2026-09-03T09:05:14.627000-05:00,15.5175
