plan_id,version,trade_date,session,trigger_reason,trigger_class,created_ct,degraded,scenario_id,side,entry,stop,target,condition_text,condition_ever_true,first_true_ct,followed_by_arm,bias_ai,bias_tree,bias_regime,session_direction
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48) on LONDON 2026-09-02],wake+change,2026-09-02 07:44:03,0,S4,long,,,,[breakout_retest] 5m closes above ONH 29171.25; pullback retests 29171.25 | confirm: 1x5m_close ref=29171.25 side=above | confirm2: touch ref=29171.25 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29107.75 below 29246.25 (noise 6.48) on LONDON 2026-09-02],wake+change,2026-09-02 07:44:03,0,S5,short,,,,[reject] First touch of RTH-H 29317.25 rejects back down; no 5m close above 29317.25 | confirm: touch ref=29317.25 side=below,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29069.75 below 29246.25 (noise 6.38) on LONDON 2026-09-02],wake+change,2026-09-02 08:01:50,0,S1,long,29014.19,28985.5,29171.25,[reject] Price pulls into VWAP−1σ 29014.19 and leaves a rejection with price holding above it. | confirm: touch ref=29014.19 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29069.75 below 29246.25 (noise 6.38) on LONDON 2026-09-02],wake+change,2026-09-02 08:01:50,0,S2,long,,,,[sweep_reclaim] Price sweeps ONL 28927.25 and prints a 1m MSS back above it. | confirm: touch ref=28927.25 side=below | confirm2: 1m_mss ref=28927.25 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29069.75 below 29246.25 (noise 6.38) on LONDON 2026-09-02],wake+change,2026-09-02 08:01:50,0,S3,short,,,,"[reject] Price rallies into RTH-H 29317.25 and rejects, leaving price below it. | confirm: touch ref=29317.25 side=below",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",flip(lifecycle-marker overwrote authoring trigger),2026-09-02 08:09:44,0,S1,long,,,,"[sweep_reclaim] price returns to ONL 28927.25, sweeps below it, then prints a 1x5m close back above 28927.25 | confirm: touch ref=28927.25 side=below | confirm2: 1x5m_close ref=28927.25 side=above",NO,,none,doc.bias=neutral/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",flip(lifecycle-marker overwrote authoring trigger),2026-09-02 08:09:44,0,S2,long,,,,[reclaim] 1x5m close back above PDC 29058.75 after holding above 29014.14 | confirm: 1x5m_close ref=29058.75 side=above,YES,2026-09-02 08:10:00,none,doc.bias=neutral/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",flip(lifecycle-marker overwrote authoring trigger),2026-09-02 08:09:44,0,S3,long,,,,[reject] price trades down into VWAP−1σ 29014.14 and stalls/rejects before reaching 29001.75 | confirm: touch ref=29014.14 side=above,NO,,none,doc.bias=neutral/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",flip(lifecycle-marker overwrote authoring trigger),2026-09-02 08:09:44,0,S4,short,29317.25,29343,29246.25,[reject] first touch of 29317.25 RTH-H after an up move fails to hold above it | confirm: touch ref=29317.25 side=below,NO,,none,doc.bias=neutral/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,level_event  [seated OB(bull)·1h (HTF) invalidated: close 29040.00 below 29324.50 (noise 6.47) on LONDON 2026-09-02],wake+change,2026-09-02 08:20:47,0,S1,long,,,,[reject] Touch of 29014.42 VWAP−1σ with a 5m bullish reject closing back above 29014.42. | confirm: touch ref=29014.42 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,level_event  [seated OB(bull)·1h (HTF) invalidated: close 29040.00 below 29324.50 (noise 6.47) on LONDON 2026-09-02],wake+change,2026-09-02 08:20:47,0,S2,long,29001.75,28975.75,29058.75,[reject] Touch of 29001.75 RTH-L with a 5m bullish reject closing back above 29001.75. | confirm: touch ref=29001.75 side=above,NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,level_event  [seated OB(bull)·1h (HTF) invalidated: close 29040.00 below 29324.50 (noise 6.47) on LONDON 2026-09-02],wake+change,2026-09-02 08:20:47,0,S3,long,,,,"[sweep_reclaim] Sweep below 28927.25 ONL, then a 5m close back above 28927.25. | confirm: touch ref=28927.25 side=below | confirm2: 1x5m_close ref=28927.25 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,level_event  [seated OB(bull)·1h (HTF) invalidated: close 29040.00 below 29324.50 (noise 6.47) on LONDON 2026-09-02],wake+change,2026-09-02 08:20:47,0,S4,long,,,,"[breakout_retest] Break above 29171.25 ONH, then pullback retest holds above 29171.25. | confirm: touch ref=29171.25 side=above",NO,,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +21.50 (29076.75->29098.25, n=390m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,NY,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29098.25 below 29246.25 (noise 6.93) on NY 2026-09-02],wake+change,2026-09-02 08:45:28,0,S1,long,,,,"[sweep_reclaim] Wick below 29042.75 OR-L, then a 5m close back above 29042.75 confirms the sweep-reclaim | confirm: touch ref=29042.75 side=below | confirm2: 1x5m_close ref=29042.75 side=above",YES,2026-09-02 08:49:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,NY,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29098.25 below 29246.25 (noise 6.93) on NY 2026-09-02],wake+change,2026-09-02 08:45:28,0,S2,long,,,,"[breakout_retest] 5m close above 29115.10 VWAP+1σ, then retest holds above 29115.10 | confirm: 1x5m_close ref=29115.1 side=above",YES,2026-09-02 09:10:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,NY,level_event  [seated OB(bull)·4h (HTF) invalidated: close 29098.25 below 29246.25 (noise 6.93) on NY 2026-09-02],wake+change,2026-09-02 08:45:28,0,S3,long,,,,"[reclaim] Pullback to 29102.00 OR-H, then 5m close back above 29102.00 | confirm: 1x5m_close ref=29102 side=above",YES,2026-09-02 09:10:00,none,doc.bias=long/low | planner_read_facts.bias_ai=EMPTY(never written),planner_read_facts.bias_tree=EMPTY(never written),"planner_read_facts: NO ROW for this session/time (table has 17 rows, all 2026-09-03)","UP +76.75 (29098.25->29175.00, n=375m)"
