day,session,price,pdh,pdl,pdc,ema200,ema50,tree,regime,composite,open_px,close_px,realized,ret,period
2026-05-18,ASIA,29468.5,29715.5,29110.0,29391.75,25721.1401,29699.9232,neutral,neutral,neutral,29468.5,29407.5,-1,-61.0,exploration
2026-05-18,LONDON,29407.5,29715.5,29110.0,29391.75,25721.1401,29607.6214,long,neutral,long,29407.5,29539.75,1,132.25,exploration
2026-05-18,NY,29704.25,29715.5,29110.0,29391.75,25721.1401,29580.4439,neutral,long,long,29539.75,29394.0,-1,-145.75,exploration
2026-05-19,ASIA,29371.0,29485.75,28958.75,29220.0,25755.9546,29513.6845,neutral,neutral,neutral,29371.0,29316.5,-1,-54.5,exploration
2026-05-19,LONDON,29316.5,29485.75,28958.75,29220.0,25755.9546,29460.6167,neutral,neutral,neutral,29316.5,29233.25,-1,-83.25,exploration
2026-05-19,NY,29208.5,29485.75,28958.75,29220.0,25755.9546,29409.8517,neutral,neutral,neutral,29233.25,29218.0,-1,-15.25,exploration
2026-05-20,ASIA,29194.75,29692.75,29091.75,29686.25,25795.0621,29359.5878,neutral,neutral,neutral,29194.75,29335.0,1,140.25,exploration
2026-05-20,LONDON,29335.0,29692.75,29091.75,29686.25,25795.0621,29321.4127,neutral,neutral,neutral,29335.0,29395.5,1,60.5,exploration
2026-05-20,NY,29399.5,29692.75,29091.75,29686.25,25795.0621,29335.8914,short,long,short,29395.5,29689.75,1,294.25,exploration
2026-05-21,ASIA,29574.0,29849.5,29408.75,29743.0,25834.345,29402.5452,neutral,long,long,29574.0,29596.25,1,22.25,exploration
2026-05-21,LONDON,29596.25,29849.5,29408.75,29743.0,25834.345,29457.1929,neutral,long,long,29596.25,29584.25,-1,-12.0,exploration
2026-05-21,NY,29489.25,29849.5,29408.75,29743.0,25834.345,29489.1228,neutral,neutral,neutral,29584.25,29737.75,1,153.5,exploration
2026-05-22,ASIA,29750.75,30043.5,29733.25,29854.5,25874.3466,29533.0641,neutral,long,long,29750.75,29858.25,1,107.5,exploration
2026-05-22,LONDON,29858.25,30043.5,29733.25,29854.5,25874.3466,29620.3993,long,long,long,29858.25,29938.0,1,79.75,exploration
2026-05-22,NY,29889.25,30043.5,29733.25,29854.5,25874.3466,29673.6879,neutral,long,long,29938.0,29847.75,-1,-90.25,exploration
2026-05-26,ASIA,30258.75,30414.75,30038.75,30369.25,25962.2638,30008.6128,short,long,short,30258.75,30121.0,-1,-137.75,exploration
2026-05-26,LONDON,30121.0,30414.75,30038.75,30369.25,25962.2638,30040.2492,neutral,long,long,30121.0,30302.0,1,181.0,exploration
2026-05-26,NY,30216.25,30414.75,30038.75,30369.25,25962.2638,30064.8265,neutral,long,long,30302.0,30374.75,1,72.75,exploration
2026-05-27,ASIA,30339.25,30675.75,30171.75,30343.0,26005.8532,30131.8585,neutral,long,long,30339.25,30371.75,1,32.5,exploration
2026-05-27,LONDON,30371.75,30675.75,30171.75,30343.0,26005.8532,30205.5447,long,long,long,30371.75,30355.75,-1,-16.0,exploration
2026-05-27,NY,30557.0,30675.75,30171.75,30343.0,26005.8532,30277.146,neutral,long,long,30355.75,30343.25,-1,-12.5,exploration
2026-05-28,ASIA,30420.75,30637.75,30059.0,30602.75,26051.5935,30286.8861,short,long,short,30420.75,30204.5,-1,-216.25,exploration
2026-05-28,LONDON,30204.5,30637.75,30059.0,30602.75,26051.5935,30275.751,neutral,neutral,neutral,30204.5,30288.5,1,84.0,exploration
2026-05-28,NY,30351.75,30637.75,30059.0,30602.75,26051.5935,30270.1913,short,long,short,30288.5,30602.0,1,313.5,exploration
2026-05-29,ASIA,30609.25,30831.5,30512.0,30701.0,26097.8562,30347.722,neutral,long,long,30609.25,30644.75,1,35.5,exploration
2026-05-29,LONDON,30644.75,30831.5,30512.0,30701.0,26097.8562,30408.5427,neutral,long,long,30644.75,30814.25,1,169.5,exploration
2026-05-29,NY,30645.0,30831.5,30512.0,30701.0,26097.8562,30462.6947,neutral,long,long,30814.25,30691.25,-1,-123.0,exploration
2026-06-01,ASIA,30682.5,30987.75,30586.75,30862.0,26145.2606,30520.7263,neutral,long,long,30682.5,30874.5,1,192.0,exploration
2026-06-01,LONDON,30874.5,30987.75,30586.75,30862.0,26145.2606,30606.1767,neutral,long,long,30874.5,30611.75,-1,-262.75,exploration
2026-06-01,NY,30745.0,30987.75,30586.75,30862.0,26145.2606,30650.3455,neutral,long,long,30611.75,30867.25,1,255.5,exploration
2026-06-02,ASIA,30819.5,31059.25,30613.5,31008.5,26193.6511,30699.5603,neutral,long,long,30819.5,30810.25,-1,-9.25,exploration
2026-06-02,LONDON,30810.25,31059.25,30613.5,31008.5,26193.6511,30701.7014,neutral,long,long,30810.25,30899.75,1,89.5,exploration
2026-06-02,NY,30825.25,31059.25,30613.5,31008.5,26193.6511,30733.3753,neutral,long,long,30899.75,31003.0,1,103.25,exploration
2026-06-03,ASIA,31038.75,31103.5,30773.5,30929.0,26240.769,30797.2061,neutral,long,long,31038.75,30994.5,-1,-44.25,exploration
2026-06-03,LONDON,30994.5,31103.5,30773.5,30929.0,26240.769,30851.1724,neutral,long,long,30994.5,30854.25,-1,-140.25,exploration
2026-06-03,NY,31013.25,31103.5,30773.5,30929.0,26240.769,30894.5745,neutral,long,long,30854.25,30930.0,1,75.75,exploration
2026-06-04,ASIA,30790.0,30899.0,30448.0,30784.0,26285.9753,30896.6153,neutral,neutral,neutral,30790.0,30825.75,1,35.75,exploration
2026-06-04,LONDON,30825.75,30899.0,30448.0,30784.0,26285.9753,30858.4575,neutral,neutral,neutral,30825.75,30543.75,-1,-282.0,exploration
2026-06-04,NY,30606.0,30899.0,30448.0,30784.0,26285.9753,30808.1352,neutral,neutral,neutral,30543.75,30779.75,1,236.0,exploration
2026-06-05,ASIA,30696.0,30718.75,29074.25,29322.25,26316.187,30788.9886,neutral,neutral,neutral,30696.0,30419.25,-1,-276.75,exploration
2026-06-05,LONDON,30419.25,30718.75,29074.25,29322.25,26316.187,30712.6697,neutral,neutral,neutral,30419.25,30068.75,-1,-350.5,exploration
2026-06-05,NY,30350.25,30718.75,29074.25,29322.25,26316.187,30646.4854,neutral,neutral,neutral,30068.75,29311.5,-1,-757.25,exploration
2026-06-08,ASIA,29124.0,30038.75,29116.75,29750.5,26350.3592,30380.4524,neutral,neutral,neutral,29124.0,29396.75,1,272.75,exploration
2026-06-08,LONDON,29396.75,30038.75,29116.75,29750.5,26350.3592,30114.1342,neutral,neutral,neutral,29396.75,29645.75,1,249.0,exploration
2026-06-08,NY,29781.75,30038.75,29116.75,29750.5,26350.3592,29981.7572,neutral,neutral,neutral,29645.75,29749.5,1,103.75,exploration
2026-06-09,ASIA,29732.5,30142.75,28523.0,29412.75,26380.8308,29937.3662,neutral,neutral,neutral,29732.5,29918.75,1,186.25,exploration
2026-06-09,LONDON,29918.75,30142.75,28523.0,29412.75,26380.8308,29901.1838,neutral,long,long,29918.75,29967.75,1,49.0,exploration
2026-06-09,NY,30031.5,30142.75,28523.0,29412.75,26380.8308,29915.9979,neutral,long,long,29967.75,29410.75,-1,-557.0,exploration
2026-06-10,ASIA,29435.5,29546.75,28705.75,28849.75,26405.3971,29750.8706,neutral,neutral,neutral,29435.5,29264.25,-1,-171.25,exploration
2026-06-10,LONDON,29264.25,29546.75,28705.75,28849.75,26405.3971,29625.3022,neutral,neutral,neutral,29264.25,29317.0,1,52.75,exploration
2026-06-10,NY,29128.75,29546.75,28705.75,28849.75,26405.3971,29502.0677,neutral,neutral,neutral,29317.0,28824.75,-1,-492.25,exploration
2026-06-11,ASIA,28767.25,29838.0,28560.0,29760.5,26438.7812,29368.7552,neutral,neutral,neutral,28767.25,29087.0,1,319.75,exploration
2026-06-11,LONDON,29087.0,29838.0,28560.0,29760.5,26438.7812,29242.7099,neutral,neutral,neutral,29087.0,29196.5,1,109.5,exploration
2026-06-11,NY,29109.25,29838.0,28560.0,29760.5,26438.7812,29221.4939,neutral,neutral,neutral,29196.5,29759.25,1,562.75,exploration
2026-06-12,ASIA,29728.0,30053.0,29518.25,29954.75,26473.766,29267.404,neutral,long,long,29728.0,29646.75,-1,-81.25,exploration
2026-06-12,LONDON,29646.75,30053.0,29518.25,29954.75,26473.766,29419.1154,neutral,long,long,29646.75,29637.5,-1,-9.25,exploration
2026-06-12,NY,29700.5,30053.0,29518.25,29954.75,26473.766,29510.1416,neutral,long,long,29637.5,29944.25,1,306.75,exploration
2026-06-15,ASIA,29970.25,30918.5,30100.0,30864.25,26517.4524,29614.9765,neutral,long,long,29970.25,30551.5,1,581.25,exploration
2026-06-15,LONDON,30551.5,30918.5,30100.0,30864.25,26517.4524,29847.2205,short,long,short,30551.5,30703.75,1,152.25,exploration
2026-06-15,NY,30580.5,30918.5,30100.0,30864.25,26517.4524,30023.5397,short,long,short,30703.75,30876.75,1,173.0,exploration
2026-06-16,ASIA,30831.25,30975.5,30273.75,30313.75,26555.2265,30245.8478,neutral,long,long,30831.25,30828.5,-1,-2.75,exploration
2026-06-16,LONDON,30828.5,30975.5,30273.75,30313.75,26555.2265,30398.9564,neutral,long,long,30828.5,30807.0,-1,-21.5,exploration
2026-06-16,NY,30826.25,30975.5,30273.75,30313.75,26555.2265,30516.9006,neutral,long,long,30807.0,30310.0,-1,-497.0,exploration
2026-06-17,ASIA,30300.25,30584.25,29922.0,29998.75,26589.4904,30505.4422,neutral,neutral,neutral,30300.25,30543.75,1,243.5,exploration
2026-06-17,LONDON,30543.75,30584.25,29922.0,29998.75,26589.4904,30485.7845,neutral,long,long,30543.75,30347.75,-1,-196.0,exploration
2026-06-17,NY,30491.0,30584.25,29922.0,29998.75,26589.4904,30486.4735,neutral,neutral,neutral,30347.75,29992.0,-1,-355.75,exploration
2026-06-18,ASIA,30140.75,30783.25,30092.25,30719.75,26630.5875,30434.5558,neutral,neutral,neutral,30140.75,30420.25,1,279.5,exploration
2026-06-18,LONDON,30420.25,30783.25,30092.25,30719.75,26630.5875,30411.9063,neutral,neutral,neutral,30420.25,30467.0,1,46.75,exploration
2026-06-18,NY,30515.25,30783.25,30092.25,30719.75,26630.5875,30420.6408,short,long,short,30467.0,30698.75,1,231.75,exploration
2026-06-22,ASIA,30651.0,30967.75,30336.75,30653.5,26710.2226,30555.4359,neutral,long,long,30651.0,30736.75,1,85.75,exploration
2026-06-22,LONDON,30736.75,30967.75,30336.75,30653.5,26710.2226,30557.3575,neutral,long,long,30736.75,30937.0,1,200.25,exploration
2026-06-22,NY,30800.75,30967.75,30336.75,30653.5,26710.2226,30603.0066,neutral,long,long,30937.0,30653.5,-1,-283.5,exploration
2026-06-23,ASIA,30662.0,30699.75,29577.25,29666.0,26739.6333,30615.0984,neutral,long,long,30662.0,29969.25,-1,-692.75,exploration
2026-06-23,LONDON,29969.25,30699.75,29577.25,29666.0,26739.6333,30558.1957,long,neutral,long,29969.25,29926.0,-1,-43.25,exploration
2026-06-23,NY,29734.75,30699.75,29577.25,29666.0,26739.6333,30386.4484,long,neutral,long,29926.0,29649.0,-1,-277.0,exploration
2026-06-24,ASIA,29750.25,30158.75,29263.0,29514.25,26767.2414,30217.1194,neutral,neutral,neutral,29750.25,29823.0,1,72.75,exploration
2026-06-24,LONDON,29823.0,30158.75,29263.0,29514.25,26767.2414,30092.6451,neutral,neutral,neutral,29823.0,29686.25,-1,-136.75,exploration
2026-06-24,NY,29763.5,30158.75,29263.0,29514.25,26767.2414,30022.5498,neutral,neutral,neutral,29686.25,29513.75,-1,-172.5,exploration
2026-06-25,ASIA,30099.0,30264.25,29296.5,29724.75,26796.6694,29923.3475,neutral,long,long,30099.0,30105.25,1,6.25,exploration
2026-06-25,LONDON,30105.25,30264.25,29296.5,29724.75,26796.6694,29953.8264,neutral,long,long,30105.25,29315.75,-1,-789.5,exploration
2026-06-25,NY,30202.25,30264.25,29296.5,29724.75,26796.6694,30001.4125,neutral,long,long,29315.75,29745.25,1,429.5,exploration
2026-06-26,ASIA,29760.5,29893.75,29160.0,29368.25,26822.2572,29913.5174,neutral,neutral,neutral,29760.5,29503.5,-1,-257.0,exploration
2026-06-26,LONDON,29503.5,29893.75,29160.0,29368.25,26822.2572,29787.5527,long,neutral,long,29503.5,29443.0,-1,-60.5,exploration
2026-06-26,NY,29315.5,29893.75,29160.0,29368.25,26822.2572,29692.5215,neutral,neutral,neutral,29443.0,29301.5,-1,-141.5,exploration
2026-06-29,ASIA,29290.0,30069.0,29274.0,30052.75,26854.4014,29628.5369,neutral,neutral,neutral,29290.0,29630.25,1,340.25,exploration
2026-06-29,LONDON,29630.25,30069.0,29274.0,30052.75,26854.4014,29610.6428,neutral,long,long,29630.25,29617.25,-1,-13.0,exploration
2026-06-29,NY,29705.0,30069.0,29274.0,30052.75,26854.4014,29628.4333,short,long,short,29617.25,30046.5,1,429.25,exploration
2026-06-30,ASIA,29995.5,30600.0,29935.25,30523.5,26890.9099,29704.9313,neutral,long,long,29995.5,30132.5,1,137.0,exploration
2026-06-30,LONDON,30132.5,30600.0,29935.25,30523.5,26890.9099,29807.2193,neutral,long,long,30132.5,30362.0,1,229.5,exploration
2026-06-30,NY,30013.0,30600.0,29935.25,30523.5,26890.9099,29876.9924,neutral,long,long,30362.0,30522.0,1,160.0,exploration
2026-07-01,ASIA,30501.0,30555.75,30009.25,30094.25,26922.7839,30040.8091,neutral,long,long,30501.0,30391.5,-1,-109.5,exploration
2026-07-01,LONDON,30391.5,30555.75,30009.25,30094.25,26922.7839,30158.8156,neutral,long,long,30391.5,30282.5,-1,-109.0,exploration
2026-07-01,NY,30267.0,30555.75,30009.25,30094.25,26922.7839,30208.9245,long,long,long,30282.5,30081.25,-1,-201.25,exploration
2026-07-02,ASIA,30064.5,30319.75,29328.5,29556.0,26948.9851,30196.589,neutral,neutral,neutral,30064.5,29920.5,-1,-144.0,exploration
2026-07-02,LONDON,29920.5,30319.75,29328.5,29556.0,26948.9851,30177.3209,neutral,neutral,neutral,29920.5,30257.75,1,337.25,exploration
2026-07-02,NY,30182.5,30319.75,29328.5,29556.0,26948.9851,30136.3115,neutral,long,long,30257.75,29536.75,-1,-721.0,exploration
2026-07-06,ASIA,29903.75,30094.0,29683.25,29941.0,27007.8645,29907.6157,short,neutral,short,29903.75,29847.75,-1,-56.0,exploration
2026-07-06,LONDON,29847.75,30094.0,29683.25,29941.0,27007.8645,29887.5636,neutral,neutral,neutral,29847.75,29935.75,1,88.0,exploration
2026-07-06,NY,29933.5,30094.0,29683.25,29941.0,27007.8645,29885.6176,short,long,short,29935.75,29952.25,1,16.5,exploration
2026-07-07,ASIA,29946.5,29974.0,29209.75,29391.5,27031.5822,29910.0295,neutral,long,long,29946.5,29690.0,-1,-256.5,exploration
2026-07-07,LONDON,29690.0,29974.0,29209.75,29391.5,27031.5822,29866.4303,neutral,neutral,neutral,29690.0,29469.75,-1,-220.25,exploration
2026-07-07,NY,29642.75,29974.0,29209.75,29391.5,27031.5822,29815.1689,neutral,neutral,neutral,29469.75,29393.0,-1,-76.75,exploration
2026-07-08,ASIA,29419.5,29558.0,28910.25,29468.5,27055.8302,29710.7741,short,neutral,short,29419.5,29329.25,-1,-90.25,exploration
2026-07-08,LONDON,29329.25,29558.0,28910.25,29468.5,27055.8302,29630.9981,short,neutral,short,29329.25,29365.75,1,36.5,exploration
2026-07-08,NY,29154.75,29558.0,28910.25,29468.5,27055.8302,29508.2722,neutral,neutral,neutral,29365.75,29459.25,1,93.5,exploration
2026-07-09,ASIA,29390.0,29993.25,29395.0,29937.0,27084.4985,29461.5284,neutral,neutral,neutral,29390.0,29612.0,1,222.0,exploration
2026-07-09,LONDON,29612.0,29993.25,29395.0,29937.0,27084.4985,29471.9759,neutral,long,long,29612.0,29911.25,1,299.25,exploration
2026-07-09,NY,29735.75,29993.25,29395.0,29937.0,27084.4985,29518.8991,short,long,short,29911.25,29946.5,1,35.25,exploration
2026-07-10,ASIA,29930.75,30076.75,29677.5,30032.25,27113.8294,29626.5507,short,long,short,29930.75,29819.75,-1,-111.0,exploration
2026-07-10,LONDON,29819.75,30076.75,29677.5,30032.25,27113.8294,29701.9347,neutral,long,long,29819.75,29922.5,1,102.75,exploration
2026-07-10,NY,29800.0,30076.75,29677.5,30032.25,27113.8294,29727.6839,neutral,long,long,29922.5,30039.0,1,116.5,exploration
2026-07-13,ASIA,30069.0,30042.5,29386.5,29475.75,27137.3311,29800.3492,neutral,long,long,30069.0,29630.5,-1,-438.5,exploration
2026-07-13,LONDON,29630.5,30042.5,29386.5,29475.75,27137.3311,29786.9279,long,neutral,long,29630.5,29631.0,1,0.5,exploration
2026-07-13,NY,29718.25,30042.5,29386.5,29475.75,27137.3311,29770.3327,neutral,neutral,neutral,29631.0,29466.0,-1,-165.0,exploration
2026-07-14,ASIA,29430.75,29922.0,29303.25,29790.25,27163.7283,29706.4119,neutral,neutral,neutral,29430.75,29564.5,1,133.75,exploration
2026-07-14,LONDON,29564.5,29922.0,29303.25,29790.25,27163.7283,29640.8587,neutral,neutral,neutral,29564.5,29780.5,1,216.0,exploration
2026-07-14,NY,29772.75,29922.0,29303.25,29790.25,27163.7283,29636.3817,short,long,short,29780.5,29787.5,1,7.0,exploration
2026-07-15,ASIA,29794.75,30062.5,29396.75,29693.25,27188.8977,29682.625,neutral,long,long,29794.75,30031.25,1,236.5,exploration
2026-07-15,LONDON,30031.25,30062.5,29396.75,29693.25,27188.8977,29756.4167,neutral,long,long,30031.25,29823.75,-1,-207.5,exploration
2026-07-15,NY,29980.25,30062.5,29396.75,29693.25,27188.8977,29805.298,neutral,long,long,29823.75,29700.75,-1,-123.0,exploration
2026-07-16,ASIA,29708.0,29796.5,29079.0,29225.75,27209.1648,29764.6323,neutral,neutral,neutral,29708.0,29685.25,-1,-22.75,exploration
2026-07-16,LONDON,29685.25,29796.5,29079.0,29225.75,27209.1648,29746.3299,neutral,neutral,neutral,29685.25,29346.5,-1,-338.75,exploration
2026-07-16,NY,29392.0,29796.5,29079.0,29225.75,27209.1648,29692.8539,long,neutral,long,29346.5,29213.5,-1,-133.0,exploration
2026-07-17,ASIA,29178.5,29220.0,28408.25,28773.25,27224.7279,29581.8438,neutral,neutral,neutral,29178.5,28742.75,-1,-435.75,holdout
2026-07-17,LONDON,28742.75,29220.0,28408.25,28773.25,27224.7279,29407.6523,neutral,neutral,neutral,28742.75,28677.0,-1,-65.75,holdout
2026-07-17,NY,28665.25,29220.0,28408.25,28773.25,27224.7279,29236.8923,neutral,neutral,neutral,28677.0,28763.0,1,86.0,holdout
2026-07-20,ASIA,28768.75,29192.5,28706.75,28778.75,27240.1908,29124.3687,neutral,neutral,neutral,28768.75,28804.25,1,35.5,holdout
2026-07-20,LONDON,28804.25,29192.5,28706.75,28778.75,27240.1908,29050.4307,long,neutral,long,28804.25,28997.25,1,193.0,holdout
2026-07-20,NY,29024.5,29192.5,28706.75,28778.75,27240.1908,29026.1304,neutral,neutral,neutral,28997.25,28784.25,-1,-213.0,holdout
2026-07-21,ASIA,28777.75,29363.5,28700.0,29316.0,27260.8456,28993.6032,neutral,neutral,neutral,28777.75,29146.5,1,368.75,holdout
2026-07-21,LONDON,29146.5,29363.5,28700.0,29316.0,27260.8456,28978.7394,short,long,short,29146.5,29153.25,1,6.75,holdout
2026-07-21,NY,29172.25,29363.5,28700.0,29316.0,27260.8456,29021.7187,short,long,short,29153.25,29312.75,1,159.5,holdout
2026-07-22,ASIA,29290.0,29342.5,28961.25,29181.25,27279.9541,29093.9315,neutral,long,long,29290.0,29092.75,-1,-197.25,holdout
2026-07-22,LONDON,29092.75,29342.5,28961.25,29181.25,27279.9541,29134.6929,neutral,neutral,neutral,29092.75,29277.0,1,184.25,holdout
2026-07-22,NY,29016.75,29342.5,28961.25,29181.25,27279.9541,29122.9013,neutral,neutral,neutral,29277.0,29159.0,-1,-118.0,holdout
2026-07-23,ASIA,29169.0,29283.0,28432.5,28620.75,27293.2954,29155.8735,neutral,neutral,neutral,29169.0,29083.75,-1,-85.25,holdout
2026-07-23,LONDON,29083.75,29283.0,28432.5,28620.75,27293.2954,29149.1686,neutral,neutral,neutral,29083.75,28708.5,-1,-375.25,holdout
2026-07-23,NY,28787.25,29283.0,28432.5,28620.75,27293.2954,29114.3116,long,neutral,long,28708.5,28608.75,-1,-99.75,holdout
2026-07-24,ASIA,28740.75,28734.75,28212.5,28282.25,27303.1357,28980.4681,neutral,neutral,neutral,28740.75,28544.75,-1,-196.0,holdout
2026-07-24,LONDON,28544.75,28734.75,28212.5,28282.25,27303.1357,28874.9152,neutral,neutral,neutral,28544.75,28323.0,-1,-221.75,holdout
2026-07-24,NY,28591.75,28734.75,28212.5,28282.25,27303.1357,28814.7795,neutral,neutral,neutral,28323.0,28283.25,-1,-39.75,holdout
2026-07-27,ASIA,28306.75,28763.75,27938.5,28190.0,27311.9602,28699.9327,long,neutral,long,28306.75,28693.5,1,386.75,holdout
2026-07-27,LONDON,28693.5,28763.75,27938.5,28190.0,27311.9602,28683.6064,neutral,neutral,neutral,28693.5,28347.0,-1,-346.5,holdout
2026-07-27,NY,28691.0,28763.75,27938.5,28190.0,27311.9602,28689.0619,neutral,neutral,neutral,28347.0,28192.25,-1,-154.75,holdout
2026-07-28,ASIA,28210.25,28229.0,27603.25,27922.0,27318.0303,28545.4075,neutral,neutral,neutral,28210.25,27945.75,-1,-264.5,holdout
2026-07-28,LONDON,27945.75,28229.0,27603.25,27922.0,27318.0303,28403.1639,neutral,neutral,neutral,27945.75,27666.0,-1,-279.75,holdout
2026-07-28,NY,27993.75,28229.0,27603.25,27922.0,27318.0303,28295.5008,neutral,neutral,neutral,27666.0,27920.5,1,254.5,holdout
2026-07-29,ASIA,27959.75,28177.25,27200.0,27259.75,27317.4504,28195.5906,neutral,neutral,neutral,27959.75,27929.75,-1,-30.0,holdout
2026-07-29,LONDON,27929.75,28177.25,27200.0,27259.75,27317.4504,28098.1454,neutral,neutral,neutral,27929.75,27734.5,-1,-195.25,holdout
2026-07-29,NY,27908.75,28177.25,27200.0,27259.75,27317.4504,28061.1783,neutral,neutral,neutral,27734.5,27336.5,-1,-398.0,holdout
2026-07-30,ASIA,27259.75,28410.0,27204.75,28237.75,27326.6076,27933.9141,neutral,short,short,27259.75,27434.5,1,174.75,holdout
2026-07-30,LONDON,27434.5,28410.0,27204.75,28237.75,27326.6076,27820.8386,neutral,neutral,neutral,27434.5,28151.25,1,716.75,holdout
2026-07-30,NY,27806.25,28410.0,27204.75,28237.75,27326.6076,27761.922,neutral,long,long,28151.25,28227.5,1,76.25,holdout
2026-07-31,ASIA,28333.5,28725.75,28079.75,28404.25,27337.3304,27874.9246,neutral,long,long,28333.5,28486.25,1,152.75,holdout
2026-07-31,LONDON,28486.25,28725.75,28079.75,28404.25,27337.3304,28041.9358,neutral,long,long,28486.25,28359.5,-1,-126.75,holdout
2026-07-31,NY,28468.0,28725.75,28079.75,28404.25,27337.3304,28163.4129,neutral,long,long,28359.5,28402.5,1,43.0,holdout
2026-08-03,ASIA,28284.0,28965.0,28313.0,28891.75,27352.7973,28216.7749,neutral,long,long,28284.0,28592.75,1,308.75,holdout
2026-08-03,LONDON,28592.75,28965.0,28313.0,28891.75,27352.7973,28331.6757,neutral,long,long,28592.75,28629.25,1,36.5,holdout
2026-08-03,NY,28459.25,28965.0,28313.0,28891.75,27352.7973,28380.4978,neutral,long,long,28629.25,28900.5,1,271.25,holdout
2026-08-04,ASIA,28929.25,29956.5,28831.5,29863.5,27377.7794,28507.7051,neutral,long,long,28929.25,29072.75,1,143.5,holdout
2026-08-04,LONDON,29072.75,29956.5,28831.5,29863.5,27377.7794,28639.8136,neutral,long,long,29072.75,29469.0,1,396.25,holdout
2026-08-04,NY,29202.75,29956.5,28831.5,29863.5,27377.7794,28758.4473,neutral,long,long,29469.0,29865.75,1,396.75,holdout
